platformId,runId,algorithm,dataset,Energy,phase,family
0,0,CNN,DFM,33483,train,classification
0,0,CNN,DFM,989,test,classification
1,0,CNN,DFM,24682,train,classification
1,0,CNN,DFM,765,test,classification
2,0,CNN,DFM,31001,train,classification
2,0,CNN,DFM,837,test,classification
3,0,CNN,DFM,35995,train,classification
3,0,CNN,DFM,957,test,classification
4,0,CNN,DFM,34855,train,classification
4,0,CNN,DFM,970,test,classification
5,0,CNN,DFM,33508,train,classification
5,0,CNN,DFM,985,test,classification
6,0,CNN,DFM,34392,train,classification
6,0,CNN,DFM,907,test,classification
7,0,CNN,DFM,33288,train,classification
7,0,CNN,DFM,899,test,classification
8,0,CNN,DFM,34227,train,classification
8,0,CNN,DFM,972,test,classification
9,0,CNN,DFM,33366,train,classification
9,0,CNN,DFM,966,test,classification
10,0,CNN,DFM,33283,train,classification
10,0,CNN,DFM,925,test,classification
11,0,CNN,DFM,34102,train,classification
11,0,CNN,DFM,961,test,classification
12,0,CNN,DFM,33952,train,classification
12,0,CNN,DFM,965,test,classification
13,0,CNN,DFM,33901,train,classification
13,0,CNN,DFM,876,test,classification
14,0,CNN,DFM,33447,train,classification
14,0,CNN,DFM,974,test,classification
15,0,CNN,DFM,33976,train,classification
15,0,CNN,DFM,1000,test,classification
16,0,CNN,DFM,33454,train,classification
16,0,CNN,DFM,915,test,classification
17,0,CNN,DFM,33845,train,classification
17,0,CNN,DFM,909,test,classification
18,0,CNN,DFM,33588,train,classification
18,0,CNN,DFM,985,test,classification
19,0,CNN,DFM,34240,train,classification
19,0,CNN,DFM,969,test,classification
20,0,CNN,DFM,32632,train,classification
20,0,CNN,DFM,985,test,classification
22,0,CNN,DFM,32658,train,classification
22,0,CNN,DFM,933,test,classification
23,0,CNN,DFM,34391,train,classification
23,0,CNN,DFM,946,test,classification
24,0,CNN,DFM,33668,train,classification
24,0,CNN,DFM,1010,test,classification
25,0,CNN,DFM,33833,train,classification
25,0,CNN,DFM,997,test,classification
26,0,CNN,DFM,33469,train,classification
26,0,CNN,DFM,943,test,classification
27,0,CNN,DFM,33273,train,classification
27,0,CNN,DFM,938,test,classification
28,0,CNN,DFM,33330,train,classification
28,0,CNN,DFM,977,test,classification
29,0,CNN,DFM,33609,train,classification
29,0,CNN,DFM,824,test,classification
30,0,CNN,DFM,34014,train,classification
30,0,CNN,DFM,970,test,classification
31,0,CNN,DFM,33181,train,classification
31,0,CNN,DFM,942,test,classification
32,0,CNN,DFM,33285,train,classification
32,0,CNN,DFM,887,test,classification
33,0,CNN,DFM,33324,train,classification
33,0,CNN,DFM,971,test,classification
