platformId,runId,algorithm,dataset,fitTime,trainCount,transformTime,testCount,features,accuracy,family
0,0,LENET5,DFM,604000,60000.0,17000,10000.0,784,0.9895,classification
1,0,LENET5,DFM,518000,60000.0,16000,10000.0,784,0.9884,classification
2,0,LENET5,DFM,523000,60000.0,15000,10000.0,784,0.9882,classification
3,0,LENET5,DFM,672000,60000.0,18000,10000.0,784,0.9869,classification
4,0,LENET5,DFM,628000,60000.0,18000,10000.0,784,0.9905,classification
5,0,LENET5,DFM,619000,60000.0,18000,10000.0,784,0.9872,classification
6,0,LENET5,DFM,601000,60000.0,18000,10000.0,784,0.9889,classification
7,0,LENET5,DFM,618000,60000.0,18000,10000.0,784,0.9893,classification
8,0,LENET5,DFM,615000,60000.0,18000,10000.0,784,0.9877,classification
9,0,LENET5,DFM,607000,60000.0,17000,10000.0,784,0.9898,classification
10,0,LENET5,DFM,611000,60000.0,19000,10000.0,784,0.9892,classification
11,0,LENET5,DFM,599000,60000.0,18000,10000.0,784,0.9863,classification
12,0,LENET5,DFM,610000,60000.0,18000,10000.0,784,0.9877,classification
13,0,LENET5,DFM,600000,60000.0,19000,10000.0,784,0.9892,classification
14,0,LENET5,DFM,604000,60000.0,18000,10000.0,784,0.9876,classification
15,0,LENET5,DFM,613000,60000.0,17000,10000.0,784,0.9892,classification
16,0,LENET5,DFM,610000,60000.0,18000,10000.0,784,0.9882,classification
17,0,LENET5,DFM,606000,60000.0,18000,10000.0,784,0.9890000000000001,classification
18,0,LENET5,DFM,596000,60000.0,18000,10000.0,784,0.988,classification
19,0,LENET5,DFM,592000,60000.0,19000,10000.0,784,0.9887,classification
20,0,LENET5,DFM,610000,60000.0,18000,10000.0,784,0.9891,classification
22,0,LENET5,DFM,608000,60000.0,19000,10000.0,784,0.9887,classification
23,0,LENET5,DFM,595000,60000.0,18000,10000.0,784,0.9895,classification
24,0,LENET5,DFM,599000,60000.0,18000,10000.0,784,0.9884,classification
25,0,LENET5,DFM,597000,60000.0,18000,10000.0,784,0.9878,classification
26,0,LENET5,DFM,599000,60000.0,18000,10000.0,784,0.9879,classification
27,0,LENET5,DFM,612000,60000.0,17000,10000.0,784,0.9898,classification
28,0,LENET5,DFM,604000,60000.0,18000,10000.0,784,0.9906,classification
29,0,LENET5,DFM,610000,60000.0,18000,10000.0,784,0.9909,classification
30,0,LENET5,DFM,610000,60000.0,18000,10000.0,784,0.9897,classification
31,0,LENET5,DFM,601000,60000.0,18000,10000.0,784,0.9890000000000001,classification
32,0,LENET5,DFM,616000,60000.0,18000,10000.0,784,0.99,classification
33,0,LENET5,DFM,603000,60000.0,18000,10000.0,784,0.9893,classification
