platformId,runId,algorithm,dataset,Energy,phase,family
0,0,LENET5,DFM,24890,train,classification
0,0,LENET5,DFM,805,test,classification
1,0,LENET5,DFM,19854,train,classification
1,0,LENET5,DFM,691,test,classification
2,0,LENET5,DFM,20587,train,classification
2,0,LENET5,DFM,689,test,classification
3,0,LENET5,DFM,26857,train,classification
3,0,LENET5,DFM,839,test,classification
4,0,LENET5,DFM,25410,train,classification
4,0,LENET5,DFM,799,test,classification
5,0,LENET5,DFM,25080,train,classification
5,0,LENET5,DFM,791,test,classification
6,0,LENET5,DFM,24709,train,classification
6,0,LENET5,DFM,863,test,classification
7,0,LENET5,DFM,25434,train,classification
7,0,LENET5,DFM,906,test,classification
8,0,LENET5,DFM,25430,train,classification
8,0,LENET5,DFM,847,test,classification
9,0,LENET5,DFM,24848,train,classification
9,0,LENET5,DFM,853,test,classification
10,0,LENET5,DFM,25015,train,classification
10,0,LENET5,DFM,940,test,classification
11,0,LENET5,DFM,24672,train,classification
11,0,LENET5,DFM,884,test,classification
12,0,LENET5,DFM,25079,train,classification
12,0,LENET5,DFM,903,test,classification
13,0,LENET5,DFM,24694,train,classification
13,0,LENET5,DFM,977,test,classification
14,0,LENET5,DFM,24833,train,classification
14,0,LENET5,DFM,873,test,classification
15,0,LENET5,DFM,25101,train,classification
15,0,LENET5,DFM,778,test,classification
16,0,LENET5,DFM,25092,train,classification
16,0,LENET5,DFM,806,test,classification
17,0,LENET5,DFM,25005,train,classification
17,0,LENET5,DFM,896,test,classification
18,0,LENET5,DFM,24532,train,classification
18,0,LENET5,DFM,873,test,classification
19,0,LENET5,DFM,24425,train,classification
19,0,LENET5,DFM,912,test,classification
20,0,LENET5,DFM,25093,train,classification
20,0,LENET5,DFM,879,test,classification
22,0,LENET5,DFM,25126,train,classification
22,0,LENET5,DFM,961,test,classification
23,0,LENET5,DFM,24519,train,classification
23,0,LENET5,DFM,831,test,classification
24,0,LENET5,DFM,24560,train,classification
24,0,LENET5,DFM,956,test,classification
25,0,LENET5,DFM,24586,train,classification
25,0,LENET5,DFM,808,test,classification
26,0,LENET5,DFM,24626,train,classification
26,0,LENET5,DFM,854,test,classification
27,0,LENET5,DFM,25106,train,classification
27,0,LENET5,DFM,775,test,classification
28,0,LENET5,DFM,24900,train,classification
28,0,LENET5,DFM,867,test,classification
29,0,LENET5,DFM,25114,train,classification
29,0,LENET5,DFM,833,test,classification
30,0,LENET5,DFM,25012,train,classification
30,0,LENET5,DFM,933,test,classification
31,0,LENET5,DFM,24739,train,classification
31,0,LENET5,DFM,888,test,classification
32,0,LENET5,DFM,25212,train,classification
32,0,LENET5,DFM,842,test,classification
33,0,LENET5,DFM,24665,train,classification
33,0,LENET5,DFM,853,test,classification
