platformId,runId,algorithm,dataset,Energy,phase,family
0,0,LSTM,DFM,56442,train,classification
0,0,LSTM,DFM,966,test,classification
1,0,LSTM,DFM,52210,train,classification
1,0,LSTM,DFM,874,test,classification
2,0,LSTM,DFM,53636,train,classification
2,0,LSTM,DFM,828,test,classification
3,0,LSTM,DFM,62698,train,classification
3,0,LSTM,DFM,966,test,classification
4,0,LSTM,DFM,60122,train,classification
4,0,LSTM,DFM,966,test,classification
5,0,LSTM,DFM,56672,train,classification
5,0,LSTM,DFM,966,test,classification
6,0,LSTM,DFM,54510,train,classification
6,0,LSTM,DFM,966,test,classification
9,0,LSTM,DFM,55108,train,classification
9,0,LSTM,DFM,966,test,classification
10,0,LSTM,DFM,56212,train,classification
10,0,LSTM,DFM,966,test,classification
11,0,LSTM,DFM,55936,train,classification
11,0,LSTM,DFM,966,test,classification
12,0,LSTM,DFM,55062,train,classification
12,0,LSTM,DFM,966,test,classification
15,0,LSTM,DFM,55016,train,classification
15,0,LSTM,DFM,966,test,classification
17,0,LSTM,DFM,55430,train,classification
17,0,LSTM,DFM,1012,test,classification
18,0,LSTM,DFM,54832,train,classification
18,0,LSTM,DFM,966,test,classification
19,0,LSTM,DFM,56718,train,classification
19,0,LSTM,DFM,966,test,classification
20,0,LSTM,DFM,56580,train,classification
20,0,LSTM,DFM,966,test,classification
23,0,LSTM,DFM,56994,train,classification
23,0,LSTM,DFM,1012,test,classification
24,0,LSTM,DFM,56626,train,classification
24,0,LSTM,DFM,966,test,classification
25,0,LSTM,DFM,54786,train,classification
25,0,LSTM,DFM,966,test,classification
27,0,LSTM,DFM,56258,train,classification
27,0,LSTM,DFM,966,test,classification
30,0,LSTM,DFM,55384,train,classification
30,0,LSTM,DFM,1012,test,classification
31,0,LSTM,DFM,54740,train,classification
31,0,LSTM,DFM,966,test,classification
32,0,LSTM,DFM,55384,train,classification
32,0,LSTM,DFM,966,test,classification
33,0,LSTM,DFM,56902,train,classification
33,0,LSTM,DFM,966,test,classification
