platformId,runId,algorithm,dataset,Energy,phase,family
0,0,CNN,DM,17633,train,classification
0,0,CNN,DM,1011,test,classification
1,0,CNN,DM,12752,train,classification
1,0,CNN,DM,747,test,classification
2,0,CNN,DM,15957,train,classification
2,0,CNN,DM,871,test,classification
3,0,CNN,DM,18924,train,classification
3,0,CNN,DM,936,test,classification
4,0,CNN,DM,18305,train,classification
4,0,CNN,DM,868,test,classification
5,0,CNN,DM,17675,train,classification
5,0,CNN,DM,947,test,classification
6,0,CNN,DM,17512,train,classification
6,0,CNN,DM,890,test,classification
7,0,CNN,DM,17650,train,classification
7,0,CNN,DM,904,test,classification
8,0,CNN,DM,17620,train,classification
8,0,CNN,DM,987,test,classification
9,0,CNN,DM,17670,train,classification
9,0,CNN,DM,938,test,classification
10,0,CNN,DM,17616,train,classification
10,0,CNN,DM,913,test,classification
11,0,CNN,DM,17543,train,classification
11,0,CNN,DM,967,test,classification
12,0,CNN,DM,17440,train,classification
12,0,CNN,DM,983,test,classification
13,0,CNN,DM,17105,train,classification
13,0,CNN,DM,928,test,classification
14,0,CNN,DM,17507,train,classification
14,0,CNN,DM,902,test,classification
15,0,CNN,DM,17539,train,classification
15,0,CNN,DM,993,test,classification
16,0,CNN,DM,17575,train,classification
16,0,CNN,DM,943,test,classification
17,0,CNN,DM,17579,train,classification
17,0,CNN,DM,945,test,classification
18,0,CNN,DM,17482,train,classification
18,0,CNN,DM,964,test,classification
19,0,CNN,DM,17572,train,classification
19,0,CNN,DM,977,test,classification
20,0,CNN,DM,17381,train,classification
20,0,CNN,DM,951,test,classification
22,0,CNN,DM,17045,train,classification
22,0,CNN,DM,931,test,classification
23,0,CNN,DM,17713,train,classification
23,0,CNN,DM,972,test,classification
24,0,CNN,DM,17857,train,classification
24,0,CNN,DM,913,test,classification
25,0,CNN,DM,17608,train,classification
25,0,CNN,DM,973,test,classification
26,0,CNN,DM,17506,train,classification
26,0,CNN,DM,956,test,classification
27,0,CNN,DM,17362,train,classification
27,0,CNN,DM,998,test,classification
28,0,CNN,DM,17028,train,classification
28,0,CNN,DM,892,test,classification
29,0,CNN,DM,17075,train,classification
29,0,CNN,DM,1002,test,classification
30,0,CNN,DM,17464,train,classification
30,0,CNN,DM,901,test,classification
31,0,CNN,DM,17440,train,classification
31,0,CNN,DM,961,test,classification
32,0,CNN,DM,17630,train,classification
32,0,CNN,DM,965,test,classification
33,0,CNN,DM,17271,train,classification
33,0,CNN,DM,1001,test,classification
