platformId,runId,algorithm,dataset,Energy,phase,family
0,0,LENET5,DM,12990,train,classification
0,0,LENET5,DM,907,test,classification
1,0,LENET5,DM,10245,train,classification
1,0,LENET5,DM,698,test,classification
2,0,LENET5,DM,10584,train,classification
2,0,LENET5,DM,759,test,classification
3,0,LENET5,DM,14014,train,classification
3,0,LENET5,DM,857,test,classification
4,0,LENET5,DM,13432,train,classification
4,0,LENET5,DM,845,test,classification
5,0,LENET5,DM,13295,train,classification
5,0,LENET5,DM,838,test,classification
6,0,LENET5,DM,13199,train,classification
6,0,LENET5,DM,884,test,classification
7,0,LENET5,DM,12791,train,classification
7,0,LENET5,DM,895,test,classification
8,0,LENET5,DM,12898,train,classification
8,0,LENET5,DM,822,test,classification
9,0,LENET5,DM,12845,train,classification
9,0,LENET5,DM,896,test,classification
10,0,LENET5,DM,12928,train,classification
10,0,LENET5,DM,867,test,classification
11,0,LENET5,DM,13024,train,classification
11,0,LENET5,DM,844,test,classification
12,0,LENET5,DM,12906,train,classification
12,0,LENET5,DM,827,test,classification
13,0,LENET5,DM,13117,train,classification
13,0,LENET5,DM,931,test,classification
14,0,LENET5,DM,12997,train,classification
14,0,LENET5,DM,810,test,classification
15,0,LENET5,DM,13152,train,classification
15,0,LENET5,DM,808,test,classification
16,0,LENET5,DM,13068,train,classification
16,0,LENET5,DM,874,test,classification
17,0,LENET5,DM,13231,train,classification
17,0,LENET5,DM,835,test,classification
18,0,LENET5,DM,12936,train,classification
18,0,LENET5,DM,837,test,classification
19,0,LENET5,DM,12996,train,classification
19,0,LENET5,DM,868,test,classification
20,0,LENET5,DM,12907,train,classification
20,0,LENET5,DM,843,test,classification
22,0,LENET5,DM,13135,train,classification
22,0,LENET5,DM,876,test,classification
23,0,LENET5,DM,13212,train,classification
23,0,LENET5,DM,793,test,classification
24,0,LENET5,DM,13336,train,classification
24,0,LENET5,DM,819,test,classification
25,0,LENET5,DM,12858,train,classification
25,0,LENET5,DM,911,test,classification
26,0,LENET5,DM,13015,train,classification
26,0,LENET5,DM,766,test,classification
27,0,LENET5,DM,13173,train,classification
27,0,LENET5,DM,855,test,classification
28,0,LENET5,DM,13054,train,classification
28,0,LENET5,DM,834,test,classification
29,0,LENET5,DM,12841,train,classification
29,0,LENET5,DM,863,test,classification
30,0,LENET5,DM,13002,train,classification
30,0,LENET5,DM,865,test,classification
31,0,LENET5,DM,12972,train,classification
31,0,LENET5,DM,873,test,classification
32,0,LENET5,DM,13338,train,classification
32,0,LENET5,DM,791,test,classification
33,0,LENET5,DM,13062,train,classification
33,0,LENET5,DM,868,test,classification
