platformId,runId,algorithm,dataset,Energy,phase,family
0,0,LSTM,DM,27876,train,classification
0,0,LSTM,DM,966,test,classification
1,0,LSTM,DM,26634,train,classification
1,0,LSTM,DM,874,test,classification
2,0,LSTM,DM,27324,train,classification
2,0,LSTM,DM,920,test,classification
3,0,LSTM,DM,31280,train,classification
3,0,LSTM,DM,1012,test,classification
4,0,LSTM,DM,30038,train,classification
4,0,LSTM,DM,966,test,classification
6,0,LSTM,DM,28520,train,classification
6,0,LSTM,DM,966,test,classification
7,0,LSTM,DM,27968,train,classification
7,0,LSTM,DM,966,test,classification
8,0,LSTM,DM,29210,train,classification
8,0,LSTM,DM,966,test,classification
9,0,LSTM,DM,28612,train,classification
9,0,LSTM,DM,966,test,classification
10,0,LSTM,DM,28336,train,classification
10,0,LSTM,DM,966,test,classification
11,0,LSTM,DM,27968,train,classification
11,0,LSTM,DM,966,test,classification
13,0,LSTM,DM,27554,train,classification
13,0,LSTM,DM,966,test,classification
14,0,LSTM,DM,27922,train,classification
14,0,LSTM,DM,966,test,classification
15,0,LSTM,DM,27646,train,classification
15,0,LSTM,DM,966,test,classification
17,0,LSTM,DM,28704,train,classification
17,0,LSTM,DM,966,test,classification
18,0,LSTM,DM,28704,train,classification
18,0,LSTM,DM,966,test,classification
19,0,LSTM,DM,27876,train,classification
19,0,LSTM,DM,966,test,classification
20,0,LSTM,DM,28290,train,classification
20,0,LSTM,DM,966,test,classification
22,0,LSTM,DM,28244,train,classification
22,0,LSTM,DM,1012,test,classification
23,0,LSTM,DM,28796,train,classification
23,0,LSTM,DM,966,test,classification
24,0,LSTM,DM,28750,train,classification
24,0,LSTM,DM,966,test,classification
25,0,LSTM,DM,28382,train,classification
25,0,LSTM,DM,1012,test,classification
26,0,LSTM,DM,29164,train,classification
26,0,LSTM,DM,966,test,classification
27,0,LSTM,DM,28474,train,classification
27,0,LSTM,DM,966,test,classification
28,0,LSTM,DM,28888,train,classification
28,0,LSTM,DM,966,test,classification
29,0,LSTM,DM,28290,train,classification
29,0,LSTM,DM,966,test,classification
30,0,LSTM,DM,28244,train,classification
30,0,LSTM,DM,966,test,classification
31,0,LSTM,DM,28014,train,classification
31,0,LSTM,DM,1012,test,classification
32,0,LSTM,DM,28290,train,classification
32,0,LSTM,DM,966,test,classification
