platformId,runId,algorithm,dataset,fitTime,trainCount,transformTime,testCount,features,accuracy,family
0,0,CNN,DN,201000,11307.0,96000,7538.0,2,0.999733688415446,classification
1,0,CNN,DN,215000,11307.0,94000,7538.0,2,0.9989339019189766,classification
2,0,CNN,DN,195000,11307.0,92000,7538.0,2,0.9997392438070404,classification
3,0,CNN,DN,217000,11307.0,97000,7538.0,2,0.9994711792702274,classification
4,0,CNN,DN,201000,11307.0,95000,7538.0,2,0.9997374639012864,classification
5,0,CNN,DN,205000,11307.0,96000,7538.0,2,0.999738903394256,classification
6,0,CNN,DN,206000,11307.0,97000,7538.0,2,0.999727074235808,classification
7,0,CNN,DN,204000,11307.0,97000,7538.0,2,0.9997343957503321,classification
8,0,CNN,DN,201000,11307.0,96000,7538.0,2,0.9997287767832926,classification
9,0,CNN,DN,199000,11307.0,97000,7538.0,2,1.0,classification
10,0,CNN,DN,206000,11307.0,96000,7538.0,2,0.9997373949579832,classification
11,0,CNN,DN,205000,11307.0,96000,7538.0,2,0.9994727128921698,classification
12,0,CNN,DN,201000,11307.0,97000,7538.0,2,0.9992232004142932,classification
13,0,CNN,DN,204000,11307.0,96000,7538.0,2,0.9997393117831074,classification
14,0,CNN,DN,212000,11307.0,97000,7538.0,2,1.0,classification
15,0,CNN,DN,207000,11307.0,96000,7538.0,2,0.999733688415446,classification
16,0,CNN,DN,203000,11307.0,96000,7538.0,2,0.998951507208388,classification
17,0,CNN,DN,203000,11307.0,96000,7538.0,2,0.9994600431965442,classification
18,0,CNN,DN,201000,11307.0,97000,7538.0,2,1.0,classification
19,0,CNN,DN,204000,11307.0,96000,7538.0,2,0.9994708994708996,classification
20,0,CNN,DN,202000,11307.0,96000,7538.0,2,1.0,classification
22,0,CNN,DN,220000,11307.0,97000,7538.0,2,0.9997339718010108,classification
23,0,CNN,DN,206000,11307.0,96000,7538.0,2,0.9997355896351136,classification
24,0,CNN,DN,201000,11307.0,96000,7538.0,2,0.9997318315902388,classification
25,0,CNN,DN,206000,11307.0,97000,7538.0,2,1.0,classification
26,0,CNN,DN,207000,11307.0,97000,7538.0,2,0.9997373259784608,classification
27,0,CNN,DN,206000,11307.0,96000,7538.0,2,0.9994607710973308,classification
28,0,CNN,DN,205000,11307.0,96000,7538.0,2,0.9997343957503321,classification
29,0,CNN,DN,204000,11307.0,96000,7538.0,2,0.999736147757256,classification
30,0,CNN,DN,203000,11307.0,96000,7538.0,2,1.0,classification
31,0,CNN,DN,206000,11307.0,95000,7538.0,2,0.999738425320429,classification
32,0,CNN,DN,204000,11307.0,96000,7538.0,2,0.9994746519569214,classification
33,0,CNN,DN,205000,11307.0,96000,7538.0,2,0.9997321906802356,classification
