platformId,runId,algorithm,dataset,Energy,phase,family
0,0,CNN,DN,9260,train,classification
0,0,CNN,DN,4182,test,classification
1,0,CNN,DN,9567,train,classification
1,0,CNN,DN,4021,test,classification
2,0,CNN,DN,8771,train,classification
2,0,CNN,DN,3984,test,classification
3,0,CNN,DN,9654,train,classification
3,0,CNN,DN,4206,test,classification
4,0,CNN,DN,9056,train,classification
4,0,CNN,DN,4097,test,classification
5,0,CNN,DN,9272,train,classification
5,0,CNN,DN,4232,test,classification
6,0,CNN,DN,9445,train,classification
6,0,CNN,DN,4261,test,classification
7,0,CNN,DN,9301,train,classification
7,0,CNN,DN,4213,test,classification
8,0,CNN,DN,9185,train,classification
8,0,CNN,DN,4267,test,classification
9,0,CNN,DN,9045,train,classification
9,0,CNN,DN,4186,test,classification
10,0,CNN,DN,9283,train,classification
10,0,CNN,DN,4191,test,classification
11,0,CNN,DN,9250,train,classification
11,0,CNN,DN,4178,test,classification
12,0,CNN,DN,9187,train,classification
12,0,CNN,DN,4228,test,classification
13,0,CNN,DN,9235,train,classification
13,0,CNN,DN,4106,test,classification
14,0,CNN,DN,9645,train,classification
14,0,CNN,DN,4223,test,classification
15,0,CNN,DN,9397,train,classification
15,0,CNN,DN,4200,test,classification
16,0,CNN,DN,9290,train,classification
16,0,CNN,DN,4129,test,classification
17,0,CNN,DN,9186,train,classification
17,0,CNN,DN,4260,test,classification
18,0,CNN,DN,9107,train,classification
18,0,CNN,DN,4258,test,classification
19,0,CNN,DN,9238,train,classification
19,0,CNN,DN,4240,test,classification
20,0,CNN,DN,9235,train,classification
20,0,CNN,DN,4183,test,classification
22,0,CNN,DN,9836,train,classification
22,0,CNN,DN,4262,test,classification
23,0,CNN,DN,9327,train,classification
23,0,CNN,DN,4194,test,classification
24,0,CNN,DN,9144,train,classification
24,0,CNN,DN,4162,test,classification
25,0,CNN,DN,9343,train,classification
25,0,CNN,DN,4282,test,classification
26,0,CNN,DN,9398,train,classification
26,0,CNN,DN,4201,test,classification
27,0,CNN,DN,9289,train,classification
27,0,CNN,DN,4262,test,classification
28,0,CNN,DN,9400,train,classification
28,0,CNN,DN,4196,test,classification
29,0,CNN,DN,9309,train,classification
29,0,CNN,DN,4222,test,classification
30,0,CNN,DN,9199,train,classification
30,0,CNN,DN,4253,test,classification
31,0,CNN,DN,9305,train,classification
31,0,CNN,DN,4197,test,classification
32,0,CNN,DN,9284,train,classification
32,0,CNN,DN,4165,test,classification
33,0,CNN,DN,9316,train,classification
33,0,CNN,DN,4160,test,classification
