platformId,spark.cores.max,spark.executor.cores,spark.executor.memory,spark.io.compression.codec,spark.locality.wait,spark.rdd.compress,spark.reducer.maxSizeInFlight,spark.serializer,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.preferDirectBufs,spark.shuffle.spill.compress,spark.storage.memoryFraction
0,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
1,8,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
2,16,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
3,4,1,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
4,8,2,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
5,16,4,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
6,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
7,32,8,16g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
8,32,8,24g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
9,32,8,32g,lz4,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
10,32,8,32g,snappy,10ms,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
11,32,8,32g,snappy,100ms,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
12,32,8,32g,snappy,500ms,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
13,32,8,32g,snappy,1s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
14,32,8,32g,snappy,10s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
15,32,8,32g,snappy,3s,True,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
16,32,8,32g,snappy,3s,False,12m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
17,32,8,32g,snappy,3s,False,72m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
18,32,8,32g,snappy,3s,False,128m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
19,32,8,32g,snappy,3s,False,256m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
20,32,8,32g,snappy,3s,False,512m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.6
21,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.KryoSerializer,True,32k,True,True,0.6
22,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,False,32k,True,True,0.6
23,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,8k,True,True,0.6
24,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,64k,True,True,0.6
25,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,128k,True,True,0.6
26,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,256k,True,True,0.6
27,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,512k,True,True,0.6
28,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,False,True,0.6
29,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,False,0.6
30,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.1
31,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.2
32,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.4
33,32,8,32g,snappy,3s,False,48m,org.apache.spark.serializer.JavaSerializer,True,32k,True,True,0.8
