platformId,runId,algorithm,dataset,fitTime,trainCount,transformTime,testCount,features,accuracy,family
0,0,LSTM,DN,404000,11307.0,96000,7538.0,2,0.9994640943193998,classification
1,0,LSTM,DN,525000,11307.0,95000,7538.0,2,0.9997382884061764,classification
2,0,LSTM,DN,404000,11307.0,90000,7538.0,2,0.999738356881214,classification
3,0,LSTM,DN,495000,11307.0,95000,7538.0,2,0.9997325488098422,classification
4,0,LSTM,DN,391000,11307.0,97000,7538.0,2,0.9997321906802356,classification
5,0,LSTM,DN,400000,11307.0,94000,7538.0,2,0.9994620763851532,classification
6,0,LSTM,DN,408000,11307.0,95000,7538.0,2,0.999737187910644,classification
7,0,LSTM,DN,405000,11307.0,96000,7538.0,2,1.0,classification
8,0,LSTM,DN,403000,11307.0,94000,7538.0,2,1.0,classification
9,0,LSTM,DN,401000,11307.0,97000,7538.0,2,0.9997346776333244,classification
10,0,LSTM,DN,412000,11307.0,98000,7538.0,2,0.99973481835057,classification
11,0,LSTM,DN,406000,11307.0,96000,7538.0,2,0.9997405293201868,classification
12,0,LSTM,DN,400000,11307.0,96000,7538.0,2,0.9989100817438692,classification
13,0,LSTM,DN,404000,11307.0,96000,7538.0,2,0.9994598973805024,classification
14,0,LSTM,DN,404000,11307.0,97000,7538.0,2,0.9994663820704376,classification
15,0,LSTM,DN,406000,11307.0,95000,7538.0,2,0.9997327632282202,classification
16,0,LSTM,DN,404000,11307.0,95000,7538.0,2,1.0,classification
17,0,LSTM,DN,408000,11307.0,109000,7538.0,2,1.0,classification
18,0,LSTM,DN,405000,11307.0,96000,7538.0,2,0.9994636631804772,classification
19,0,LSTM,DN,405000,11307.0,96000,7538.0,2,1.0,classification
20,0,LSTM,DN,404000,11307.0,94000,7538.0,2,0.9997342545841084,classification
22,0,LSTM,DN,434000,11307.0,95000,7538.0,2,0.9994643813604712,classification
23,0,LSTM,DN,406000,11307.0,96000,7538.0,2,0.9997303855486654,classification
24,0,LSTM,DN,406000,11307.0,97000,7538.0,2,0.9997332622032542,classification
25,0,LSTM,DN,408000,11307.0,97000,7538.0,2,0.9997392438070404,classification
26,0,LSTM,DN,402000,11307.0,95000,7538.0,2,0.999737187910644,classification
27,0,LSTM,DN,408000,11307.0,95000,7538.0,2,1.0,classification
28,0,LSTM,DN,408000,11307.0,96000,7538.0,2,0.999739718896408,classification
29,0,LSTM,DN,406000,11307.0,96000,7538.0,2,0.9997358689910196,classification
30,0,LSTM,DN,406000,11307.0,98000,7538.0,2,0.9997274461706188,classification
31,0,LSTM,DN,400000,11307.0,96000,7538.0,2,0.9997357992073976,classification
32,0,LSTM,DN,403000,11307.0,97000,7538.0,2,0.9991946308724832,classification
33,0,LSTM,DN,405000,11307.0,96000,7538.0,2,0.999733688415446,classification
