platformId,runId,algorithm,dataset,Energy,phase,family
0,0,LSTM,DN,20650,train,classification
0,0,LSTM,DN,4158,test,classification
1,0,LSTM,DN,25044,train,classification
1,0,LSTM,DN,4094,test,classification
2,0,LSTM,DN,20204,train,classification
2,0,LSTM,DN,3978,test,classification
3,0,LSTM,DN,23645,train,classification
3,0,LSTM,DN,4223,test,classification
4,0,LSTM,DN,19723,train,classification
4,0,LSTM,DN,4263,test,classification
5,0,LSTM,DN,20086,train,classification
5,0,LSTM,DN,4130,test,classification
6,0,LSTM,DN,20715,train,classification
6,0,LSTM,DN,4195,test,classification
7,0,LSTM,DN,20349,train,classification
7,0,LSTM,DN,4199,test,classification
8,0,LSTM,DN,20600,train,classification
8,0,LSTM,DN,4199,test,classification
9,0,LSTM,DN,20625,train,classification
9,0,LSTM,DN,4232,test,classification
10,0,LSTM,DN,20822,train,classification
10,0,LSTM,DN,4402,test,classification
11,0,LSTM,DN,20743,train,classification
11,0,LSTM,DN,4261,test,classification
12,0,LSTM,DN,20487,train,classification
12,0,LSTM,DN,4253,test,classification
13,0,LSTM,DN,20652,train,classification
13,0,LSTM,DN,4240,test,classification
14,0,LSTM,DN,20540,train,classification
14,0,LSTM,DN,4225,test,classification
15,0,LSTM,DN,20674,train,classification
15,0,LSTM,DN,4176,test,classification
16,0,LSTM,DN,20611,train,classification
16,0,LSTM,DN,4220,test,classification
17,0,LSTM,DN,20699,train,classification
17,0,LSTM,DN,4806,test,classification
18,0,LSTM,DN,20566,train,classification
18,0,LSTM,DN,4275,test,classification
19,0,LSTM,DN,20560,train,classification
19,0,LSTM,DN,4194,test,classification
20,0,LSTM,DN,20452,train,classification
20,0,LSTM,DN,4156,test,classification
22,0,LSTM,DN,21562,train,classification
22,0,LSTM,DN,4234,test,classification
23,0,LSTM,DN,20624,train,classification
23,0,LSTM,DN,4269,test,classification
24,0,LSTM,DN,20677,train,classification
24,0,LSTM,DN,4289,test,classification
25,0,LSTM,DN,20698,train,classification
25,0,LSTM,DN,4307,test,classification
26,0,LSTM,DN,20339,train,classification
26,0,LSTM,DN,4206,test,classification
27,0,LSTM,DN,20640,train,classification
27,0,LSTM,DN,4228,test,classification
28,0,LSTM,DN,20540,train,classification
28,0,LSTM,DN,4250,test,classification
29,0,LSTM,DN,20596,train,classification
29,0,LSTM,DN,4277,test,classification
30,0,LSTM,DN,20779,train,classification
30,0,LSTM,DN,4375,test,classification
31,0,LSTM,DN,20472,train,classification
31,0,LSTM,DN,4201,test,classification
32,0,LSTM,DN,20628,train,classification
32,0,LSTM,DN,4265,test,classification
33,0,LSTM,DN,20633,train,classification
33,0,LSTM,DN,4200,test,classification
