dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DDF,BKM-maxIter-10,0,0,7568.73,train,BKM,maxIter,10
DDF,BKM-maxIter-10,0,1,12683.000000000002,train,BKM,maxIter,10
DDF,BKM-maxIter-10,0,2,11279.075,train,BKM,maxIter,10
DDF,BKM-maxIter-10,0,2,192.2,test,BKM,maxIter,10
DDF,BKM-maxIter-100,0,0,107543.925,train,BKM,maxIter,100
DDF,BKM-maxIter-100,0,1,111689.83000000002,train,BKM,maxIter,100
DDF,BKM-maxIter-100,0,2,101436.625,train,BKM,maxIter,100
DDF,BKM-maxIter-100,0,0,182.7,test,BKM,maxIter,100
DDF,BKM-maxIter-100,0,1,234.55,test,BKM,maxIter,100
DDF,BKM-maxIter-100,0,2,46.835,test,BKM,maxIter,100
DDF,BKM-maxIter-15,0,0,20783.92,train,BKM,maxIter,15
DDF,BKM-maxIter-15,0,1,21261.775,train,BKM,maxIter,15
DDF,BKM-maxIter-15,0,2,21257.2,train,BKM,maxIter,15
DDF,BKM-maxIter-15,0,1,61.09500000000001,test,BKM,maxIter,15
DDF,BKM-maxIter-15,0,2,62.325,test,BKM,maxIter,15
DDF,BKM-maxIter-20,0,0,23104.335,train,BKM,maxIter,20
DDF,BKM-maxIter-20,0,1,19759.265,train,BKM,maxIter,20
DDF,BKM-maxIter-20,0,2,24895.53,train,BKM,maxIter,20
DDF,BKM-maxIter-20,0,1,130.65,test,BKM,maxIter,20
DDF,BKM-maxIter-5,0,0,7979.73,train,BKM,maxIter,5
DDF,BKM-maxIter-5,0,1,5462.379999999999,train,BKM,maxIter,5
DDF,BKM-maxIter-5,0,2,10177.04,train,BKM,maxIter,5
DDF,BKM-maxIter-5,0,0,87.14500000000002,test,BKM,maxIter,5
DDF,BKM-maxIter-5,0,2,231.55,test,BKM,maxIter,5
DDF,BKM-maxIter-50,0,0,58350.705,train,BKM,maxIter,50
DDF,BKM-maxIter-50,0,1,62159.915,train,BKM,maxIter,50
DDF,BKM-maxIter-50,0,2,51045.91,train,BKM,maxIter,50
DDF,BKM-maxIter-50,0,0,59.16,test,BKM,maxIter,50
DDF,BKM-maxIter-50,0,1,238.9,test,BKM,maxIter,50
DDF,BKM-maxIter-50,0,2,82.155,test,BKM,maxIter,50
