dataset,algorithm,platformId,runId,Energy,phase
DDF,BKM,0,2,95.3088,test
DDF,BKM,0,1,98.79075,test
DDF,BKM,0,0,87.34041,test
DDF,BKM,0,2,33589.65,train
DDF,BKM,0,1,33350.18,train
DDF,BKM,0,0,32945.909999999996,train
DDF,BKM,1,0,15355.654999999999,train
DDF,BKM,1,2,84.249,test
DDF,BKM,1,1,90.35575000000001,test
DDF,BKM,1,0,89.10895000000001,test
DDF,BKM,1,1,13755.605,train
DDF,BKM,1,2,10361.17,train
DDF,BKM,2,0,94.9676,test
DDF,BKM,2,1,17125.390000000003,train
DDF,BKM,2,0,18102.125,train
DDF,BKM,2,2,8634.515,train
DDF,BKM,2,1,102.06948000000001,test
DDF,BKM,2,2,89.57459999999999,test
DDF,BKM,3,2,12464.14,train
DDF,BKM,3,0,102.798,test
DDF,BKM,3,0,19388.325,train
DDF,BKM,3,1,104.1925,test
DDF,BKM,3,2,97.13199,test
DDF,BKM,3,1,16039.09,train
DDF,BKM,4,0,17844.75,train
DDF,BKM,4,0,109.277,test
DDF,BKM,4,1,106.54362,test
DDF,BKM,4,2,101.18759999999999,test
DDF,BKM,4,1,10597.774999999998,train
DDF,BKM,4,2,19498.885000000002,train
DDF,BKM,5,2,108.21271999999999,test
DDF,BKM,5,0,22989.949999999997,train
DDF,BKM,5,1,25144.895,train
DDF,BKM,5,2,21215.870000000003,train
DDF,BKM,5,0,113.23055999999998,test
DDF,BKM,5,1,104.97636,test
DDF,BKM,6,2,16828.305,train
DDF,BKM,6,1,13769.75,train
DDF,BKM,6,0,14845.125,train
DDF,BKM,6,0,106.0047,test
DDF,BKM,6,2,95.50772,test
DDF,BKM,6,1,100.8024,test
DDF,BKM,7,0,99.99682000000001,test
DDF,BKM,7,1,123.3375,test
DDF,BKM,7,2,115.82882000000001,test
DDF,BKM,7,0,15270.539999999997,train
DDF,BKM,7,1,18123.025,train
DDF,BKM,7,2,13997.805,train
DDF,BKM,8,2,14961.144999999999,train
DDF,BKM,8,0,122.02304999999998,test
DDF,BKM,8,1,21067.905,train
DDF,BKM,8,2,113.3675,test
DDF,BKM,8,1,124.0781,test
DDF,BKM,8,0,20682.18,train
DDF,BKM,9,0,87.61395,test
DDF,BKM,9,2,18467.91,train
DDF,BKM,9,2,92.52682,test
DDF,BKM,9,1,17711.71,train
DDF,BKM,9,0,16748.960000000003,train
DDF,BKM,9,1,88.60416,test
DDF,BKM,10,2,97.20634,test
DDF,BKM,10,0,105.7155,test
DDF,BKM,10,2,22264.28,train
DDF,BKM,10,1,101.47462,test
DDF,BKM,10,0,18930.690000000002,train
DDF,BKM,10,1,22500.745,train
DDF,BKM,11,2,15475.234999999999,train
DDF,BKM,11,0,15185.754999999997,train
DDF,BKM,11,1,17586.485,train
DDF,BKM,11,2,86.67031999999999,test
DDF,BKM,11,0,100.63075,test
DDF,BKM,11,1,101.12336,test
DDF,BKM,12,0,10616.655,train
DDF,BKM,12,2,19400.905,train
DDF,BKM,12,2,105.47475,test
DDF,BKM,12,0,111.617,test
DDF,BKM,12,1,92.62008,test
DDF,BKM,12,1,21205.32,train
DDF,BKM,13,0,105.76445,test
DDF,BKM,13,0,8908.855,train
