dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,BKM,0,1,28650384,363637,2,103,train
DDF,BKM,0,0,95,289,0,165,train
DDF,BKM,0,0,5263178,33041,0,166,train
DDF,BKM,0,0,15333181,233997,0,167,train
DDF,BKM,0,0,95,289,0,168,train
DDF,BKM,0,0,447,8704,0,169,train
DDF,BKM,0,0,21278734,50635,0,170,test
DDF,BKM,0,1,0,0,0,0,train
DDF,BKM,0,1,147,1574,0,1,train
DDF,BKM,0,1,3273,3291,0,2,train
DDF,BKM,0,1,5067,8509,0,3,train
DDF,BKM,0,1,95,289,0,4,train
DDF,BKM,0,1,189,795,0,5,train
DDF,BKM,0,1,16545146,127484,0,6,train
DDF,BKM,0,0,6800,5521,0,164,train
DDF,BKM,0,1,25646,1743,0,7,train
DDF,BKM,0,1,10264726,195291,0,9,train
DDF,BKM,0,1,20893693,192968,0,10,train
DDF,BKM,0,1,1448,7842,0,11,train
DDF,BKM,0,1,2115,2376,0,12,train
DDF,BKM,0,1,95,289,0,13,train
DDF,BKM,0,1,447,1308,0,14,train
DDF,BKM,0,1,463787,7390,0,15,train
DDF,BKM,0,1,147,1574,0,16,train
DDF,BKM,0,1,189,795,0,17,train
DDF,BKM,0,1,147,1574,0,18,train
DDF,BKM,0,1,971155,23795,0,19,train
DDF,BKM,0,1,189,795,0,20,train
DDF,BKM,0,1,3055833,17983,0,21,train
DDF,BKM,0,1,30536191,114898,0,8,train
DDF,BKM,0,0,24066079,307673,0,163,train
DDF,BKM,0,0,95,289,0,162,train
DDF,BKM,0,0,95,289,0,161,train
DDF,BKM,0,0,95,289,0,132,train
DDF,BKM,0,0,19067423,47336,0,133,train
DDF,BKM,0,0,1861105,276384,0,134,train
DDF,BKM,0,0,95,289,0,135,train
DDF,BKM,0,0,189,795,0,136,train
DDF,BKM,0,0,22541605,256747,0,137,train
DDF,BKM,0,0,6956,6093,0,138,train
DDF,BKM,0,0,447,8704,0,139,train
DDF,BKM,0,0,147,393,0,140,train
DDF,BKM,0,0,25632655,263264,0,141,train
DDF,BKM,0,0,1536,3305,0,142,train
DDF,BKM,0,0,95,289,0,143,train
DDF,BKM,0,0,21091690,52024,0,144,train
DDF,BKM,0,0,1837958,214828,0,145,train
DDF,BKM,0,0,95,289,0,146,train
DDF,BKM,0,0,95,289,0,147,train
DDF,BKM,0,0,21032252,300454,0,148,train
DDF,BKM,0,0,201554,15562,0,149,train
DDF,BKM,0,0,95,289,0,150,train
DDF,BKM,0,0,189,795,0,151,train
DDF,BKM,0,0,21036345,257256,0,152,train
DDF,BKM,0,0,95,289,0,153,train
DDF,BKM,0,0,189,795,0,154,train
DDF,BKM,0,0,20830274,55127,0,155,train
DDF,BKM,0,0,1520737,254848,0,156,train
DDF,BKM,0,0,189,795,0,157,train
DDF,BKM,0,0,95,289,0,158,train
DDF,BKM,0,0,20179025,300765,0,159,train
DDF,BKM,0,0,765090,21253,0,160,train
DDF,BKM,0,1,49173280,100522,0,22,train
DDF,BKM,0,0,95,289,0,131,train
DDF,BKM,0,1,189,795,0,23,train
DDF,BKM,0,1,33277,3825,0,25,train
DDF,BKM,0,1,7426,6321,0,59,train
DDF,BKM,0,1,14687031,46703,0,60,train
DDF,BKM,0,1,9933712,19832,0,61,train
DDF,BKM,0,1,1314689,255442,0,62,train
DDF,BKM,0,1,353,8250,0,63,train
DDF,BKM,0,1,24419032,70206,0,64,train
DDF,BKM,0,1,647728,13644,0,65,train
