dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DDF,BLR-maxIter-10,0,0,2729.735,train,BLR,maxIter,10
DDF,BLR-maxIter-10,0,1,1079.23,train,BLR,maxIter,10
DDF,BLR-maxIter-10,0,2,2801.9700000000007,train,BLR,maxIter,10
DDF,BLR-maxIter-10,0,0,1757.005,test,BLR,maxIter,10
DDF,BLR-maxIter-10,0,1,660.7249999999998,test,BLR,maxIter,10
DDF,BLR-maxIter-10,0,2,457.83,test,BLR,maxIter,10
DDF,BLR-maxIter-100,0,0,5526.63,train,BLR,maxIter,100
DDF,BLR-maxIter-100,0,1,5911.41,train,BLR,maxIter,100
DDF,BLR-maxIter-100,0,2,5110.31,train,BLR,maxIter,100
DDF,BLR-maxIter-100,0,0,442.15,test,BLR,maxIter,100
DDF,BLR-maxIter-100,0,1,1193.715,test,BLR,maxIter,100
DDF,BLR-maxIter-100,0,2,1801.28,test,BLR,maxIter,100
DDF,BLR-maxIter-15,0,0,1907.45,train,BLR,maxIter,15
DDF,BLR-maxIter-15,0,1,3683.465,train,BLR,maxIter,15
DDF,BLR-maxIter-15,0,2,4474.36,train,BLR,maxIter,15
DDF,BLR-maxIter-15,0,0,404.8,test,BLR,maxIter,15
DDF,BLR-maxIter-15,0,1,1759.475,test,BLR,maxIter,15
DDF,BLR-maxIter-15,0,2,1639.55,test,BLR,maxIter,15
DDF,BLR-maxIter-20,0,0,4319.48,train,BLR,maxIter,20
DDF,BLR-maxIter-20,0,1,4654.56,train,BLR,maxIter,20
DDF,BLR-maxIter-20,0,2,4425.96,train,BLR,maxIter,20
DDF,BLR-maxIter-20,0,0,1388.885,test,BLR,maxIter,20
DDF,BLR-maxIter-20,0,1,1676.02,test,BLR,maxIter,20
DDF,BLR-maxIter-20,0,2,1575.9,test,BLR,maxIter,20
DDF,BLR-maxIter-5,0,0,3829.900000000001,train,BLR,maxIter,5
DDF,BLR-maxIter-5,0,1,3552.9000000000005,train,BLR,maxIter,5
DDF,BLR-maxIter-5,0,2,2834.95,train,BLR,maxIter,5
DDF,BLR-maxIter-5,0,0,2317.75,test,BLR,maxIter,5
DDF,BLR-maxIter-5,0,1,2008.77,test,BLR,maxIter,5
DDF,BLR-maxIter-5,0,2,1779.37,test,BLR,maxIter,5
DDF,BLR-maxIter-50,0,0,5431.26,train,BLR,maxIter,50
DDF,BLR-maxIter-50,0,1,4390.05,train,BLR,maxIter,50
DDF,BLR-maxIter-50,0,2,5034.574999999999,train,BLR,maxIter,50
DDF,BLR-maxIter-50,0,0,1591.35,test,BLR,maxIter,50
DDF,BLR-maxIter-50,0,1,1362.15,test,BLR,maxIter,50
DDF,BLR-maxIter-50,0,2,1408.11,test,BLR,maxIter,50
DDF,BLR-tol-0.0001,0,0,5426.79,train,BLR,tol,0.0001
DDF,BLR-tol-0.0001,0,1,5906.72,train,BLR,tol,0.0001
DDF,BLR-tol-0.0001,0,2,6506.480000000001,train,BLR,tol,0.0001
DDF,BLR-tol-0.0001,0,0,603.2950000000002,test,BLR,tol,0.0001
DDF,BLR-tol-0.0001,0,1,1142.595,test,BLR,tol,0.0001
DDF,BLR-tol-0.0001,0,2,1216.57,test,BLR,tol,0.0001
DDF,BLR-tol-0.01,0,0,6829.615000000002,train,BLR,tol,0.01
DDF,BLR-tol-0.01,0,1,5229.295,train,BLR,tol,0.01
DDF,BLR-tol-0.01,0,2,4515.209999999999,train,BLR,tol,0.01
DDF,BLR-tol-0.01,0,0,1198.84,test,BLR,tol,0.01
DDF,BLR-tol-0.01,0,1,498.78,test,BLR,tol,0.01
DDF,BLR-tol-0.01,0,2,1232.595,test,BLR,tol,0.01
DDF,BLR-tol-0.1,0,0,3242.025,train,BLR,tol,0.1
DDF,BLR-tol-0.1,0,1,2046.185,train,BLR,tol,0.1
DDF,BLR-tol-0.1,0,2,4144.210000000001,train,BLR,tol,0.1
DDF,BLR-tol-0.1,0,0,1955.635,test,BLR,tol,0.1
DDF,BLR-tol-0.1,0,1,1165.0600000000004,test,BLR,tol,0.1
DDF,BLR-tol-0.1,0,2,434.5,test,BLR,tol,0.1
DDF,BLR-tol-1e-06,0,0,7595.059999999998,train,BLR,tol,1e-06
DDF,BLR-tol-1e-06,0,1,7379.379999999999,train,BLR,tol,1e-06
DDF,BLR-tol-1e-06,0,2,5904.799999999998,train,BLR,tol,1e-06
DDF,BLR-tol-1e-06,0,0,650.725,test,BLR,tol,1e-06
DDF,BLR-tol-1e-06,0,1,1362.36,test,BLR,tol,1e-06
DDF,BLR-tol-1e-06,0,2,1316.39,test,BLR,tol,1e-06
