dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DDF,BLR-maxIter-5,0,0,65451572,4334096,0,0,train
DDF,BLR-tol-0.01,0,1,65451544,1094188,1,27,train
DDF,BLR-tol-0.01,0,1,65451544,1085876,1,26,train
DDF,BLR-tol-0.01,0,1,65451544,1239128,1,25,train
DDF,BLR-tol-0.01,0,1,65451544,1386824,1,24,train
DDF,BLR-tol-0.01,0,1,65451544,1456668,1,23,train
DDF,BLR-tol-0.01,0,1,65451544,1528176,1,22,train
DDF,BLR-tol-0.01,0,1,65451544,1622520,1,21,train
DDF,BLR-tol-0.01,0,1,65451544,1687084,1,20,train
DDF,BLR-tol-0.01,0,1,65451544,1716316,1,19,train
DDF,BLR-tol-0.01,0,1,65451544,1725932,1,18,train
DDF,BLR-tol-0.01,0,1,65451544,2823464,1,17,train
DDF,BLR-tol-0.01,0,1,65451544,2825960,1,16,train
DDF,BLR-tol-0.01,0,1,65451544,2826000,1,15,train
DDF,BLR-tol-0.01,0,1,65451544,2826292,1,14,train
DDF,BLR-tol-0.01,0,1,65451544,2826836,1,13,train
DDF,BLR-tol-0.01,0,1,65451544,2827128,1,12,train
DDF,BLR-tol-0.01,0,1,65451544,2824396,1,11,train
DDF,BLR-tol-0.01,0,1,65451544,2828724,1,10,train
DDF,BLR-tol-0.01,0,1,65451544,2898120,1,9,train
DDF,BLR-tol-0.01,0,1,65451544,1087548,1,28,train
DDF,BLR-tol-0.01,0,1,65451544,2915212,1,8,train
DDF,BLR-tol-0.01,0,1,65451544,1085212,1,29,train
DDF,BLR-tol-0.01,0,1,65451544,1071716,1,31,train
DDF,BLR-tol-0.01,0,1,65451544,1074820,1,50,test
DDF,BLR-tol-0.01,0,1,65451544,1075332,1,49,test
DDF,BLR-tol-0.01,0,1,65451544,1075764,1,48,test
DDF,BLR-tol-0.01,0,1,65451544,1062224,1,47,test
DDF,BLR-tol-0.01,0,1,65451544,1064628,1,46,test
DDF,BLR-tol-0.01,0,1,65451544,1066380,1,45,test
DDF,BLR-tol-0.01,0,1,65451544,1067308,1,44,test
DDF,BLR-tol-0.01,0,1,65451544,1067872,1,43,train
DDF,BLR-tol-0.01,0,1,65451544,1064856,1,42,train
DDF,BLR-tol-0.01,0,1,65451544,1067544,1,41,train
DDF,BLR-tol-0.01,0,1,65451544,1069316,1,40,train
DDF,BLR-tol-0.01,0,1,65451544,1070356,1,39,train
DDF,BLR-tol-0.01,0,1,65451544,1070552,1,38,train
DDF,BLR-tol-0.01,0,1,65451544,1065608,1,37,train
DDF,BLR-tol-0.01,0,1,65451544,1067436,1,36,train
DDF,BLR-tol-0.01,0,1,65451544,1068988,1,35,train
DDF,BLR-tol-0.01,0,1,65451544,1069360,1,34,train
DDF,BLR-tol-0.01,0,1,65451544,1069952,1,33,train
DDF,BLR-tol-0.01,0,1,65451544,1074472,1,32,train
DDF,BLR-tol-0.01,0,1,65451544,1082600,1,30,train
DDF,BLR-tol-0.01,0,1,65451544,1073496,1,51,test
DDF,BLR-tol-0.01,0,1,65451544,3226904,1,7,train
DDF,BLR-tol-0.01,0,1,65451544,3494188,1,5,train
DDF,BLR-tol-0.01,0,0,65451544,877056,1,39,train
DDF,BLR-tol-0.01,0,0,65451544,877600,1,38,train
DDF,BLR-tol-0.01,0,0,65451544,877120,1,37,train
DDF,BLR-tol-0.01,0,0,65451544,879308,1,36,train
DDF,BLR-tol-0.01,0,0,65451544,1164408,1,35,train
DDF,BLR-tol-0.01,0,0,65451544,1165348,1,34,train
DDF,BLR-tol-0.01,0,0,65451544,1167056,1,33,train
DDF,BLR-tol-0.01,0,0,65451544,1174400,1,32,train
DDF,BLR-tol-0.01,0,0,65451544,1174448,1,31,train
DDF,BLR-tol-0.01,0,0,65451544,1191764,1,30,train
DDF,BLR-tol-0.01,0,0,65451544,1192728,1,29,train
DDF,BLR-tol-0.01,0,0,65451544,1192796,1,28,train
DDF,BLR-tol-0.01,0,0,65451544,1194656,1,27,train
DDF,BLR-tol-0.01,0,0,65451544,1198540,1,26,train
DDF,BLR-tol-0.01,0,0,65451544,1190264,1,25,train
DDF,BLR-tol-0.01,0,0,65451544,1315816,1,24,train
DDF,BLR-tol-0.01,0,0,65451544,1474112,1,23,train
DDF,BLR-tol-0.01,0,0,65451544,1507540,1,22,train
DDF,BLR-tol-0.01,0,0,65451544,1689344,1,21,train
DDF,BLR-tol-0.01,0,0,65451544,874904,1,40,train
DDF,BLR-tol-0.01,0,1,65451544,3461320,1,6,train
DDF,BLR-tol-0.01,0,0,65451544,811204,1,41,train
DDF,BLR-tol-0.01,0,0,65451544,811252,1,43,train
DDF,BLR-tol-0.01,0,1,65451544,3493724,1,4,train
