dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,BLR-maxIter-5,0,0,0,0,0,0,train
DDF,BLR-tol-0.01,0,1,95,290,1,27,train
DDF,BLR-tol-0.01,0,1,189,797,1,26,train
DDF,BLR-tol-0.01,0,1,95,290,1,25,train
DDF,BLR-tol-0.01,0,1,95,290,1,24,train
DDF,BLR-tol-0.01,0,1,189,797,1,23,train
DDF,BLR-tol-0.01,0,1,147,1575,1,22,train
DDF,BLR-tol-0.01,0,1,95,290,1,21,train
DDF,BLR-tol-0.01,0,1,241,901,1,20,train
DDF,BLR-tol-0.01,0,1,353,10295,1,19,train
DDF,BLR-tol-0.01,0,1,95,290,1,18,train
DDF,BLR-tol-0.01,0,1,583169,16505,1,17,train
DDF,BLR-tol-0.01,0,1,141,290,1,16,train
DDF,BLR-tol-0.01,0,1,147,342,1,15,train
DDF,BLR-tol-0.01,0,1,241,849,1,14,train
DDF,BLR-tol-0.01,0,1,95,290,1,13,train
DDF,BLR-tol-0.01,0,1,95,290,1,12,train
DDF,BLR-tol-0.01,0,1,42517,25856,1,11,train
DDF,BLR-tol-0.01,0,1,16328560,135516,1,10,train
DDF,BLR-tol-0.01,0,1,16784124,207999,1,9,train
DDF,BLR-tol-0.01,0,1,22765422,72347,1,28,train
DDF,BLR-tol-0.01,0,1,19532443,90413,1,8,train
DDF,BLR-tol-0.01,0,1,1755301,526979,1,29,train
DDF,BLR-tol-0.01,0,1,3882801,750366,1,31,train
DDF,BLR-tol-0.01,0,1,4237441,751008,1,50,test
DDF,BLR-tol-0.01,0,1,3178116,726632,1,49,test
DDF,BLR-tol-0.01,0,1,3411723,615076,1,48,test
DDF,BLR-tol-0.01,0,1,4298554,906851,1,47,test
DDF,BLR-tol-0.01,0,1,3954803,751157,1,46,test
DDF,BLR-tol-0.01,0,1,3881754,748642,1,45,test
DDF,BLR-tol-0.01,0,1,3324619,426098,1,44,test
DDF,BLR-tol-0.01,0,1,3901736,615382,1,43,train
DDF,BLR-tol-0.01,0,1,3881540,748943,1,42,train
DDF,BLR-tol-0.01,0,1,3878704,593800,1,41,train
DDF,BLR-tol-0.01,0,1,3845617,741972,1,40,train
DDF,BLR-tol-0.01,0,1,3366068,590245,1,39,train
DDF,BLR-tol-0.01,0,1,3507458,594299,1,38,train
DDF,BLR-tol-0.01,0,1,3535389,901192,1,37,train
DDF,BLR-tol-0.01,0,1,3879088,432242,1,36,train
DDF,BLR-tol-0.01,0,1,2587603,397776,1,35,train
DDF,BLR-tol-0.01,0,1,3141055,718858,1,34,train
DDF,BLR-tol-0.01,0,1,3345652,605390,1,33,train
DDF,BLR-tol-0.01,0,1,3883350,897196,1,32,train
