dataset,algorithm,platformId,runId,Energy,phase
DDF,BLR,0,2,5862.035,train
DDF,BLR,0,1,5887.705000000001,train
DDF,BLR,0,0,4390.16,train
DDF,BLR,0,0,1617.33,test
DDF,BLR,0,1,1506.3399999999997,test
DDF,BLR,0,2,1581.565,test
DDF,BLR,1,0,5865.755000000001,train
DDF,BLR,1,1,589.0899999999999,test
DDF,BLR,1,0,593.4100000000001,test
DDF,BLR,1,2,583.93,test
DDF,BLR,1,1,2325.34,train
DDF,BLR,1,2,4429.485,train
DDF,BLR,2,1,5321.35,train
DDF,BLR,2,0,4688.870000000001,train
DDF,BLR,2,2,774.1700000000001,test
DDF,BLR,2,2,2507.6600000000003,train
DDF,BLR,2,1,782.6300000000001,test
DDF,BLR,2,0,988.345,test
DDF,BLR,3,1,1044.91,test
DDF,BLR,3,2,893.725,test
DDF,BLR,3,2,5380.280000000001,train
DDF,BLR,3,1,7686.530000000001,train
DDF,BLR,3,0,2370.49,train
DDF,BLR,3,0,1037.3950000000002,test
DDF,BLR,4,0,5296.335,train
DDF,BLR,4,1,2466.66,train
DDF,BLR,4,2,6946.9,train
DDF,BLR,4,2,1162.6,test
DDF,BLR,4,0,1811.0,test
DDF,BLR,4,1,1374.8000000000002,test
DDF,BLR,5,1,1986.2249999999997,test
DDF,BLR,5,2,1802.3799999999999,test
DDF,BLR,5,1,7278.38,train
DDF,BLR,5,0,3439.3599999999997,train
DDF,BLR,5,2,9643.675,train
DDF,BLR,5,0,1936.4699999999998,test
DDF,BLR,6,2,5817.245000000001,train
DDF,BLR,6,0,3612.425,train
DDF,BLR,6,2,1715.65,test
DDF,BLR,6,0,1639.02,test
DDF,BLR,6,1,1747.225,test
DDF,BLR,6,1,4051.99,train
DDF,BLR,7,0,4962.83,train
DDF,BLR,7,1,1754.055,test
DDF,BLR,7,2,1836.11,test
DDF,BLR,7,2,3243.5599999999995,train
DDF,BLR,7,1,3864.7000000000003,train
DDF,BLR,7,0,1610.2150000000001,test
DDF,BLR,8,0,7415.125,train
DDF,BLR,8,1,8261.970000000001,train
DDF,BLR,8,0,1747.1899999999998,test
DDF,BLR,8,1,1577.365,test
DDF,BLR,8,2,1745.7850000000003,test
DDF,BLR,8,2,9042.59,train
DDF,BLR,9,1,482.0,test
DDF,BLR,9,0,482.94999999999993,test
DDF,BLR,9,2,484.3,test
DDF,BLR,9,0,3596.3849999999993,train
DDF,BLR,9,2,4940.710000000001,train
DDF,BLR,9,1,2070.3,train
DDF,BLR,10,2,703.79,test
DDF,BLR,10,1,3402.0,train
DDF,BLR,10,2,4127.959999999999,train
DDF,BLR,10,1,881.2600000000001,test
DDF,BLR,10,0,717.9,test
DDF,BLR,10,0,6720.41,train
DDF,BLR,11,2,1228.42,test
DDF,BLR,11,1,1094.875,test
DDF,BLR,11,0,960.45,test
DDF,BLR,11,0,4198.4,train
DDF,BLR,11,2,4118.579999999999,train
DDF,BLR,11,1,4318.17,train
DDF,BLR,12,0,1508.965,test
DDF,BLR,12,0,6228.885,train
DDF,BLR,12,1,4214.635,train
DDF,BLR,12,2,1355.35,test
DDF,BLR,12,2,7093.96,train
DDF,BLR,12,1,1372.55,test
DDF,BLR,13,1,1834.895,test
DDF,BLR,13,2,1721.4,test
DDF,BLR,13,0,3861.06,train
DDF,BLR,13,1,2594.7599999999998,train
DDF,BLR,13,2,2970.08,train
DDF,BLR,13,0,1524.025,test
DDF,BLR,14,2,2443.22,train
DDF,BLR,14,1,3818.4000000000005,train
DDF,BLR,14,1,1538.425,test
DDF,BLR,14,0,1528.6799999999998,test
DDF,BLR,14,0,3002.3,train
DDF,BLR,14,2,1916.6850000000002,test
DDF,BLR,15,1,1688.6399999999999,test
DDF,BLR,15,2,4891.870000000001,train
DDF,BLR,15,0,2858.44,train
DDF,BLR,15,0,1974.125,test
DDF,BLR,15,2,1816.98,test
DDF,BLR,15,1,4500.719999999999,train
DDF,BLR,16,2,1683.4250000000002,test
DDF,BLR,16,1,1899.52,test
DDF,BLR,16,2,8629.18,train
DDF,BLR,16,1,8388.76,train
DDF,BLR,16,0,4612.120000000001,train
DDF,BLR,16,0,1851.04,test
DDF,BLR,17,1,10650.910000000002,train
DDF,BLR,17,2,1509.415,test
DDF,BLR,17,1,1383.3999999999999,test
DDF,BLR,17,2,6362.5999999999985,train
DDF,BLR,17,0,5427.709999999999,train
DDF,BLR,17,0,1194.85,test
DDF,BLR,18,0,9568.275000000001,train
DDF,BLR,18,0,1356.2900000000002,test
DDF,BLR,18,1,1599.5100000000002,test
DDF,BLR,18,1,6581.1900000000005,train
DDF,BLR,18,2,5900.18,train
DDF,BLR,18,2,1581.855,test
DDF,BLR,19,2,5732.955,train
DDF,BLR,19,2,1348.3899999999999,test
DDF,BLR,19,1,1372.8000000000002,test
DDF,BLR,19,1,5361.834999999999,train
DDF,BLR,19,0,5100.93,train
DDF,BLR,19,0,1181.5000000000002,test
DDF,BLR,20,0,5763.81,train
DDF,BLR,20,2,1617.1799999999998,test
DDF,BLR,20,1,1381.1999999999998,test
DDF,BLR,20,2,5453.455,train
DDF,BLR,20,1,3893.5699999999997,train
DDF,BLR,20,0,1384.1000000000001,test
DDF,BLR,21,1,1364.7,test
DDF,BLR,21,0,1344.45,test
DDF,BLR,21,0,6000.645,train
DDF,BLR,21,2,1272.9650000000001,test
DDF,BLR,21,1,6819.035,train
DDF,BLR,21,2,6491.610000000001,train
DDF,BLR,22,2,1612.96,test
DDF,BLR,22,1,5504.31,train
DDF,BLR,22,0,6405.74,train
DDF,BLR,22,2,5883.515000000001,train
DDF,BLR,22,1,1743.475,test
DDF,BLR,22,0,1291.145,test
DDF,BLR,23,1,6701.980000000001,train
DDF,BLR,23,0,5873.300000000001,train
DDF,BLR,23,2,1602.9599999999998,test
DDF,BLR,23,0,1517.0800000000002,test
DDF,BLR,23,2,5438.450000000001,train
DDF,BLR,23,1,1657.1,test
DDF,BLR,24,1,1340.85,test
DDF,BLR,24,0,1707.5400000000004,test
DDF,BLR,24,0,6106.754999999999,train
DDF,BLR,24,1,6003.1900000000005,train
DDF,BLR,24,2,9204.09,train
DDF,BLR,24,2,1511.65,test
DDF,BLR,25,2,8651.855,train
DDF,BLR,25,1,1705.3100000000002,test
DDF,BLR,25,0,9219.940000000002,train
DDF,BLR,25,2,1597.545,test
DDF,BLR,25,0,1732.385,test
DDF,BLR,25,1,10603.64,train
DDF,BLR,26,0,1809.525,test
DDF,BLR,26,0,7058.639999999999,train
DDF,BLR,26,1,6351.575000000001,train
DDF,BLR,26,2,6568.6,train
DDF,BLR,26,2,1337.67,test
DDF,BLR,26,1,1338.525,test
DDF,BLR,27,0,1681.6399999999999,test
DDF,BLR,27,1,4779.950000000001,train
DDF,BLR,27,0,4857.68,train
DDF,BLR,27,1,1618.25,test
DDF,BLR,27,2,1339.0900000000001,test
DDF,BLR,27,2,5188.075000000001,train
DDF,BLR,28,2,4766.515000000001,train
DDF,BLR,28,1,5278.39,train
DDF,BLR,28,0,4704.5700000000015,train
DDF,BLR,28,2,1673.895,test
DDF,BLR,28,1,1357.4,test
DDF,BLR,28,0,1703.8400000000001,test
DDF,BLR,29,2,7748.0700000000015,train
DDF,BLR,29,1,7253.83,train
DDF,BLR,29,0,1572.6600000000003,test
DDF,BLR,29,0,4997.849999999999,train
DDF,BLR,29,2,1584.3200000000002,test
DDF,BLR,29,1,1678.79,test
DDF,BLR,30,2,1367.75,test
DDF,BLR,30,2,6940.42,train
DDF,BLR,30,1,1614.59,test
DDF,BLR,30,0,1275.1999999999998,test
