dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DDF,BLR,0,1,0.7242031142916965,65451544,18051332,2,56,test
DDF,BLR,0,1,0.642956413636635,65451572,23369064,0,4,train
DDF,BLR,0,1,0.6429479799201767,65451572,23369616,0,3,train
DDF,BLR,0,1,0.6410293705397939,65451572,23495192,0,2,train
DDF,BLR,0,1,0.6379660369349112,65451572,23695692,0,1,train
DDF,BLR,0,1,0.6379717816403249,65451572,23695316,0,0,train
DDF,BLR,0,0,0.6827726612891742,65451572,20763028,0,62,test
DDF,BLR,0,0,0.682779872727885,65451572,20762556,0,61,test
DDF,BLR,0,0,0.6828145243020289,65451572,20760288,0,60,test
DDF,BLR,0,0,0.6827991236024095,65451572,20761296,0,59,test
DDF,BLR,0,0,0.6827873897360326,65451572,20762064,0,58,test
DDF,BLR,0,0,0.6827846396111006,65451572,20762244,0,57,test
DDF,BLR,0,0,0.682967797931576,65451572,20750256,0,56,test
DDF,BLR,0,0,0.6829328407879951,65451572,20752544,0,55,test
DDF,BLR,0,0,0.6829170122911639,65451572,20753580,0,54,test
DDF,BLR,0,0,0.682898494783288,65451572,20754792,0,53,test
DDF,BLR,0,0,0.6828945223806083,65451572,20755052,0,52,test
DDF,BLR,0,0,0.682934429749067,65451572,20752440,0,51,test
DDF,BLR,0,0,0.6829093730552415,65451572,20754080,0,50,test
DDF,BLR,0,0,0.6828810162114975,65451572,20755936,0,49,train
DDF,BLR,0,1,0.6429090503739161,65451572,23372164,0,5,train
DDF,BLR,0,0,0.6828583429592798,65451572,20757420,0,48,train
DDF,BLR,0,1,0.6444139798506291,65451572,23273664,0,6,train
DDF,BLR,0,1,0.6534349396527863,65451572,22683228,0,8,train
DDF,BLR,0,1,0.6779541368387607,65451572,21078408,0,27,train
DDF,BLR,0,1,0.6781697466334345,65451572,21064296,0,26,train
DDF,BLR,0,1,0.6783621331509043,65451572,21051704,0,25,train
DDF,BLR,0,1,0.6750620443463146,65451572,21267700,0,24,train
DDF,BLR,0,1,0.6749311383995483,65451572,21276268,0,23,train
DDF,BLR,0,1,0.6741110511448067,65451572,21329944,0,22,train
DDF,BLR,0,1,0.671862549000351,65451572,21477112,0,21,train
DDF,BLR,0,1,0.671771000397057,65451572,21483104,0,20,train
DDF,BLR,0,1,0.6715196389782663,65451572,21499556,0,19,train
DDF,BLR,0,1,0.6709264675873636,65451572,21538380,0,18,train
DDF,BLR,0,1,0.6634224766977331,65451572,22029528,0,17,train
DDF,BLR,0,1,0.6556454900731796,65451572,22538544,0,16,train
DDF,BLR,0,1,0.6556410287594009,65451572,22538836,0,15,train
DDF,BLR,0,1,0.6556365674456223,65451572,22539128,0,14,train
DDF,BLR,0,1,0.6556282559569386,65451572,22539672,0,13,train
DDF,BLR,0,1,0.6556201889238046,65451572,22540200,0,12,train
DDF,BLR,0,1,0.6557315995404969,65451572,22532908,0,11,train
DDF,BLR,0,1,0.6557036704939646,65451572,22534736,0,10,train
DDF,BLR,0,1,0.6534604852577108,65451572,22681556,0,9,train
DDF,BLR,0,1,0.6476454988735794,65451572,23062156,0,7,train
DDF,BLR,0,0,0.6828420255513497,65451572,20758488,0,47,train
DDF,BLR,0,0,0.6829170734050513,65451572,20753576,0,46,train
DDF,BLR,0,0,0.6828852941836141,65451572,20755656,0,45,train
DDF,BLR,0,0,0.6701168919212513,65451572,21591368,0,20,train
DDF,BLR,0,0,0.6698798311521074,65451572,21606884,0,19,train
DDF,BLR,0,0,0.6691243412763257,65451572,21656332,0,18,train
DDF,BLR,0,0,0.6566567415676433,65451572,22472356,0,17,train
