dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,BLR,0,1,3749374,598987,2,56,test
DDF,BLR,0,1,523,1863,0,4,train
DDF,BLR,0,1,4833,7275,0,3,train
DDF,BLR,0,1,3174,3188,0,2,train
DDF,BLR,0,1,95,289,0,1,train
DDF,BLR,0,1,0,0,0,0,train
DDF,BLR,0,0,141,289,0,62,test
DDF,BLR,0,0,14641,14617,0,61,test
DDF,BLR,0,0,455,1832,0,60,test
DDF,BLR,0,0,3877157,594377,0,59,test
DDF,BLR,0,0,3878142,594470,0,58,test
DDF,BLR,0,0,3908276,621257,0,57,test
DDF,BLR,0,0,3877854,593794,0,56,test
DDF,BLR,0,0,3882340,909300,0,55,test
DDF,BLR,0,0,4431012,755002,0,54,test
DDF,BLR,0,0,3324569,585928,0,53,test
DDF,BLR,0,0,3906470,772592,0,52,test
DDF,BLR,0,0,3879404,741338,0,51,test
DDF,BLR,0,0,3883245,910024,0,50,test
DDF,BLR,0,0,3876178,432744,0,49,train
DDF,BLR,0,1,147,1574,0,5,train
DDF,BLR,0,0,3878068,746978,0,48,train
DDF,BLR,0,1,16544467,121698,0,6,train
DDF,BLR,0,1,40277601,261073,0,8,train
DDF,BLR,0,1,189,795,0,27,train
DDF,BLR,0,1,95,289,0,26,train
DDF,BLR,0,1,95,289,0,25,train
DDF,BLR,0,1,189,795,0,24,train
DDF,BLR,0,1,95,289,0,23,train
DDF,BLR,0,1,141,289,0,22,train
DDF,BLR,0,1,189,795,0,21,train
DDF,BLR,0,1,457,11631,0,20,train
DDF,BLR,0,1,147,1574,0,19,train
DDF,BLR,0,1,189,795,0,18,train
DDF,BLR,0,1,583288,15128,0,17,train
DDF,BLR,0,1,95,289,0,16,train
DDF,BLR,0,1,189,795,0,15,train
DDF,BLR,0,1,95,289,0,14,train
DDF,BLR,0,1,147,393,0,13,train
DDF,BLR,0,1,189,795,0,12,train
DDF,BLR,0,1,2115,2376,0,11,train
DDF,BLR,0,1,16234024,156966,0,10,train
DDF,BLR,0,1,307910,84643,0,9,train
DDF,BLR,0,1,26222,2320,0,7,train
DDF,BLR,0,0,3905731,926518,0,47,train
DDF,BLR,0,0,3879821,749001,0,46,train
DDF,BLR,0,0,3140355,566085,0,45,train
DDF,BLR,0,0,147,393,0,20,train
DDF,BLR,0,0,189,795,0,19,train
DDF,BLR,0,0,95,289,0,18,train
DDF,BLR,0,0,583239,15076,0,17,train
DDF,BLR,0,0,189,795,0,16,train
DDF,BLR,0,0,147,1574,0,15,train
DDF,BLR,0,0,670,2087,0,14,train
DDF,BLR,0,0,189,795,0,13,train
DDF,BLR,0,0,95,289,0,12,train
DDF,BLR,0,0,5681,17164,0,11,train
DDF,BLR,0,0,20910460,260282,0,10,train
DDF,BLR,0,0,2575,2773,0,9,train
DDF,BLR,0,0,95,289,0,8,train
DDF,BLR,0,0,38493600,254225,0,7,train
DDF,BLR,0,0,212109,79080,0,6,train
DDF,BLR,0,0,16522998,124554,0,5,train
DDF,BLR,0,0,189,795,0,4,train
DDF,BLR,0,0,4635,6544,0,3,train
DDF,BLR,0,0,3130,3261,0,2,train
DDF,BLR,0,0,141,289,0,21,train
DDF,BLR,0,0,189,795,0,22,train
DDF,BLR,0,0,95,289,0,23,train
DDF,BLR,0,0,405,10242,0,24,train
DDF,BLR,0,0,3881877,911845,0,44,train
DDF,BLR,0,0,3879136,594163,0,43,train
DDF,BLR,0,0,3346235,600109,0,42,train
DDF,BLR,0,0,3879839,748252,0,41,train
DDF,BLR,0,0,3882516,756435,0,40,train
DDF,BLR,0,0,3876858,432293,0,39,train
DDF,BLR,0,0,3863935,614669,0,38,train
DDF,BLR,0,0,2625143,712839,0,37,train
DDF,BLR,0,0,3877388,586650,0,36,train
DDF,BLR,0,1,20475359,81579,0,28,train
DDF,BLR,0,0,3299375,737395,0,35,train
DDF,BLR,0,0,3880128,748702,0,33,train
DDF,BLR,0,0,3202860,584419,0,32,train
DDF,BLR,0,0,1140620,441195,0,31,train
DDF,BLR,0,0,147,1574,0,30,train
