dataset,algorithm,platformId,runId,Energy,phase,acronym,hp1,val1,hp2,val2
DDF,DT-maxDepth-10-maxBins-32,1,0,2626.55,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,1,1,2645.6500000000005,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,1,2,2556.16,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,2,0,3469.525,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,2,1,3488.485,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,2,2,3498.725,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,3,0,4736.5999999999985,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,3,1,4674.735,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,3,2,4702.015,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,4,0,5484.549999999998,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,4,1,5535.28,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,4,2,5591.575000000002,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,5,0,3129.66,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,5,1,3121.0199999999995,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,5,2,3124.9,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,6,0,4839.38,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,6,1,4438.14,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,6,2,5143.19,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,7,0,6441.93,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,7,1,6331.005,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,7,2,6322.075,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,8,0,7873.37,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,8,1,8053.21,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,8,2,8358.79,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,9,0,4446.055,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,9,1,4595.130000000001,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,9,2,4402.155,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,10,0,7194.58,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,10,1,7711.5700000000015,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,10,2,7741.269999999998,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,11,0,8816.455,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,11,1,8398.829999999998,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,11,2,9383.98,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,12,0,8494.5,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,12,1,8932.845000000001,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,12,2,9107.615,train,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,1,0,371.095,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,1,1,373.255,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,1,2,313.59,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,2,0,481.44999999999993,test,DT,maxDepth,10.0,maxBins,32
DDF,DT-maxDepth-10-maxBins-32,2,1,478.35,test,DT,maxDepth,10.0,maxBins,32
