dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DDF,DT-maxBins-16,0,0,6140.42,train,DT,maxBins,16
DDF,DT-maxBins-16,0,1,4234.515,train,DT,maxBins,16
DDF,DT-maxBins-16,0,2,4162.3600000000015,train,DT,maxBins,16
DDF,DT-maxBins-16,0,0,736.775,test,DT,maxBins,16
DDF,DT-maxBins-16,0,1,1740.0100000000002,test,DT,maxBins,16
DDF,DT-maxBins-16,0,2,697.9200000000002,test,DT,maxBins,16
DDF,DT-maxBins-32,0,0,5458.06,train,DT,maxBins,32
DDF,DT-maxBins-32,0,1,6801.38,train,DT,maxBins,32
DDF,DT-maxBins-32,0,2,6704.495000000001,train,DT,maxBins,32
DDF,DT-maxBins-32,0,0,1732.8000000000004,test,DT,maxBins,32
DDF,DT-maxBins-32,0,1,1175.59,test,DT,maxBins,32
DDF,DT-maxBins-32,0,2,1522.85,test,DT,maxBins,32
DDF,DT-maxBins-4,0,0,7042.3,train,DT,maxBins,4
DDF,DT-maxBins-4,0,1,6888.6799999999985,train,DT,maxBins,4
DDF,DT-maxBins-4,0,2,7399.205000000001,train,DT,maxBins,4
DDF,DT-maxBins-4,0,0,1720.855,test,DT,maxBins,4
DDF,DT-maxBins-4,0,1,1489.4149999999993,test,DT,maxBins,4
DDF,DT-maxBins-4,0,2,1766.785,test,DT,maxBins,4
DDF,DT-maxBins-48,0,0,7343.775,train,DT,maxBins,48
DDF,DT-maxBins-48,0,1,8571.670000000002,train,DT,maxBins,48
DDF,DT-maxBins-48,0,2,8737.37,train,DT,maxBins,48
DDF,DT-maxBins-48,0,0,1759.9049999999993,test,DT,maxBins,48
DDF,DT-maxBins-48,0,1,1818.42,test,DT,maxBins,48
DDF,DT-maxBins-48,0,2,1618.2800000000002,test,DT,maxBins,48
DDF,DT-maxDepth-10,0,0,7802.994999999999,train,DT,maxDepth,10
DDF,DT-maxDepth-10,0,1,10421.725,train,DT,maxDepth,10
DDF,DT-maxDepth-10,0,2,7815.64,train,DT,maxDepth,10
DDF,DT-maxDepth-10,0,0,1727.39,test,DT,maxDepth,10
DDF,DT-maxDepth-10,0,1,1945.09,test,DT,maxDepth,10
DDF,DT-maxDepth-10,0,2,575.615,test,DT,maxDepth,10
DDF,DT-maxDepth-15,0,0,4344.335,train,DT,maxDepth,15
DDF,DT-maxDepth-15,0,1,7598.424999999998,train,DT,maxDepth,15
DDF,DT-maxDepth-15,0,2,9585.53,train,DT,maxDepth,15
DDF,DT-maxDepth-15,0,0,1556.0399999999993,test,DT,maxDepth,15
DDF,DT-maxDepth-15,0,1,594.72,test,DT,maxDepth,15
DDF,DT-maxDepth-15,0,2,421.305,test,DT,maxDepth,15
DDF,DT-maxDepth-20,0,0,4523.155000000002,train,DT,maxDepth,20
DDF,DT-maxDepth-20,0,1,6511.21,train,DT,maxDepth,20
DDF,DT-maxDepth-20,0,2,9118.28,train,DT,maxDepth,20
DDF,DT-maxDepth-20,0,0,536.045,test,DT,maxDepth,20
DDF,DT-maxDepth-20,0,1,654.235,test,DT,maxDepth,20
DDF,DT-maxDepth-20,0,2,1593.85,test,DT,maxDepth,20
DDF,DT-maxDepth-5,0,0,7642.144999999998,train,DT,maxDepth,5
DDF,DT-maxDepth-5,0,1,5938.25,train,DT,maxDepth,5
DDF,DT-maxDepth-5,0,2,7503.769999999999,train,DT,maxDepth,5
DDF,DT-maxDepth-5,0,0,1510.355,test,DT,maxDepth,5
DDF,DT-maxDepth-5,0,1,1262.86,test,DT,maxDepth,5
DDF,DT-maxDepth-5,0,2,1487.855,test,DT,maxDepth,5
