dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DDF,DT-maxDepth-15,0,0,65451572,4323068,0,0,train
DDF,DT-maxBins-16,0,1,65451544,3087640,1,24,train
DDF,DT-maxBins-16,0,1,65451544,3087732,1,23,train
DDF,DT-maxBins-16,0,1,65451544,3087772,1,22,train
DDF,DT-maxBins-16,0,1,65451544,3088064,1,21,train
DDF,DT-maxBins-16,0,1,65451544,3087844,1,20,train
DDF,DT-maxBins-16,0,1,65451544,3087592,1,19,train
DDF,DT-maxBins-16,0,1,65451544,3087684,1,18,train
DDF,DT-maxBins-16,0,1,65451544,3087472,1,17,train
DDF,DT-maxBins-16,0,1,65451544,3087512,1,16,train
DDF,DT-maxBins-16,0,1,65451544,3087892,1,25,train
DDF,DT-maxBins-16,0,1,65451544,3087804,1,15,train
DDF,DT-maxBins-16,0,1,65451544,3088892,1,13,train
DDF,DT-maxBins-16,0,1,65451544,3089436,1,12,train
DDF,DT-maxBins-16,0,1,65451544,3082680,1,11,train
DDF,DT-maxBins-16,0,1,65451544,3084500,1,10,train
DDF,DT-maxBins-16,0,1,65451544,3178092,1,9,train
DDF,DT-maxBins-16,0,1,65451544,3178276,1,8,train
DDF,DT-maxBins-16,0,1,65451544,3179268,1,7,train
DDF,DT-maxBins-16,0,1,65451544,3538660,1,6,train
DDF,DT-maxBins-16,0,1,65451544,3581700,1,5,train
DDF,DT-maxBins-16,0,1,65451544,3088348,1,14,train
DDF,DT-maxBins-16,0,1,65451544,3828112,1,4,train
DDF,DT-maxBins-16,0,1,65451544,2962272,1,26,train
DDF,DT-maxBins-16,0,1,65451544,2047636,1,28,train
DDF,DT-maxBins-16,0,1,65451544,1391764,1,48,train
DDF,DT-maxBins-16,0,1,65451544,1415780,1,47,train
DDF,DT-maxBins-16,0,1,65451544,1420248,1,46,train
DDF,DT-maxBins-16,0,1,65451544,1421248,1,45,train
DDF,DT-maxBins-16,0,1,65451544,1550020,1,44,train
DDF,DT-maxBins-16,0,1,65451544,1552540,1,43,train
DDF,DT-maxBins-16,0,1,65451544,1560108,1,42,train
DDF,DT-maxBins-16,0,1,65451544,1547004,1,41,train
DDF,DT-maxBins-16,0,1,65451544,1547568,1,40,train
DDF,DT-maxBins-16,0,1,65451544,2050944,1,27,train
DDF,DT-maxBins-16,0,1,65451544,1547720,1,39,train
DDF,DT-maxBins-16,0,1,65451544,1552664,1,37,train
DDF,DT-maxBins-16,0,1,65451544,1543696,1,36,train
DDF,DT-maxBins-16,0,1,65451544,1629288,1,35,train
DDF,DT-maxBins-16,0,1,65451544,1709316,1,34,train
DDF,DT-maxBins-16,0,1,65451544,1802860,1,33,train
