dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,DT-maxDepth-15,0,0,0,0,0,0,train
DDF,DT-maxBins-16,0,1,95,290,1,24,train
DDF,DT-maxBins-16,0,1,189,797,1,23,train
DDF,DT-maxBins-16,0,1,95,290,1,22,train
DDF,DT-maxBins-16,0,1,95,290,1,21,train
DDF,DT-maxBins-16,0,1,241,901,1,20,train
DDF,DT-maxBins-16,0,1,147,1575,1,19,train
DDF,DT-maxBins-16,0,1,353,803,1,18,train
DDF,DT-maxBins-16,0,1,189,797,1,17,train
DDF,DT-maxBins-16,0,1,141,290,1,16,train
DDF,DT-maxBins-16,0,1,95,290,1,25,train
DDF,DT-maxBins-16,0,1,147,1575,1,15,train
DDF,DT-maxBins-16,0,1,412,394,1,13,train
DDF,DT-maxBins-16,0,1,95,290,1,12,train
DDF,DT-maxBins-16,0,1,2209,2884,1,11,train
DDF,DT-maxBins-16,0,1,16316641,251438,1,10,train
DDF,DT-maxBins-16,0,1,2575,2774,1,9,train
DDF,DT-maxBins-16,0,1,189,797,1,8,train
DDF,DT-maxBins-16,0,1,37152727,244570,1,7,train
DDF,DT-maxBins-16,0,1,197233,79133,1,6,train
DDF,DT-maxBins-16,0,1,16510358,123398,1,5,train
DDF,DT-maxBins-16,0,1,189,797,1,14,train
DDF,DT-maxBins-16,0,1,147,1575,1,4,train
DDF,DT-maxBins-16,0,1,581744,14010,1,26,train
DDF,DT-maxBins-16,0,1,405,10243,1,28,train
DDF,DT-maxBins-16,0,1,21930683,5944232,1,48,train
DDF,DT-maxBins-16,0,1,8191644,24040,1,47,train
DDF,DT-maxBins-16,0,1,95,290,1,46,train
DDF,DT-maxBins-16,0,1,95,290,1,45,train
DDF,DT-maxBins-16,0,1,241,2082,1,44,train
DDF,DT-maxBins-16,0,1,376,290,1,43,train
DDF,DT-maxBins-16,0,1,95,290,1,42,train
DDF,DT-maxBins-16,0,1,189,797,1,41,train
DDF,DT-maxBins-16,0,1,95,290,1,40,train
DDF,DT-maxBins-16,0,1,95,290,1,27,train
DDF,DT-maxBins-16,0,1,26578411,77869,1,39,train
DDF,DT-maxBins-16,0,1,95,290,1,37,train
DDF,DT-maxBins-16,0,1,95,290,1,36,train
DDF,DT-maxBins-16,0,1,189,797,1,35,train
DDF,DT-maxBins-16,0,1,147,1575,1,34,train
DDF,DT-maxBins-16,0,1,95,290,1,33,train
DDF,DT-maxBins-16,0,1,189,797,1,32,train
DDF,DT-maxBins-16,0,1,141,290,1,31,train
DDF,DT-maxBins-16,0,1,95,290,1,30,train
DDF,DT-maxBins-16,0,1,241,2082,1,29,train
DDF,DT-maxBins-16,0,1,499,11168,1,38,train
DDF,DT-maxBins-16,0,1,2493280,525224,1,49,test
DDF,DT-maxBins-16,0,1,5075,7337,1,3,train
DDF,DT-maxBins-16,0,1,95,290,1,1,train
DDF,DT-maxBins-16,0,0,447,1310,1,36,train
DDF,DT-maxBins-16,0,0,95,290,1,35,train
DDF,DT-maxBins-16,0,0,95,290,1,34,train
DDF,DT-maxBins-16,0,0,26168499,70418,1,33,train
DDF,DT-maxBins-16,0,0,95,290,1,32,train
DDF,DT-maxBins-16,0,0,95,290,1,31,train
DDF,DT-maxBins-16,0,0,189,797,1,30,train
DDF,DT-maxBins-16,0,0,147,1575,1,29,train
DDF,DT-maxBins-16,0,0,95,290,1,28,train
DDF,DT-maxBins-16,0,0,820,24673,1,37,train
DDF,DT-maxBins-16,0,0,189,797,1,27,train
DDF,DT-maxBins-16,0,0,95,290,1,25,train
DDF,DT-maxBins-16,0,0,241,2082,1,24,train
DDF,DT-maxBins-16,0,0,95,290,1,23,train
DDF,DT-maxBins-16,0,0,95,290,1,22,train
DDF,DT-maxBins-16,0,0,189,797,1,21,train
DDF,DT-maxBins-16,0,0,147,394,1,20,train
DDF,DT-maxBins-16,0,0,95,290,1,19,train
DDF,DT-maxBins-16,0,0,189,797,1,18,train
DDF,DT-maxBins-16,0,0,554771,8327,1,17,train
DDF,DT-maxBins-16,0,0,6995330,33084,1,26,train
DDF,DT-maxBins-16,0,1,2934,3182,1,2,train
DDF,DT-maxBins-16,0,0,360,290,1,38,train
DDF,DT-maxBins-16,0,0,95,290,1,40,train
DDF,DT-maxBins-16,0,1,0,0,1,0,train
DDF,DT-maxBins-16,0,0,8590616,3722354,1,59,test
DDF,DT-maxBins-16,0,0,5617678,1193496,1,58,test
DDF,DT-maxBins-16,0,0,3637315,1112543,1,57,test
DDF,DT-maxBins-16,0,0,447,1310,1,56,test
DDF,DT-maxBins-16,0,0,25784453,67319,1,55,test
DDF,DT-maxBins-16,0,0,241,2082,1,54,test
DDF,DT-maxBins-16,0,0,95,290,1,53,test
DDF,DT-maxBins-16,0,0,95,290,1,52,test
DDF,DT-maxBins-16,0,0,615147,14775,1,39,train
DDF,DT-maxBins-16,0,0,189,797,1,51,test
DDF,DT-maxBins-16,0,0,1039,2022,1,49,test
DDF,DT-maxBins-16,0,0,2493622,524005,1,48,test
DDF,DT-maxBins-16,0,0,7565682,7257201,1,47,train
DDF,DT-maxBins-16,0,0,19766473,51675,1,46,train
DDF,DT-maxBins-16,0,0,8629219,27350,1,45,train
DDF,DT-maxBins-16,0,0,147,1575,1,44,train
DDF,DT-maxBins-16,0,0,147,394,1,43,train
DDF,DT-maxBins-16,0,0,189,797,1,42,train
DDF,DT-maxBins-16,0,0,141,290,1,41,train
DDF,DT-maxBins-16,0,0,95,290,1,50,test
DDF,DT-maxBins-16,0,0,353,803,1,16,train
DDF,DT-maxBins-16,0,1,189,797,1,50,test
DDF,DT-maxBins-16,0,1,95,290,1,52,test
DDF,DT-maxBins-16,0,0,5627,7767,2,3,train
DDF,DT-maxBins-16,0,0,2434,2752,2,2,train
DDF,DT-maxBins-16,0,0,95,290,2,1,train
DDF,DT-maxBins-16,0,0,0,0,2,0,train
DDF,DT-maxBins-16,0,2,4812090,3906060,1,55,test
DDF,DT-maxBins-16,0,2,3712495,1082170,1,54,test
DDF,DT-maxBins-16,0,2,17526708,61652,1,53,test
DDF,DT-maxBins-16,0,2,499,10803,1,52,test
DDF,DT-maxBins-16,0,2,147,1576,1,51,test
DDF,DT-maxBins-16,0,0,95,290,2,4,train
DDF,DT-maxBins-16,0,2,95,291,1,50,test
DDF,DT-maxBins-16,0,2,141,291,1,48,test
DDF,DT-maxBins-16,0,2,2488395,27701,1,47,test
DDF,DT-maxBins-16,0,2,7974595,6402610,1,46,test
DDF,DT-maxBins-16,0,2,18246281,59637,1,45,train
DDF,DT-maxBins-16,0,2,95,291,1,44,train
DDF,DT-maxBins-16,0,2,395,850,1,43,train
DDF,DT-maxBins-16,0,2,199,10192,1,42,train
DDF,DT-maxBins-16,0,2,95,291,1,41,train
DDF,DT-maxBins-16,0,2,189,798,1,40,train
DDF,DT-maxBins-16,0,2,189,798,1,49,test
DDF,DT-maxBins-16,0,2,95,291,1,39,train
DDF,DT-maxBins-16,0,0,189,797,2,5,train
DDF,DT-maxBins-16,0,0,26151,2217,2,7,train
DDF,DT-maxBins-16,0,0,95,290,2,27,train
DDF,DT-maxBins-16,0,0,581278,14166,2,26,train
DDF,DT-maxBins-16,0,0,95,290,2,25,train
DDF,DT-maxBins-16,0,0,405,2088,2,24,train
DDF,DT-maxBins-16,0,0,189,797,2,23,train
DDF,DT-maxBins-16,0,0,95,290,2,22,train
DDF,DT-maxBins-16,0,0,95,290,2,21,train
DDF,DT-maxBins-16,0,0,241,901,2,20,train
DDF,DT-maxBins-16,0,0,95,290,2,19,train
DDF,DT-maxBins-16,0,0,16544913,115941,2,6,train
DDF,DT-maxBins-16,0,0,95,290,2,18,train
DDF,DT-maxBins-16,0,0,95,290,2,16,train
DDF,DT-maxBins-16,0,0,95,290,2,15,train
DDF,DT-maxBins-16,0,0,499,2595,2,14,train
DDF,DT-maxBins-16,0,0,95,290,2,13,train
DDF,DT-maxBins-16,0,0,95,290,2,12,train
DDF,DT-maxBins-16,0,0,42197,25689,2,11,train
DDF,DT-maxBins-16,0,0,20859546,162351,2,10,train
DDF,DT-maxBins-16,0,0,10905168,156079,2,9,train
DDF,DT-maxBins-16,0,0,25518968,177437,2,8,train
