dataset,algorithm,platformId,runId,Energy,phase
DDF,DT,0,2,9159.18,train
DDF,DT,0,1,9728.070000000002,train
DDF,DT,0,0,12801.039999999999,train
DDF,DT,0,0,1180.35,test
DDF,DT,0,1,1629.5300000000002,test
DDF,DT,0,2,1639.39,test
DDF,DT,1,2,5004.41,train
DDF,DT,1,1,578.38,test
DDF,DT,1,2,666.8100000000001,test
DDF,DT,1,0,652.0649999999999,test
DDF,DT,1,1,5264.84,train
DDF,DT,1,0,4646.799999999999,train
DDF,DT,2,1,6205.86,train
DDF,DT,2,0,4859.34,train
DDF,DT,2,2,1001.6200000000001,test
DDF,DT,2,2,5613.849999999999,train
DDF,DT,2,1,796.795,test
DDF,DT,2,0,1082.36,test
DDF,DT,3,0,1067.3149999999998,test
DDF,DT,3,2,1060.56,test
DDF,DT,3,2,5264.86,train
DDF,DT,3,0,5112.415,train
DDF,DT,3,1,5030.115000000001,train
DDF,DT,3,1,1060.21,test
DDF,DT,4,1,5797.22,train
DDF,DT,4,0,5637.834999999999,train
DDF,DT,4,2,5633.639999999999,train
DDF,DT,4,2,1391.65,test
DDF,DT,4,1,1383.4,test
DDF,DT,4,0,1682.7350000000001,test
DDF,DT,5,1,1872.2700000000004,test
DDF,DT,5,2,1966.9950000000003,test
DDF,DT,5,1,6915.57,train
DDF,DT,5,0,6819.74,train
DDF,DT,5,2,7207.025,train
DDF,DT,5,0,1978.5949999999998,test
DDF,DT,6,0,3716.1749999999997,train
DDF,DT,6,1,4266.47,train
DDF,DT,6,0,1965.205,test
DDF,DT,6,1,1765.145,test
DDF,DT,6,2,2077.87,test
DDF,DT,6,2,4557.21,train
DDF,DT,7,0,5547.41,train
DDF,DT,7,1,1748.8000000000002,test
DDF,DT,7,2,1822.2150000000001,test
DDF,DT,7,2,5836.0650000000005,train
DDF,DT,7,1,5595.8200000000015,train
DDF,DT,7,0,1871.2100000000005,test
DDF,DT,8,0,9104.48,train
DDF,DT,8,1,9163.5,train
DDF,DT,8,0,1840.395,test
DDF,DT,8,1,1683.25,test
DDF,DT,8,2,1996.0049999999999,test
DDF,DT,8,2,6371.889999999999,train
DDF,DT,9,2,474.69999999999993,test
DDF,DT,9,0,465.25,test
DDF,DT,9,1,548.63,test
DDF,DT,9,0,4864.639999999999,train
DDF,DT,9,1,7768.59,train
DDF,DT,9,2,7623.415,train
DDF,DT,10,2,690.105,test
DDF,DT,10,1,5910.41,train
DDF,DT,10,2,3613.67,train
DDF,DT,10,1,886.875,test
DDF,DT,10,0,700.75,test
DDF,DT,10,0,6371.0700000000015,train
DDF,DT,11,2,1201.4650000000001,test
DDF,DT,11,0,963.55,test
DDF,DT,11,1,1267.04,test
DDF,DT,11,1,8228.035,train
DDF,DT,11,2,5516.68,train
DDF,DT,11,0,8034.75,train
DDF,DT,12,0,1374.2499999999998,test
DDF,DT,12,0,4929.045,train
DDF,DT,12,1,5780.620000000001,train
DDF,DT,12,2,1358.4499999999998,test
DDF,DT,12,2,4555.945000000001,train
DDF,DT,12,1,1670.46,test
DDF,DT,13,2,1901.8500000000004,test
DDF,DT,13,0,1680.2999999999997,test
DDF,DT,13,1,4714.805,train
DDF,DT,13,2,4700.95,train
DDF,DT,13,0,6495.989999999999,train
DDF,DT,13,1,2012.6750000000002,test
DDF,DT,14,0,4756.560000000001,train
DDF,DT,14,1,5008.6,train
DDF,DT,14,1,2112.635,test
DDF,DT,14,2,1882.37,test
DDF,DT,14,2,6479.6,train
DDF,DT,14,0,1984.6750000000002,test
DDF,DT,15,2,1696.2599999999998,test
DDF,DT,15,1,5542.34,train
DDF,DT,15,0,5174.4349999999995,train
DDF,DT,15,0,1599.0,test
DDF,DT,15,1,1930.3249999999998,test
DDF,DT,15,2,5420.9,train
DDF,DT,16,2,1860.83,test
DDF,DT,16,1,1561.9850000000001,test
DDF,DT,16,2,4230.35,train
DDF,DT,16,1,4545.72,train
DDF,DT,16,0,4392.625,train
DDF,DT,16,0,1666.98,test
DDF,DT,17,1,9369.125,train
DDF,DT,17,2,1579.3750000000002,test
DDF,DT,17,1,1570.335,test
DDF,DT,17,2,8663.905000000002,train
DDF,DT,17,0,10922.859999999997,train
DDF,DT,17,0,1371.35,test
DDF,DT,18,0,9332.429999999998,train
