dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,DT,0,1,17677078,30674,2,38,train
DDF,DT,0,1,11303154,93651,0,10,train
DDF,DT,0,1,13750221,212949,0,9,train
DDF,DT,0,1,22221198,107413,0,8,train
DDF,DT,0,1,25651,2254,0,7,train
DDF,DT,0,1,16544289,116257,0,6,train
DDF,DT,0,1,95,289,0,5,train
DDF,DT,0,1,189,795,0,4,train
DDF,DT,0,1,5075,7336,0,3,train
DDF,DT,0,1,2838,2673,0,2,train
DDF,DT,0,1,9690321,108988,0,11,train
DDF,DT,0,1,189,795,0,1,train
DDF,DT,0,0,6801046,3522952,0,59,test
DDF,DT,0,0,11621855,391158,0,58,test
DDF,DT,0,0,16661227,1263404,0,57,test
DDF,DT,0,0,6779570,1243238,0,56,test
DDF,DT,0,0,10130473,3002747,0,55,test
DDF,DT,0,0,10169209,1936566,0,54,test
DDF,DT,0,0,18626256,1762145,0,53,test
DDF,DT,0,0,522589,5327,0,52,test
DDF,DT,0,0,95,289,0,51,test
DDF,DT,0,1,0,0,0,0,train
DDF,DT,0,1,95,289,0,12,train
DDF,DT,0,1,189,795,0,13,train
DDF,DT,0,1,95,289,0,14,train
DDF,DT,0,1,353,802,0,35,train
DDF,DT,0,1,19836356,47990,0,34,train
DDF,DT,0,1,6218761,13639,0,33,train
DDF,DT,0,1,95,289,0,32,train
DDF,DT,0,1,189,795,0,31,train
DDF,DT,0,1,95,289,0,30,train
DDF,DT,0,1,95,289,0,29,train
DDF,DT,0,1,189,795,0,28,train
DDF,DT,0,1,7059917,26487,0,27,train
DDF,DT,0,1,25577,1852,0,26,train
DDF,DT,0,1,447,4528,0,25,train
DDF,DT,0,1,242,1863,0,24,train
DDF,DT,0,1,412,1574,0,23,train
DDF,DT,0,1,189,795,0,22,train
DDF,DT,0,1,95,289,0,21,train
DDF,DT,0,1,147,393,0,20,train
DDF,DT,0,1,189,795,0,19,train
DDF,DT,0,1,95,289,0,18,train
DDF,DT,0,1,555393,9002,0,17,train
DDF,DT,0,1,189,795,0,16,train
DDF,DT,0,1,353,802,0,15,train
DDF,DT,0,0,405,10294,0,50,test
DDF,DT,0,1,95,289,0,36,train
DDF,DT,0,0,189,795,0,49,train
DDF,DT,0,0,193,393,0,47,train
DDF,DT,0,0,95,289,0,21,train
DDF,DT,0,0,405,4126,0,20,train
DDF,DT,0,0,189,795,0,19,train
DDF,DT,0,0,95,289,0,18,train
DDF,DT,0,0,555074,7546,0,17,train
DDF,DT,0,0,189,795,0,16,train
DDF,DT,0,0,147,1574,0,15,train
DDF,DT,0,0,147,1574,0,14,train
DDF,DT,0,0,189,795,0,13,train
DDF,DT,0,0,189,795,0,22,train
DDF,DT,0,0,95,289,0,12,train
DDF,DT,0,0,20490325,177190,0,10,train
DDF,DT,0,0,7869890,178140,0,9,train
DDF,DT,0,0,32798391,130724,0,8,train
DDF,DT,0,0,26577,26699,0,7,train
DDF,DT,0,0,16545464,127437,0,6,train
DDF,DT,0,0,95,289,0,5,train
DDF,DT,0,0,189,795,0,4,train
DDF,DT,0,0,4635,6544,0,3,train
DDF,DT,0,0,3278,3465,0,2,train
DDF,DT,0,0,3887,15308,0,11,train
DDF,DT,0,0,95,289,0,23,train
DDF,DT,0,0,95,289,0,24,train
DDF,DT,0,0,189,795,0,25,train
DDF,DT,0,0,4486377,1008068,0,46,train
DDF,DT,0,0,8492084,5924227,0,45,train
DDF,DT,0,0,17887089,50369,0,44,train
DDF,DT,0,0,241,899,0,43,train
DDF,DT,0,0,95,289,0,42,train
DDF,DT,0,0,95,289,0,41,train
DDF,DT,0,0,447,10748,0,40,train
DDF,DT,0,0,95,289,0,39,train
DDF,DT,0,0,614470,12618,0,38,train
DDF,DT,0,0,1535,49461,0,37,train
DDF,DT,0,0,95,289,0,36,train
DDF,DT,0,0,95,289,0,35,train
DDF,DT,0,0,189,795,0,34,train
DDF,DT,0,0,27606204,63153,0,33,train
DDF,DT,0,0,95,289,0,32,train
DDF,DT,0,0,189,795,0,31,train
DDF,DT,0,0,405,11527,0,30,train
DDF,DT,0,0,412,1574,0,29,train
DDF,DT,0,0,189,795,0,28,train
DDF,DT,0,0,95,289,0,27,train
DDF,DT,0,0,7459093,29142,0,26,train
DDF,DT,0,0,95,289,0,48,train
DDF,DT,0,0,189,795,0,1,train
DDF,DT,0,1,810,25175,0,37,train
DDF,DT,0,1,147,1574,0,39,train
DDF,DT,0,2,614791,13955,0,40,train
DDF,DT,0,2,1774,50340,0,39,train
DDF,DT,0,2,189,795,0,38,train
DDF,DT,0,2,19824562,54987,0,37,train
DDF,DT,0,2,95,289,0,36,train
DDF,DT,0,2,189,795,0,35,train
DDF,DT,0,2,95,289,0,34,train
DDF,DT,0,2,405,10242,0,33,train
DDF,DT,0,2,189,795,0,32,train
DDF,DT,0,2,241,899,0,41,train
DDF,DT,0,2,95,289,0,31,train
DDF,DT,0,2,95,289,0,29,train
DDF,DT,0,2,8175460,30796,0,28,train
DDF,DT,0,2,189,795,0,27,train
DDF,DT,0,2,95,289,0,26,train
DDF,DT,0,2,147,1574,0,25,train
DDF,DT,0,2,241,2080,0,24,train
DDF,DT,0,2,353,4022,0,23,train
DDF,DT,0,2,95,289,0,22,train
DDF,DT,0,2,189,795,0,21,train
DDF,DT,0,2,189,795,0,30,train
DDF,DT,0,2,95,289,0,42,train
DDF,DT,0,2,405,10242,0,43,train
DDF,DT,0,2,189,795,0,44,train
DDF,DT,0,2,6789494,2886581,0,65,test
DDF,DT,0,2,11498911,1878975,0,64,test
DDF,DT,0,2,11473980,1622770,0,63,test
DDF,DT,0,2,6789793,2013175,0,62,test
DDF,DT,0,2,12413566,2763844,0,61,test
DDF,DT,0,2,11146872,1945865,0,60,test
DDF,DT,0,2,31014074,125660,0,59,test
DDF,DT,0,2,141,289,0,58,test
DDF,DT,0,2,95,289,0,57,test
DDF,DT,0,2,189,795,0,56,test
DDF,DT,0,2,147,1574,0,55,test
DDF,DT,0,2,147,1574,0,54,train
DDF,DT,0,2,447,10800,0,53,train
DDF,DT,0,2,95,289,0,52,train
DDF,DT,0,2,95,289,0,51,train
DDF,DT,0,2,4487642,1218172,0,50,train
DDF,DT,0,2,35096345,7339694,0,49,train
DDF,DT,0,2,111198,2013,0,48,train
DDF,DT,0,2,241,899,0,47,train
DDF,DT,0,2,95,289,0,46,train
DDF,DT,0,2,95,289,0,45,train
DDF,DT,0,2,147,393,0,20,train
DDF,DT,0,1,147,1574,0,38,train
DDF,DT,0,2,95,289,0,19,train
DDF,DT,0,2,555030,8690,0,17,train
DDF,DT,0,1,95,289,0,59,test
DDF,DT,0,1,189,795,0,58,test
DDF,DT,0,1,19793489,56207,0,57,test
DDF,DT,0,1,95,289,0,56,test
DDF,DT,0,1,447,10748,0,55,test
DDF,DT,0,1,193,1574,0,54,train
DDF,DT,0,1,412,1574,0,53,train
DDF,DT,0,1,189,795,0,52,train
DDF,DT,0,1,4130317,34001,0,51,train
DDF,DT,0,1,6561791,1715256,0,60,test
DDF,DT,0,1,7753537,6813353,0,50,train
DDF,DT,0,1,95,289,0,48,train
DDF,DT,0,1,7649634,25549,0,47,train
DDF,DT,0,1,12166748,29994,0,46,train
DDF,DT,0,1,405,10242,0,45,train
DDF,DT,0,1,147,393,0,44,train
