dataset,algorithm,platformId,runId,Energy,phase,acronym,hp1,val1,hp2,val2
DDF,GBT-maxDepth-10-maxIter-10,1,0,6142.57,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,1,1,6044.08,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,1,2,5625.754999999999,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,2,0,6957.165,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,2,1,6731.48,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,2,2,6699.8499999999985,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,3,0,8118.915000000001,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,3,1,8221.845000000001,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,3,2,7243.259999999998,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,4,0,5816.4850000000015,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,4,1,5670.85,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,4,2,5700.630000000001,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,5,0,5823.675,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,5,1,5866.41,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,5,2,5758.959999999999,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,6,0,4533.450000000002,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,6,1,4542.125,train,GBT,maxDepth,10.0,maxIter,10
DDF,GBT-maxDepth-10-maxIter-10,6,2,4602.265,train,GBT,maxDepth,10.0,maxIter,10
