acronym,algorithm,hp1,val1,hp2,val2
GBT,GBT-maxDepth-5-maxIter-2,maxDepth,5.0,maxIter,2
GBT,GBT-maxDepth-5-maxIter-5,maxDepth,5.0,maxIter,5
GBT,GBT-maxDepth-5-maxIter-10,maxDepth,5.0,maxIter,10
GBT,GBT-maxDepth-5-maxIter-20,maxDepth,5.0,maxIter,20
GBT,GBT-maxDepth-10-maxIter-2,maxDepth,10.0,maxIter,2
GBT,GBT-maxDepth-10-maxIter-5,maxDepth,10.0,maxIter,5
GBT,GBT-maxDepth-10-maxIter-10,maxDepth,10.0,maxIter,10
GBT,GBT-maxDepth-10-maxIter-20,maxDepth,10.0,maxIter,20
GBT,GBT-maxDepth-15-maxIter-2,maxDepth,15.0,maxIter,2
GBT,GBT-maxDepth-15-maxIter-5,maxDepth,15.0,maxIter,5
GBT,GBT-maxDepth-15-maxIter-10,maxDepth,15.0,maxIter,10
GBT,GBT-maxDepth-15-maxIter-20,maxDepth,15.0,maxIter,20
