dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DDF,GBT-maxBins-16,0,0,10485.16,train,GBT,maxBins,16
DDF,GBT-maxBins-16,0,1,11789.38,train,GBT,maxBins,16
DDF,GBT-maxBins-16,0,2,10551.44,train,GBT,maxBins,16
DDF,GBT-maxBins-16,0,0,911.025,test,GBT,maxBins,16
DDF,GBT-maxBins-16,0,1,681.785,test,GBT,maxBins,16
DDF,GBT-maxBins-16,0,2,1466.24,test,GBT,maxBins,16
DDF,GBT-maxBins-32,0,0,14355.245000000004,train,GBT,maxBins,32
DDF,GBT-maxBins-32,0,1,14751.23,train,GBT,maxBins,32
DDF,GBT-maxBins-32,0,2,15973.93,train,GBT,maxBins,32
DDF,GBT-maxBins-32,0,0,1502.05,test,GBT,maxBins,32
DDF,GBT-maxBins-32,0,1,1744.31,test,GBT,maxBins,32
DDF,GBT-maxBins-32,0,2,1015.8449999999997,test,GBT,maxBins,32
DDF,GBT-maxBins-4,0,0,13225.8,train,GBT,maxBins,4
DDF,GBT-maxBins-4,0,1,9163.085,train,GBT,maxBins,4
DDF,GBT-maxBins-4,0,2,6871.825000000002,train,GBT,maxBins,4
DDF,GBT-maxBins-4,0,0,420.775,test,GBT,maxBins,4
DDF,GBT-maxBins-4,0,1,1609.99,test,GBT,maxBins,4
DDF,GBT-maxBins-4,0,2,1652.15,test,GBT,maxBins,4
DDF,GBT-maxBins-48,0,0,5631.425,train,GBT,maxBins,48
DDF,GBT-maxBins-48,0,1,4746.8,train,GBT,maxBins,48
DDF,GBT-maxBins-48,0,2,4520.575000000002,train,GBT,maxBins,48
DDF,GBT-maxBins-48,0,0,492.6,test,GBT,maxBins,48
DDF,GBT-maxBins-48,0,1,626.73,test,GBT,maxBins,48
DDF,GBT-maxBins-48,0,2,488.875,test,GBT,maxBins,48
DDF,GBT-maxDepth-10,0,0,8921.59,train,GBT,maxDepth,10
DDF,GBT-maxDepth-10,0,1,8870.535,train,GBT,maxDepth,10
DDF,GBT-maxDepth-10,0,2,14105.350000000002,train,GBT,maxDepth,10
DDF,GBT-maxDepth-10,0,0,521.1700000000002,test,GBT,maxDepth,10
DDF,GBT-maxDepth-10,0,1,450.12,test,GBT,maxDepth,10
DDF,GBT-maxDepth-10,0,2,642.3000000000002,test,GBT,maxDepth,10
DDF,GBT-maxDepth-15,0,0,3960.200000000001,train,GBT,maxDepth,15
DDF,GBT-maxDepth-15,0,1,4405.14,train,GBT,maxDepth,15
DDF,GBT-maxDepth-15,0,2,4537.895,train,GBT,maxDepth,15
DDF,GBT-maxDepth-15,0,0,461.93,test,GBT,maxDepth,15
DDF,GBT-maxDepth-15,0,1,454.46,test,GBT,maxDepth,15
DDF,GBT-maxDepth-15,0,2,600.89,test,GBT,maxDepth,15
DDF,GBT-maxDepth-20,0,0,4433.88,train,GBT,maxDepth,20
DDF,GBT-maxDepth-20,0,1,4008.305,train,GBT,maxDepth,20
DDF,GBT-maxDepth-20,0,2,10199.01,train,GBT,maxDepth,20
DDF,GBT-maxDepth-20,0,0,446.5,test,GBT,maxDepth,20
DDF,GBT-maxDepth-20,0,1,503.5,test,GBT,maxDepth,20
DDF,GBT-maxDepth-20,0,2,1737.35,test,GBT,maxDepth,20
DDF,GBT-maxDepth-5,0,0,6857.62,train,GBT,maxDepth,5
DDF,GBT-maxDepth-5,0,1,6875.219999999998,train,GBT,maxDepth,5
DDF,GBT-maxDepth-5,0,2,6455.73,train,GBT,maxDepth,5
DDF,GBT-maxDepth-5,0,0,555.3399999999998,test,GBT,maxDepth,5
DDF,GBT-maxDepth-5,0,1,669.135,test,GBT,maxDepth,5
DDF,GBT-maxDepth-5,0,2,486.495,test,GBT,maxDepth,5
DDF,GBT-maxIter-10,0,0,8710.35,train,GBT,maxIter,10
DDF,GBT-maxIter-10,0,1,15914.755,train,GBT,maxIter,10
DDF,GBT-maxIter-10,0,2,13873.55,train,GBT,maxIter,10
DDF,GBT-maxIter-10,0,0,596.895,test,GBT,maxIter,10
DDF,GBT-maxIter-10,0,1,350.30500000000006,test,GBT,maxIter,10
DDF,GBT-maxIter-10,0,2,1286.9900000000002,test,GBT,maxIter,10
DDF,GBT-maxIter-100,0,0,92266.51,train,GBT,maxIter,100
DDF,GBT-maxIter-100,0,2,71978.05,train,GBT,maxIter,100
DDF,GBT-maxIter-100,0,0,600.555,test,GBT,maxIter,100
DDF,GBT-maxIter-100,0,1,405.595,test,GBT,maxIter,100
DDF,GBT-maxIter-100,0,2,607.385,test,GBT,maxIter,100
DDF,GBT-maxIter-15,0,0,17964.475,train,GBT,maxIter,15
DDF,GBT-maxIter-15,0,1,12011.655,train,GBT,maxIter,15
DDF,GBT-maxIter-15,0,2,20131.795,train,GBT,maxIter,15
DDF,GBT-maxIter-15,0,0,624.73,test,GBT,maxIter,15
DDF,GBT-maxIter-15,0,1,461.13,test,GBT,maxIter,15
DDF,GBT-maxIter-15,0,2,534.99,test,GBT,maxIter,15
DDF,GBT-maxIter-20,0,0,25728.935,train,GBT,maxIter,20
DDF,GBT-maxIter-20,0,1,28959.869999999995,train,GBT,maxIter,20
DDF,GBT-maxIter-20,0,2,27164.775,train,GBT,maxIter,20
DDF,GBT-maxIter-20,0,0,456.485,test,GBT,maxIter,20
DDF,GBT-maxIter-20,0,1,499.765,test,GBT,maxIter,20
DDF,GBT-maxIter-20,0,2,1609.71,test,GBT,maxIter,20
DDF,GBT-maxIter-5,0,0,12762.62,train,GBT,maxIter,5
DDF,GBT-maxIter-5,0,1,12611.195,train,GBT,maxIter,5
DDF,GBT-maxIter-5,0,2,11063.455,train,GBT,maxIter,5
DDF,GBT-maxIter-5,0,0,441.215,test,GBT,maxIter,5
DDF,GBT-maxIter-5,0,1,567.985,test,GBT,maxIter,5
DDF,GBT-maxIter-5,0,2,500.71,test,GBT,maxIter,5
DDF,GBT-maxIter-50,0,0,55547.47,train,GBT,maxIter,50
DDF,GBT-maxIter-50,0,1,53599.37,train,GBT,maxIter,50
DDF,GBT-maxIter-50,0,2,52552.05,train,GBT,maxIter,50
DDF,GBT-maxIter-50,0,0,478.15,test,GBT,maxIter,50
DDF,GBT-maxIter-50,0,1,1746.02,test,GBT,maxIter,50
DDF,GBT-maxIter-50,0,2,472.71,test,GBT,maxIter,50
DDF,GBT-stepSize-0.003,0,0,11775.32,train,GBT,stepSize,0.003
DDF,GBT-stepSize-0.003,0,1,12908.77,train,GBT,stepSize,0.003
DDF,GBT-stepSize-0.003,0,2,12023.469999999998,train,GBT,stepSize,0.003
DDF,GBT-stepSize-0.003,0,0,892.9000000000002,test,GBT,stepSize,0.003
DDF,GBT-stepSize-0.003,0,1,868.685,test,GBT,stepSize,0.003
DDF,GBT-stepSize-0.003,0,2,588.58,test,GBT,stepSize,0.003
DDF,GBT-stepSize-0.3,0,0,12202.574999999995,train,GBT,stepSize,0.3
DDF,GBT-stepSize-0.3,0,1,12002.025,train,GBT,stepSize,0.3
DDF,GBT-stepSize-0.3,0,2,12871.37,train,GBT,stepSize,0.3
DDF,GBT-stepSize-0.3,0,0,498.37,test,GBT,stepSize,0.3
DDF,GBT-stepSize-0.3,0,1,756.68,test,GBT,stepSize,0.3
DDF,GBT-stepSize-0.3,0,2,379.745,test,GBT,stepSize,0.3
