dataset,algorithm,platformId,runId,Energy,phase
DDF,GBT,0,2,13534.68,train
DDF,GBT,0,1,14101.43,train
DDF,GBT,0,0,13025.43,train
DDF,GBT,0,0,1652.9299999999998,test
DDF,GBT,0,1,1366.6999999999998,test
DDF,GBT,0,2,1333.4850000000001,test
DDF,GBT,1,1,8609.89,train
DDF,GBT,1,2,577.24,test
DDF,GBT,1,1,573.845,test
DDF,GBT,1,0,580.995,test
DDF,GBT,1,2,6394.594999999999,train
DDF,GBT,1,0,10011.654999999999,train
DDF,GBT,2,1,6335.92,train
DDF,GBT,2,2,5145.77,train
DDF,GBT,2,0,802.44,test
DDF,GBT,2,0,6447.525000000001,train
DDF,GBT,2,1,780.9449999999999,test
DDF,GBT,2,2,979.7700000000002,test
DDF,GBT,3,0,1057.1200000000001,test
DDF,GBT,3,1,1053.655,test
DDF,GBT,3,1,6349.5599999999995,train
DDF,GBT,3,0,6186.820000000001,train
DDF,GBT,3,2,6630.91,train
DDF,GBT,3,2,1277.8999999999999,test
DDF,GBT,4,1,10166.915,train
DDF,GBT,4,2,7909.964999999998,train
DDF,GBT,4,0,13396.17,train
DDF,GBT,4,0,1384.85,test
DDF,GBT,4,1,1635.0950000000003,test
DDF,GBT,4,2,1654.8449999999998,test
DDF,GBT,5,1,1820.8249999999998,test
DDF,GBT,5,2,1978.56,test
DDF,GBT,5,1,19390.045,train
DDF,GBT,5,0,21184.51,train
DDF,GBT,5,2,17950.065000000002,train
DDF,GBT,5,0,1983.5750000000003,test
DDF,GBT,6,0,10253.51,train
DDF,GBT,6,1,10609.37,train
DDF,GBT,6,0,1937.5399999999997,test
DDF,GBT,6,1,1973.9699999999998,test
DDF,GBT,6,2,1557.855,test
DDF,GBT,6,2,16800.875,train
DDF,GBT,7,1,14223.719999999998,train
DDF,GBT,7,0,1621.5100000000002,test
DDF,GBT,7,2,1842.5649999999998,test
DDF,GBT,7,2,14529.215,train
DDF,GBT,7,0,16042.78,train
DDF,GBT,7,1,1664.4450000000002,test
DDF,GBT,8,2,16079.795000000002,train
DDF,GBT,8,0,18850.41,train
DDF,GBT,8,2,1712.115,test
DDF,GBT,8,0,1730.7150000000001,test
DDF,GBT,8,1,1905.0000000000002,test
DDF,GBT,8,1,16531.12,train
DDF,GBT,9,2,798.465,test
DDF,GBT,9,0,796.355,test
DDF,GBT,9,1,799.835,test
DDF,GBT,9,0,10263.435000000001,train
DDF,GBT,9,1,14551.5,train
DDF,GBT,9,2,15876.635000000004,train
DDF,GBT,10,1,902.2299999999999,test
DDF,GBT,10,2,10096.920000000002,train
DDF,GBT,10,1,5939.220000000001,train
DDF,GBT,10,2,921.5049999999999,test
DDF,GBT,10,0,811.7349999999999,test
DDF,GBT,10,0,4202.52,train
DDF,GBT,11,0,953.1999999999999,test
DDF,GBT,11,1,1160.58,test
DDF,GBT,11,2,974.7,test
DDF,GBT,11,2,9081.970000000001,train
DDF,GBT,11,0,4531.27,train
DDF,GBT,11,1,5074.094999999999,train
DDF,GBT,12,1,1764.855,test
DDF,GBT,12,1,14327.169999999998,train
