dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,GBT,0,1,14617944,3948934,2,78,train
DDF,GBT,0,0,7250616,1223432,0,141,test
DDF,GBT,0,0,12123685,8253303,0,142,test
DDF,GBT,0,0,12373628,178145,0,143,test
DDF,GBT,0,0,6828624,3153886,0,144,test
DDF,GBT,0,0,11713991,2521353,0,145,test
DDF,GBT,0,0,11185472,3913602,0,146,test
DDF,GBT,0,0,11414393,6523263,0,147,test
DDF,GBT,0,0,11203417,4780322,0,148,test
DDF,GBT,0,0,10116652,3816253,0,149,test
DDF,GBT,0,0,10206898,2288342,0,150,test
DDF,GBT,0,1,0,0,0,0,train
DDF,GBT,0,1,95,289,0,1,train
DDF,GBT,0,1,2432,2749,0,2,train
DDF,GBT,0,1,5575,7766,0,3,train
DDF,GBT,0,1,95,289,0,4,train
DDF,GBT,0,1,189,795,0,5,train
DDF,GBT,0,1,16543664,123948,0,6,train
DDF,GBT,0,1,25780,1964,0,7,train
DDF,GBT,0,1,25227443,155028,0,8,train
DDF,GBT,0,1,10923815,159956,0,9,train
DDF,GBT,0,1,18455646,164284,0,10,train
DDF,GBT,0,1,2376230,52091,0,11,train
DDF,GBT,0,1,147,1574,0,12,train
DDF,GBT,0,0,14007370,3409943,0,140,test
DDF,GBT,0,0,11154921,2312618,0,139,test
DDF,GBT,0,0,10247382,2698549,0,138,train
DDF,GBT,0,0,10474946,3979584,0,137,train
DDF,GBT,0,0,8861220,8315999,0,113,train
DDF,GBT,0,0,6796754,1967426,0,114,train
DDF,GBT,0,0,12309193,1337302,0,115,train
DDF,GBT,0,0,10244910,4158995,0,116,train
DDF,GBT,0,0,11555932,3702099,0,117,train
DDF,GBT,0,0,10420543,5073646,0,118,train
DDF,GBT,0,0,10299025,4990932,0,119,train
DDF,GBT,0,0,13314610,3779727,0,120,train
DDF,GBT,0,0,11504217,2598983,0,121,train
DDF,GBT,0,0,5387187,5693605,0,122,train
DDF,GBT,0,0,12549699,4862915,0,123,train
DDF,GBT,0,1,95,289,0,13,train
DDF,GBT,0,0,10280135,4532949,0,124,train
DDF,GBT,0,0,10221197,3952181,0,126,train
DDF,GBT,0,0,14624171,3705566,0,127,train
DDF,GBT,0,0,7673732,3995428,0,128,train
DDF,GBT,0,0,14056618,2890643,0,129,train
DDF,GBT,0,0,10093316,2640744,0,130,train
DDF,GBT,0,0,6788458,138626,0,131,train
DDF,GBT,0,0,14056232,8274956,0,132,train
DDF,GBT,0,0,14442121,1192610,0,133,train
DDF,GBT,0,0,13848266,2593678,0,134,train
DDF,GBT,0,0,10809426,5759418,0,135,train
DDF,GBT,0,0,13765480,4706382,0,136,train
DDF,GBT,0,0,10234886,3060560,0,125,train
DDF,GBT,0,0,6801115,2692817,0,112,train
DDF,GBT,0,1,241,2080,0,14,train
DDF,GBT,0,1,95,289,0,16,train
DDF,GBT,0,1,95,289,0,45,train
DDF,GBT,0,1,21184217,51600,0,46,train
DDF,GBT,0,1,95,289,0,47,train
DDF,GBT,0,1,95,289,0,48,train
DDF,GBT,0,1,810,25182,0,49,train
DDF,GBT,0,1,95,289,0,50,train
