platformId,spark.master,spark.executor.memory,spark.executor.cores,spark.cores.max,spark.shuffle.file.buffer,spark.reducer.maxSizeInFlight,spark.storage.memoryFraction,spark.locality.wait,spark.shuffle.spill.compress,spark.shuffle.io.preferDirectBufs,spark.rdd.compress,spark.io.compression.codec,spark.shuffle.compress,spark.serializer
0,spark://eiger-3:7077,5g,4,16,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
1,spark://eiger-3:7077,5g,4,4,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
2,spark://eiger-3:7077,5g,4,8,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
3,spark://eiger-3:7077,5g,4,12,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
4,spark://eiger-3:7077,5g,4,16,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
5,spark://eiger-3:7077,5g,4,20,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
6,spark://eiger-3:7077,5g,4,24,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
7,spark://eiger-3:7077,5g,4,28,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
8,spark://eiger-3:7077,5g,4,32,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
9,spark://eiger-3:7077,5g,1,4,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
10,spark://eiger-3:7077,5g,2,8,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
11,spark://eiger-3:7077,5g,3,12,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
12,spark://eiger-3:7077,5g,4,16,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
13,spark://eiger-3:7077,5g,5,20,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
14,spark://eiger-3:7077,5g,6,24,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
15,spark://eiger-3:7077,5g,7,28,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
16,spark://eiger-3:7077,5g,8,32,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
17,spark://eiger-3:7077,10g,4,16,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
18,spark://eiger-3:7077,15g,4,16,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
19,spark://eiger-3:7077,20g,4,16,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
20,spark://eiger-3:7077,25g,4,16,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
21,spark://eiger-3:7077,30g,4,16,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
22,spark://eiger-3:7077,5g,4,16,32k,48m,0.6,3s,True,True,False,lz4,True,org.apache.spark.serializer.JavaSerializer
23,spark://eiger-3:7077,5g,4,16,32k,48m,0.6,10ms,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
24,spark://eiger-3:7077,5g,4,16,32k,48m,0.6,100ms,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
25,spark://eiger-3:7077,5g,4,16,32k,48m,0.6,500ms,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
26,spark://eiger-3:7077,5g,4,16,32k,48m,0.6,1s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
27,spark://eiger-3:7077,5g,4,16,32k,48m,0.6,10s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
28,spark://eiger-3:7077,5g,4,16,32k,48m,0.6,3s,True,True,True,snappy,True,org.apache.spark.serializer.JavaSerializer
29,spark://eiger-3:7077,5g,4,16,32k,12m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
30,spark://eiger-3:7077,5g,4,16,32k,72m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
31,spark://eiger-3:7077,5g,4,16,32k,128m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
32,spark://eiger-3:7077,5g,4,16,32k,256m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
33,spark://eiger-3:7077,5g,4,16,32k,512m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.JavaSerializer
34,spark://eiger-3:7077,5g,4,16,32k,48m,0.6,3s,True,True,False,snappy,True,org.apache.spark.serializer.KryoSerializer
35,spark://eiger-3:7077,5g,4,16,32k,48m,0.6,3s,True,True,False,snappy,False,org.apache.spark.serializer.JavaSerializer
