transformTime,features,fitTime,testCount,trainCount,rmse,mse,mae,r2,runId,dataset,algorithm,family,platformId,f1,accuracy,weightedPrecision,weightedRecall,silhouette
1530.0,6400.0,16078.0,606.0,606.0,,,,,0,DDF,KM-tol-1e-06-maxIter-10,clustering,9,,,,,0.4014892756498774
1527.0,6400.0,15343.0,606.0,606.0,,,,,1,DDF,KM-tol-1e-06-maxIter-10,clustering,9,,,,,0.4014892756498773
1500.0,6400.0,15479.0,606.0,606.0,,,,,2,DDF,KM-tol-1e-06-maxIter-10,clustering,9,,,,,0.4014892756498773
1631.0,6400.0,14600.0,606.0,606.0,,,,,0,DDF,KM-tol-1e-06-maxIter-10,clustering,6,,,,,0.4014892756498775
1583.0,6400.0,15522.0,606.0,606.0,,,,,1,DDF,KM-tol-1e-06-maxIter-10,clustering,6,,,,,0.4014892756498773
1650.0,6400.0,16166.0,606.0,606.0,,,,,2,DDF,KM-tol-1e-06-maxIter-10,clustering,6,,,,,0.4014892756498773
1654.0,6400.0,19006.0,606.0,606.0,,,,,0,DDF,KM-tol-1e-06-maxIter-10,clustering,8,,,,,0.6924683186596128
1618.0,6400.0,18947.0,606.0,606.0,,,,,1,DDF,KM-tol-1e-06-maxIter-10,clustering,8,,,,,0.6924683186596116
1749.0,6400.0,18386.0,606.0,606.0,,,,,2,DDF,KM-tol-1e-06-maxIter-10,clustering,8,,,,,0.6924683186596123
1703.0,6400.0,15387.0,606.0,606.0,,,,,0,DDF,KM-tol-1e-06-maxIter-10,clustering,10,,,,,0.6924683186596123
1634.0,6400.0,17320.0,606.0,606.0,,,,,1,DDF,KM-tol-1e-06-maxIter-10,clustering,10,,,,,0.6924683186596122
1610.0,6400.0,17002.0,606.0,606.0,,,,,2,DDF,KM-tol-1e-06-maxIter-10,clustering,10,,,,,0.6924683186596127
1634.0,6400.0,18961.0,606.0,606.0,,,,,0,DDF,KM-tol-1e-06-maxIter-10,clustering,7,,,,,0.692468318659613
1701.0,6400.0,17569.0,606.0,606.0,,,,,1,DDF,KM-tol-1e-06-maxIter-10,clustering,7,,,,,0.692468318659613
1649.0,6400.0,17395.0,606.0,606.0,,,,,2,DDF,KM-tol-1e-06-maxIter-10,clustering,7,,,,,0.692468318659613
1716.0,6400.0,19938.0,606.0,606.0,,,,,0,DDF,KM-tol-1e-06-maxIter-10,clustering,12,,,,,0.5220577687475078
1734.0,6400.0,20925.0,606.0,606.0,,,,,1,DDF,KM-tol-1e-06-maxIter-10,clustering,12,,,,,0.5220577687475085
1675.0,6400.0,19078.0,606.0,606.0,,,,,2,DDF,KM-tol-1e-06-maxIter-10,clustering,12,,,,,0.5220577687475078
1589.0,6400.0,16526.0,606.0,606.0,,,,,0,DDF,KM-tol-1e-06-maxIter-10,clustering,3,,,,,0.6924683186596116
1579.0,6400.0,16785.0,606.0,606.0,,,,,1,DDF,KM-tol-1e-06-maxIter-10,clustering,3,,,,,0.6924683186596114
1661.0,6400.0,16178.0,606.0,606.0,,,,,2,DDF,KM-tol-1e-06-maxIter-10,clustering,3,,,,,0.6924683186596114
1632.0,6400.0,14460.0,606.0,606.0,,,,,0,DDF,KM-tol-1e-06-maxIter-10,clustering,2,,,,,0.6924683186596136
1690.0,6400.0,14891.0,606.0,606.0,,,,,1,DDF,KM-tol-1e-06-maxIter-10,clustering,2,,,,,0.6924683186596128
1669.0,6400.0,14720.0,606.0,606.0,,,,,2,DDF,KM-tol-1e-06-maxIter-10,clustering,2,,,,,0.6924683186596137
1657.0,6400.0,19313.0,606.0,606.0,,,,,0,DDF,KM-tol-1e-06-maxIter-10,clustering,11,,,,,0.5220577687475074
1542.0,6400.0,21039.0,606.0,606.0,,,,,1,DDF,KM-tol-1e-06-maxIter-10,clustering,11,,,,,0.5220577687475086
1570.0,6400.0,19042.0,606.0,606.0,,,,,2,DDF,KM-tol-1e-06-maxIter-10,clustering,11,,,,,0.5220577687475079
1446.0,6400.0,15583.0,606.0,606.0,,,,,0,DDF,KM-tol-1e-06-maxIter-10,clustering,5,,,,,0.6924683186596128
1454.0,6400.0,15288.0,606.0,606.0,,,,,1,DDF,KM-tol-1e-06-maxIter-10,clustering,5,,,,,0.6924683186596136
1448.0,6400.0,14905.0,606.0,606.0,,,,,2,DDF,KM-tol-1e-06-maxIter-10,clustering,5,,,,,0.6924683186596136
1436.0,6400.0,16613.0,606.0,606.0,,,,,0,DDF,KM-tol-1e-06-maxIter-10,clustering,1,,,,,0.6924683186596124
1470.0,6400.0,16691.0,606.0,606.0,,,,,1,DDF,KM-tol-1e-06-maxIter-10,clustering,1,,,,,0.6924683186596124
1480.0,6400.0,16503.0,606.0,606.0,,,,,2,DDF,KM-tol-1e-06-maxIter-10,clustering,1,,,,,0.6924683186596124
1729.0,6400.0,16609.0,606.0,606.0,,,,,0,DDF,KM-tol-1e-06-maxIter-10,clustering,4,,,,,0.4014892756498781
1648.0,6400.0,16904.0,606.0,606.0,,,,,1,DDF,KM-tol-1e-06-maxIter-10,clustering,4,,,,,0.401489275649878
1670.0,6400.0,16812.0,606.0,606.0,,,,,2,DDF,KM-tol-1e-06-maxIter-10,clustering,4,,,,,0.4014892756498774
1609.0,6400.0,16838.0,606.0,606.0,,,,,0,DDF,KM-tol-1e-06-maxIter-10,clustering,101,,,,,0.5220577687475086
1728.0,6400.0,16720.0,606.0,606.0,,,,,1,DDF,KM-tol-1e-06-maxIter-10,clustering,101,,,,,0.5220577687475086
1622.0,6400.0,18294.0,606.0,606.0,,,,,2,DDF,KM-tol-1e-06-maxIter-10,clustering,101,,,,,0.5220577687475084
1529.0,6400.0,15608.0,606.0,606.0,,,,,0,DDF,KM-tol-0.1-maxIter-100,clustering,9,,,,,0.4014892756498774
1469.0,6400.0,15611.0,606.0,606.0,,,,,1,DDF,KM-tol-0.1-maxIter-100,clustering,9,,,,,0.4014892756498774
1460.0,6400.0,16601.0,606.0,606.0,,,,,2,DDF,KM-tol-0.1-maxIter-100,clustering,9,,,,,0.40148927564987735
1581.0,6400.0,14526.0,606.0,606.0,,,,,0,DDF,KM-tol-0.1-maxIter-100,clustering,6,,,,,0.4014892756498772
1601.0,6400.0,16097.0,606.0,606.0,,,,,1,DDF,KM-tol-0.1-maxIter-100,clustering,6,,,,,0.4014892756498773
1648.0,6400.0,15774.0,606.0,606.0,,,,,2,DDF,KM-tol-0.1-maxIter-100,clustering,6,,,,,0.4014892756498773
1680.0,6400.0,19425.0,606.0,606.0,,,,,0,DDF,KM-tol-0.1-maxIter-100,clustering,8,,,,,0.6924683186596129
1761.0,6400.0,19091.0,606.0,606.0,,,,,1,DDF,KM-tol-0.1-maxIter-100,clustering,8,,,,,0.6924683186596117
1670.0,6400.0,17583.0,606.0,606.0,,,,,2,DDF,KM-tol-0.1-maxIter-100,clustering,8,,,,,0.6924683186596114
1671.0,6400.0,17014.0,606.0,606.0,,,,,0,DDF,KM-tol-0.1-maxIter-100,clustering,10,,,,,0.6924683186596123
1733.0,6400.0,16927.0,606.0,606.0,,,,,1,DDF,KM-tol-0.1-maxIter-100,clustering,10,,,,,0.6924683186596116
1702.0,6400.0,15027.0,606.0,606.0,,,,,2,DDF,KM-tol-0.1-maxIter-100,clustering,10,,,,,0.6924683186596116
1603.0,6400.0,17123.0,606.0,606.0,,,,,0,DDF,KM-tol-0.1-maxIter-100,clustering,7,,,,,0.6924683186596122
1576.0,6400.0,18445.0,606.0,606.0,,,,,1,DDF,KM-tol-0.1-maxIter-100,clustering,7,,,,,0.6924683186596129
1657.0,6400.0,17676.0,606.0,606.0,,,,,2,DDF,KM-tol-0.1-maxIter-100,clustering,7,,,,,0.692468318659613
1579.0,6400.0,18910.0,606.0,606.0,,,,,0,DDF,KM-tol-0.1-maxIter-100,clustering,12,,,,,0.5220577687475084
1687.0,6400.0,19339.0,606.0,606.0,,,,,1,DDF,KM-tol-0.1-maxIter-100,clustering,12,,,,,0.5220577687475085
1682.0,6400.0,18793.0,606.0,606.0,,,,,2,DDF,KM-tol-0.1-maxIter-100,clustering,12,,,,,0.5220577687475078
1562.0,6400.0,16621.0,606.0,606.0,,,,,0,DDF,KM-tol-0.1-maxIter-100,clustering,3,,,,,0.6924683186596116
1568.0,6400.0,16621.0,606.0,606.0,,,,,1,DDF,KM-tol-0.1-maxIter-100,clustering,3,,,,,0.6924683186596116
1632.0,6400.0,16515.0,606.0,606.0,,,,,2,DDF,KM-tol-0.1-maxIter-100,clustering,3,,,,,0.6924683186596116
1628.0,6400.0,14495.0,606.0,606.0,,,,,0,DDF,KM-tol-0.1-maxIter-100,clustering,2,,,,,0.6924683186596128
1538.0,6400.0,14473.0,606.0,606.0,,,,,1,DDF,KM-tol-0.1-maxIter-100,clustering,2,,,,,0.6924683186596128
1644.0,6400.0,14565.0,606.0,606.0,,,,,2,DDF,KM-tol-0.1-maxIter-100,clustering,2,,,,,0.6924683186596137
1647.0,6400.0,19544.0,606.0,606.0,,,,,0,DDF,KM-tol-0.1-maxIter-100,clustering,11,,,,,0.5220577687475076
1581.0,6400.0,19155.0,606.0,606.0,,,,,1,DDF,KM-tol-0.1-maxIter-100,clustering,11,,,,,0.5220577687475075
1608.0,6400.0,19500.0,606.0,606.0,,,,,2,DDF,KM-tol-0.1-maxIter-100,clustering,11,,,,,0.5220577687475081
1379.0,6400.0,14996.0,606.0,606.0,,,,,0,DDF,KM-tol-0.1-maxIter-100,clustering,5,,,,,0.6924683186596128
1484.0,6400.0,15095.0,606.0,606.0,,,,,1,DDF,KM-tol-0.1-maxIter-100,clustering,5,,,,,0.6924683186596136
1566.0,6400.0,15326.0,606.0,606.0,,,,,2,DDF,KM-tol-0.1-maxIter-100,clustering,5,,,,,0.6924683186596128
