dataset,algorithm,platformId,runId,Energy,phase,acronym,hp1,val1,hp2,val2
DDF,KM-tol-0.0001-maxIter-10,1,0,923.74,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,1,1,916.3,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,1,2,930.655,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,2,0,1136.84,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,2,1,1124.205,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,2,2,1150.765,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,3,0,1530.67,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,3,1,1434.61,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,3,2,1499.5,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,4,0,1825.2,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,4,1,1792.8899999999994,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,4,2,1923.255,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,5,0,1018.54,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,5,1,941.725,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,5,2,941.59,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,6,0,1361.445,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,6,1,1369.785,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,6,2,1378.9600000000007,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,7,0,1830.06,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,7,1,2133.255,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,7,2,1943.06,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,8,0,2390.045,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,8,1,2226.14,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,8,2,2518.73,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,9,0,1229.84,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,9,1,1293.285,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,9,2,1210.615,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,10,0,1868.59,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,10,1,1927.355,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,10,2,1923.615,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,11,0,2521.33,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,11,1,2357.5600000000004,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,11,2,2439.955,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,12,0,2310.19,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,12,1,2470.48,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-10,12,2,2500.28,train,KM,tol,0.0001,maxIter,10
DDF,KM-tol-0.0001-maxIter-100,1,0,943.34,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,1,1,917.22,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,1,2,921.045,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,2,0,1124.11,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,2,1,1133.24,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,2,2,1149.1549999999995,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,3,0,1536.7600000000002,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,3,1,1542.85,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,3,2,1558.57,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,4,0,1821.34,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,4,1,1790.2600000000002,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,4,2,1805.94,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,5,0,1037.835,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,5,1,955.65,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,5,2,1023.77,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,6,0,1245.4,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,6,1,1324.85,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,6,2,1348.79,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,7,0,1790.5299999999993,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,7,1,2164.925,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,7,2,1915.665,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,8,0,2496.07,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,8,1,2289.575,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,8,2,2369.145,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,9,0,1260.975,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,9,1,1347.81,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,9,2,1430.77,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,10,0,1931.31,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,10,1,2098.74,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,10,2,2177.5200000000004,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,11,0,2249.605,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,11,1,2518.96,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,11,2,2371.2,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,12,0,2650.93,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,12,1,2669.235,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-100,12,2,2450.9300000000007,train,KM,tol,0.0001,maxIter,100
DDF,KM-tol-0.0001-maxIter-20,1,0,918.535,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,1,1,914.56,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,1,2,844.4399999999998,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,2,0,1100.09,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,2,1,1144.955,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,2,2,1147.795,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,3,0,1535.64,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,3,1,1537.87,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,3,2,1564.46,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,4,0,1799.15,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,4,1,1830.715,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,4,2,1791.15,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,5,0,1038.935,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,5,1,951.925,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,5,2,943.455,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,6,0,1488.1799999999996,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,6,1,1348.9350000000004,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,6,2,1349.14,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,7,0,1953.4,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,7,1,1826.435,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,7,2,1944.965,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,8,0,2571.1450000000004,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,8,1,2496.64,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,8,2,2523.32,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,9,0,1353.6850000000004,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,9,1,1241.96,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,9,2,1321.9299999999996,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,10,0,1695.04,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,10,1,2039.92,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,10,2,1885.75,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,11,0,2498.86,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,11,1,2179.49,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,11,2,2324.385,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,12,0,2654.715,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,12,1,2483.57,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.0001-maxIter-20,12,2,2602.61,train,KM,tol,0.0001,maxIter,20
DDF,KM-tol-0.1-maxIter-10,1,0,931.195,train,KM,tol,0.1,maxIter,10
DDF,KM-tol-0.1-maxIter-10,1,1,924.89,train,KM,tol,0.1,maxIter,10
DDF,KM-tol-0.1-maxIter-10,1,2,908.605,train,KM,tol,0.1,maxIter,10
DDF,KM-tol-0.1-maxIter-10,2,0,1000.38,train,KM,tol,0.1,maxIter,10
DDF,KM-tol-0.1-maxIter-10,2,1,1130.21,train,KM,tol,0.1,maxIter,10
DDF,KM-tol-0.1-maxIter-10,2,2,1144.485,train,KM,tol,0.1,maxIter,10
DDF,KM-tol-0.1-maxIter-10,3,0,1543.455,train,KM,tol,0.1,maxIter,10
