dataset,algorithm,platformId,runId,MemTotal,MemFree,node,time,phase
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,7245716,0,04/23/21 37 2021 07:37:02. 195,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,7059748,0,04/23/21 37 2021 07:37:03. 209,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6556928,0,04/23/21 37 2021 07:37:04. 222,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6519312,0,04/23/21 37 2021 07:37:05. 236,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6515816,0,04/23/21 37 2021 07:37:06. 250,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6507760,0,04/23/21 37 2021 07:37:07. 261,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6498084,0,04/23/21 37 2021 07:37:08. 278,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6388660,0,04/23/21 37 2021 07:37:09. 293,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6272388,0,04/23/21 37 2021 07:37:10. 306,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6117904,0,04/23/21 37 2021 07:37:11. 321,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6105924,0,04/23/21 37 2021 07:37:12. 332,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6100304,0,04/23/21 37 2021 07:37:13. 344,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6101756,0,04/23/21 37 2021 07:37:14. 361,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6100292,0,04/23/21 37 2021 07:37:15. 376,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,7245716,1,04/23/21 37 2021 07:37:02. 195,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,7059748,1,04/23/21 37 2021 07:37:03. 209,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6556928,1,04/23/21 37 2021 07:37:04. 222,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6519312,1,04/23/21 37 2021 07:37:05. 236,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6515816,1,04/23/21 37 2021 07:37:06. 250,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6507760,1,04/23/21 37 2021 07:37:07. 261,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6498084,1,04/23/21 37 2021 07:37:08. 278,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6388660,1,04/23/21 37 2021 07:37:09. 293,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6272388,1,04/23/21 37 2021 07:37:10. 306,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6117904,1,04/23/21 37 2021 07:37:11. 321,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6105924,1,04/23/21 37 2021 07:37:12. 332,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6100304,1,04/23/21 37 2021 07:37:13. 344,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6101756,1,04/23/21 37 2021 07:37:14. 361,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6100292,1,04/23/21 37 2021 07:37:15. 376,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14604288,1,04/23/21 37 2021 07:37:02. 295,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603136,1,04/23/21 37 2021 07:37:03. 320,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602740,1,04/23/21 37 2021 07:37:04. 346,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602848,1,04/23/21 37 2021 07:37:05. 371,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602704,1,04/23/21 37 2021 07:37:06. 396,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602312,1,04/23/21 37 2021 07:37:07. 421,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603740,1,04/23/21 37 2021 07:37:08. 446,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603944,1,04/23/21 37 2021 07:37:09. 472,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603432,1,04/23/21 37 2021 07:37:10. 497,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603204,1,04/23/21 37 2021 07:37:11. 522,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602492,1,04/23/21 37 2021 07:37:12. 547,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602844,1,04/23/21 37 2021 07:37:13. 572,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14604096,1,04/23/21 37 2021 07:37:14. 597,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603740,1,04/23/21 37 2021 07:37:15. 623,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,7245716,2,04/23/21 37 2021 07:37:02. 195,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,7059748,2,04/23/21 37 2021 07:37:03. 209,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6556928,2,04/23/21 37 2021 07:37:04. 222,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6519312,2,04/23/21 37 2021 07:37:05. 236,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6515816,2,04/23/21 37 2021 07:37:06. 250,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6507760,2,04/23/21 37 2021 07:37:07. 261,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6498084,2,04/23/21 37 2021 07:37:08. 278,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6388660,2,04/23/21 37 2021 07:37:09. 293,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6272388,2,04/23/21 37 2021 07:37:10. 306,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6117904,2,04/23/21 37 2021 07:37:11. 321,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6105924,2,04/23/21 37 2021 07:37:12. 332,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6100304,2,04/23/21 37 2021 07:37:13. 344,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6101756,2,04/23/21 37 2021 07:37:14. 361,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451544,6100292,2,04/23/21 37 2021 07:37:15. 376,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14604288,2,04/23/21 37 2021 07:37:02. 295,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603136,2,04/23/21 37 2021 07:37:03. 320,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602740,2,04/23/21 37 2021 07:37:04. 346,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602848,2,04/23/21 37 2021 07:37:05. 371,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602704,2,04/23/21 37 2021 07:37:06. 396,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14602312,2,04/23/21 37 2021 07:37:07. 421,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603740,2,04/23/21 37 2021 07:37:08. 446,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603944,2,04/23/21 37 2021 07:37:09. 472,train
DDF,KM-tol-0.0001-maxIter-10,1,0,65451520,14603432,2,04/23/21 37 2021 07:37:10. 497,train
