dataset,algorithm,platformId,runId,CpuUsage,node,timeIndex,phase
DDF,KM-tol-0.01,0,0,0.13185937516595547,0,0,train
DDF,KM-tol-1e-06,0,2,0.23661270236612697,2,15,train
DDF,KM-tol-1e-06,0,2,0.002475247524752477,2,14,train
DDF,KM-tol-1e-06,0,2,0.0037037037037036535,2,13,train
DDF,KM-tol-1e-06,0,2,0.002475247524752477,2,12,train
DDF,KM-tol-1e-06,0,2,0.045905707196029814,2,11,train
DDF,KM-tol-1e-06,0,2,0.4163568773234201,2,10,train
DDF,KM-tol-1e-06,0,2,0.07730673316708225,2,9,train
DDF,KM-tol-1e-06,0,2,0.5341614906832297,2,8,train
DDF,KM-tol-1e-06,0,2,0.33497536945812806,2,7,train
DDF,KM-tol-1e-06,0,2,0.13720642768850433,2,6,train
DDF,KM-tol-1e-06,0,2,0.003708281829419069,2,5,train
DDF,KM-tol-1e-06,0,2,0.011097410604192337,2,4,train
DDF,KM-tol-1e-06,0,2,0.14552238805970152,2,3,train
DDF,KM-tol-1e-06,0,2,0.1962962962962963,2,2,train
DDF,KM-tol-1e-06,0,2,0.7493796526054591,2,16,train
DDF,KM-tol-1e-06,0,2,0.003712871287128716,2,1,train
DDF,KM-tol-1e-06,0,1,0.5861214374225527,2,18,test
DDF,KM-tol-1e-06,0,1,0.5841584158415842,2,17,test
DDF,KM-tol-1e-06,0,1,0.8742216687422164,2,16,train
DDF,KM-tol-1e-06,0,1,0.26783479349186484,2,15,train
DDF,KM-tol-1e-06,0,1,0.0024721878862793427,2,14,train
DDF,KM-tol-1e-06,0,1,0.0024721878862793427,2,13,train
DDF,KM-tol-1e-06,0,1,0.0037037037037036535,2,12,train
DDF,KM-tol-1e-06,0,1,0.008684863523573227,2,11,train
DDF,KM-tol-1e-06,0,1,0.37422552664188347,2,10,train
DDF,KM-tol-1e-06,0,1,0.05459057071960293,2,9,train
DDF,KM-tol-1e-06,0,1,0.48391089108910895,2,8,train
DDF,KM-tol-1e-06,0,1,0.33333333333333337,2,7,train
DDF,KM-tol-1e-06,0,1,0.2,2,6,train
DDF,KM-tol-1e-06,0,1,0.002478314745972709,2,5,train
DDF,KM-tol-1e-06,0,2,0.1421723669229965,2,0,train
DDF,KM-tol-1e-06,0,2,0.5534825870646768,2,17,train
DDF,KM-tol-1e-06,0,2,0.5366459627329192,2,18,test
DDF,KM-tol-1e-06,0,2,0.67625,2,19,test
DDF,KM-tol-1e-06,0,1,0.45600991325898393,3,10,train
DDF,KM-tol-1e-06,0,1,0.23697270471464013,3,9,train
DDF,KM-tol-1e-06,0,1,0.021197007481296715,3,8,train
DDF,KM-tol-1e-06,0,1,0.4876543209876543,3,7,train
DDF,KM-tol-1e-06,0,1,0.3580246913580247,3,6,train
DDF,KM-tol-1e-06,0,1,0.3223443223443223,3,5,train
DDF,KM-tol-1e-06,0,1,0.39778325123152714,3,4,train
DDF,KM-tol-1e-06,0,1,0.5473554735547357,3,3,train
DDF,KM-tol-1e-06,0,1,0.49449204406364744,3,2,train
DDF,KM-tol-1e-06,0,1,0.2527743526510481,3,1,train
DDF,KM-tol-1e-06,0,1,0.3153786645494953,3,0,train
DDF,KM-tol-1e-06,0,0,0.6472049689440993,3,19,test
DDF,KM-tol-1e-06,0,0,0.5548628428927681,3,18,test
DDF,KM-tol-1e-06,0,0,0.5666251556662514,3,17,train
DDF,KM-tol-1e-06,0,0,0.8277571251548946,3,16,train
DDF,KM-tol-1e-06,0,0,0.19298245614035092,3,15,train
DDF,KM-tol-1e-06,0,0,0.18407960199004983,3,14,train
DDF,KM-tol-1e-06,0,0,0.31537946745726514,3,0,train
DDF,KM-tol-1e-06,0,0,0.26951219512195124,3,1,train
DDF,KM-tol-1e-06,0,0,0.49694002447980395,3,2,train
DDF,KM-tol-1e-06,0,0,0.5555555555555557,3,3,train
DDF,KM-tol-1e-06,0,0,0.39560439560439564,3,4,train
DDF,KM-tol-1e-06,0,0,0.2144607843137255,3,5,train
DDF,KM-tol-1e-06,0,1,0.009876543209876519,2,4,train
DDF,KM-tol-1e-06,0,0,0.13636363636363635,3,6,train
DDF,KM-tol-1e-06,0,0,0.5751552795031056,3,8,train
DDF,KM-tol-1e-06,0,0,0.29192546583850926,3,9,train
DDF,KM-tol-1e-06,0,0,0.47718865598027144,3,10,train
DDF,KM-tol-1e-06,0,0,0.30483271375464677,3,11,train
DDF,KM-tol-1e-06,0,0,0.24938271604938264,3,12,train
DDF,KM-tol-1e-06,0,0,0.19702602230483268,3,13,train
DDF,KM-tol-1e-06,0,0,0.34474327628361856,3,7,train
DDF,KM-tol-1e-06,0,1,0.2754342431761787,3,11,train
DDF,KM-tol-1e-06,0,1,0.1467661691542289,2,3,train
DDF,KM-tol-1e-06,0,1,0.003708281829419069,2,1,train
DDF,KM-tol-1e-06,0,2,0.20975609756097557,1,5,train
DDF,KM-tol-1e-06,0,2,0.0024875621890547706,1,4,train
DDF,KM-tol-1e-06,0,2,0.15470297029702973,1,3,train
DDF,KM-tol-1e-06,0,2,0.1918819188191881,1,2,train
DDF,KM-tol-1e-06,0,2,0.001242236024844745,1,1,train
DDF,KM-tol-1e-06,0,2,0.13142678274983932,1,0,train
DDF,KM-tol-1e-06,0,1,0.533083645443196,1,18,test
DDF,KM-tol-1e-06,0,1,0.6049689440993788,1,17,test
DDF,KM-tol-1e-06,0,1,0.7378881987577641,1,16,train
