dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DDF,KM-maxIter-10,0,0,2254.185,train,KM,maxIter,10
DDF,KM-maxIter-10,0,1,2312.795,train,KM,maxIter,10
DDF,KM-maxIter-10,0,2,2031.82,train,KM,maxIter,10
DDF,KM-maxIter-100,0,0,2078.375,train,KM,maxIter,100
DDF,KM-maxIter-100,0,1,1760.66,train,KM,maxIter,100
DDF,KM-maxIter-100,0,2,1475.705,train,KM,maxIter,100
DDF,KM-maxIter-100,0,0,237.1,test,KM,maxIter,100
DDF,KM-maxIter-100,0,1,66.53,test,KM,maxIter,100
DDF,KM-maxIter-15,0,0,987.58,train,KM,maxIter,15
DDF,KM-maxIter-15,0,1,1898.9700000000007,train,KM,maxIter,15
DDF,KM-maxIter-15,0,2,2525.23,train,KM,maxIter,15
DDF,KM-maxIter-20,0,0,1378.27,train,KM,maxIter,20
DDF,KM-maxIter-20,0,1,2076.5550000000007,train,KM,maxIter,20
DDF,KM-maxIter-20,0,2,1928.95,train,KM,maxIter,20
DDF,KM-maxIter-20,0,0,201.75,test,KM,maxIter,20
DDF,KM-maxIter-20,0,2,236.95,test,KM,maxIter,20
DDF,KM-maxIter-5,0,0,1767.6799999999996,train,KM,maxIter,5
DDF,KM-maxIter-5,0,1,1839.69,train,KM,maxIter,5
DDF,KM-maxIter-5,0,2,1596.005,train,KM,maxIter,5
DDF,KM-maxIter-5,0,1,241.45,test,KM,maxIter,5
DDF,KM-maxIter-50,0,0,2577.100000000001,train,KM,maxIter,50
DDF,KM-maxIter-50,0,1,1869.72,train,KM,maxIter,50
DDF,KM-maxIter-50,0,2,726.2250000000001,train,KM,maxIter,50
DDF,KM-maxIter-50,0,0,168.45,test,KM,maxIter,50
DDF,KM-maxIter-50,0,2,90.855,test,KM,maxIter,50
DDF,KM-tol-0.0001,0,0,2020.23,train,KM,tol,0.0001
DDF,KM-tol-0.0001,0,1,1904.395,train,KM,tol,0.0001
DDF,KM-tol-0.0001,0,2,2439.7,train,KM,tol,0.0001
DDF,KM-tol-0.0001,0,0,149.9,test,KM,tol,0.0001
DDF,KM-tol-0.0001,0,2,63.345,test,KM,tol,0.0001
DDF,KM-tol-0.01,0,0,1940.8250000000005,train,KM,tol,0.01
DDF,KM-tol-0.01,0,1,638.3149999999998,train,KM,tol,0.01
DDF,KM-tol-0.01,0,2,1982.8,train,KM,tol,0.01
DDF,KM-tol-0.01,0,1,105.99,test,KM,tol,0.01
DDF,KM-tol-0.1,0,0,2488.0750000000007,train,KM,tol,0.1
DDF,KM-tol-0.1,0,1,1245.33,train,KM,tol,0.1
DDF,KM-tol-0.1,0,2,1872.465,train,KM,tol,0.1
DDF,KM-tol-0.1,0,1,61.115,test,KM,tol,0.1
DDF,KM-tol-0.1,0,2,245.65,test,KM,tol,0.1
DDF,KM-tol-1e-06,0,0,1216.2950000000005,train,KM,tol,1e-06
DDF,KM-tol-1e-06,0,1,830.195,train,KM,tol,1e-06
DDF,KM-tol-1e-06,0,2,2762.69,train,KM,tol,1e-06
