dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DDF,KM-tol-0.01,0,0,65451572,5505620,0,0,train
DDF,KM-tol-1e-06,0,2,65451544,4067292,2,15,train
DDF,KM-tol-1e-06,0,2,65451544,4069380,2,14,train
DDF,KM-tol-1e-06,0,2,65451544,4069876,2,13,train
DDF,KM-tol-1e-06,0,2,65451544,4070152,2,12,train
DDF,KM-tol-1e-06,0,2,65451544,4064648,2,11,train
DDF,KM-tol-1e-06,0,2,65451544,4079864,2,10,train
DDF,KM-tol-1e-06,0,2,65451544,4111104,2,9,train
DDF,KM-tol-1e-06,0,2,65451544,4179560,2,8,train
DDF,KM-tol-1e-06,0,2,65451544,4762332,2,7,train
DDF,KM-tol-1e-06,0,2,65451544,4941688,2,6,train
DDF,KM-tol-1e-06,0,2,65451544,5021384,2,5,train
DDF,KM-tol-1e-06,0,2,65451544,5021248,2,4,train
DDF,KM-tol-1e-06,0,2,65451544,5019900,2,3,train
DDF,KM-tol-1e-06,0,2,65451544,5177968,2,2,train
DDF,KM-tol-1e-06,0,2,65451544,3291888,2,16,train
DDF,KM-tol-1e-06,0,2,65451544,5397780,2,1,train
DDF,KM-tol-1e-06,0,1,65451544,3122776,2,18,test
DDF,KM-tol-1e-06,0,1,65451544,3189612,2,17,test
DDF,KM-tol-1e-06,0,1,65451544,3260456,2,16,train
DDF,KM-tol-1e-06,0,1,65451544,4064016,2,15,train
DDF,KM-tol-1e-06,0,1,65451544,4065320,2,14,train
DDF,KM-tol-1e-06,0,1,65451544,4065864,2,13,train
DDF,KM-tol-1e-06,0,1,65451544,4066392,2,12,train
DDF,KM-tol-1e-06,0,1,65451544,4062636,2,11,train
DDF,KM-tol-1e-06,0,1,65451544,4064724,2,10,train
DDF,KM-tol-1e-06,0,1,65451544,4129648,2,9,train
DDF,KM-tol-1e-06,0,1,65451544,4179328,2,8,train
DDF,KM-tol-1e-06,0,1,65451544,4744492,2,7,train
DDF,KM-tol-1e-06,0,1,65451544,4886700,2,6,train
DDF,KM-tol-1e-06,0,1,65451544,5040172,2,5,train
DDF,KM-tol-1e-06,0,2,65451544,5397312,2,0,train
DDF,KM-tol-1e-06,0,2,65451544,3167904,2,17,train
DDF,KM-tol-1e-06,0,2,65451544,3095036,2,18,test
DDF,KM-tol-1e-06,0,2,65451544,3085236,2,19,test
DDF,KM-tol-1e-06,0,1,65451544,5935616,3,10,train
DDF,KM-tol-1e-06,0,1,65451544,6197816,3,9,train
DDF,KM-tol-1e-06,0,1,65451544,6201444,3,8,train
DDF,KM-tol-1e-06,0,1,65451544,6202984,3,7,train
DDF,KM-tol-1e-06,0,1,65451544,6907928,3,6,train
DDF,KM-tol-1e-06,0,1,65451544,6949732,3,5,train
DDF,KM-tol-1e-06,0,1,65451544,7229440,3,4,train
DDF,KM-tol-1e-06,0,1,65451544,7358716,3,3,train
DDF,KM-tol-1e-06,0,1,65451544,7852848,3,2,train
DDF,KM-tol-1e-06,0,1,65451544,8150028,3,1,train
DDF,KM-tol-1e-06,0,1,65451544,8385524,3,0,train
DDF,KM-tol-1e-06,0,0,65451544,4390748,3,19,test
DDF,KM-tol-1e-06,0,0,65451544,4396820,3,18,test
DDF,KM-tol-1e-06,0,0,65451544,4506188,3,17,train
DDF,KM-tol-1e-06,0,0,65451544,4561440,3,16,train
DDF,KM-tol-1e-06,0,0,65451544,5228760,3,15,train
DDF,KM-tol-1e-06,0,0,65451544,5331608,3,14,train
DDF,KM-tol-1e-06,0,0,65451544,8403412,3,0,train
DDF,KM-tol-1e-06,0,0,65451544,8144112,3,1,train
DDF,KM-tol-1e-06,0,0,65451544,7853088,3,2,train
DDF,KM-tol-1e-06,0,0,65451544,7344920,3,3,train
DDF,KM-tol-1e-06,0,0,65451544,7190380,3,4,train
DDF,KM-tol-1e-06,0,0,65451544,7122860,3,5,train
DDF,KM-tol-1e-06,0,1,65451544,5039600,2,4,train
DDF,KM-tol-1e-06,0,0,65451544,7029616,3,6,train
