dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,KM-tol-0.01,0,0,0,0,0,0,train
DDF,KM-tol-1e-06,0,2,492802,14714,2,15,train
DDF,KM-tol-1e-06,0,2,95,291,2,14,train
DDF,KM-tol-1e-06,0,2,241,2083,2,13,train
DDF,KM-tol-1e-06,0,2,376,291,2,12,train
DDF,KM-tol-1e-06,0,2,2115,2378,2,11,train
DDF,KM-tol-1e-06,0,2,20705340,181409,2,10,train
DDF,KM-tol-1e-06,0,2,9248963,187467,2,9,train
DDF,KM-tol-1e-06,0,2,31617817,126714,2,8,train
DDF,KM-tol-1e-06,0,2,25721,2252,2,7,train
DDF,KM-tol-1e-06,0,2,16544788,126342,2,6,train
DDF,KM-tol-1e-06,0,2,95,291,2,5,train
DDF,KM-tol-1e-06,0,2,189,798,2,4,train
DDF,KM-tol-1e-06,0,2,5179,8623,2,3,train
DDF,KM-tol-1e-06,0,2,2840,2676,2,2,train
DDF,KM-tol-1e-06,0,2,189,798,2,16,train
DDF,KM-tol-1e-06,0,2,189,798,2,1,train
DDF,KM-tol-1e-06,0,1,241,2083,2,18,test
DDF,KM-tol-1e-06,0,1,376,291,2,17,test
DDF,KM-tol-1e-06,0,1,95,291,2,16,train
DDF,KM-tol-1e-06,0,1,492638,15221,2,15,train
DDF,KM-tol-1e-06,0,1,199,395,2,14,train
DDF,KM-tol-1e-06,0,1,353,804,2,13,train
DDF,KM-tol-1e-06,0,1,189,798,2,12,train
DDF,KM-tol-1e-06,0,1,2115,2378,2,11,train
DDF,KM-tol-1e-06,0,1,16467381,153947,2,10,train
DDF,KM-tol-1e-06,0,1,4179005,134027,2,9,train
DDF,KM-tol-1e-06,0,1,32094472,171007,2,8,train
DDF,KM-tol-1e-06,0,1,26029,3396,2,7,train
DDF,KM-tol-1e-06,0,1,16544747,88894,2,6,train
DDF,KM-tol-1e-06,0,1,95,291,2,5,train
DDF,KM-tol-1e-06,0,2,0,0,2,0,train
