dataset,algorithm,platformId,runId,Energy,phase
DDF,KM,0,2,1753.1699999999998,train
DDF,KM,0,1,1950.35,train
DDF,KM,0,0,1798.8600000000001,train
DDF,KM,0,0,105.44449999999999,test
DDF,KM,0,1,99.32872,test
DDF,KM,0,2,104.72187,test
DDF,KM,1,2,802.335,train
DDF,KM,1,1,68.97039,test
DDF,KM,1,2,87.17841,test
DDF,KM,1,0,94.57910000000001,test
DDF,KM,1,1,2288.825,train
DDF,KM,1,0,1947.525,train
DDF,KM,2,1,1978.3300000000002,train
DDF,KM,2,0,920.5649999999999,train
DDF,KM,2,2,98.21214000000002,test
DDF,KM,2,2,1584.3000000000002,train
DDF,KM,2,1,92.14920000000001,test
DDF,KM,2,0,98.46592,test
DDF,KM,3,1,101.71469,test
DDF,KM,3,0,103.90119,test
DDF,KM,3,0,1522.2300000000002,train
DDF,KM,3,1,928.11,train
DDF,KM,3,2,1459.27,train
DDF,KM,3,2,97.05072,test
DDF,KM,4,1,771.32,train
DDF,KM,4,2,702.1949999999999,train
DDF,KM,4,0,602.78,train
DDF,KM,4,0,114.378,test
DDF,KM,4,1,112.40208000000001,test
DDF,KM,4,2,106.59600000000002,test
DDF,KM,5,0,119.05607999999998,test
DDF,KM,5,2,111.58782999999998,test
DDF,KM,5,0,3215.9500000000003,train
DDF,KM,5,1,2139.81,train
DDF,KM,5,2,2833.9950000000003,train
DDF,KM,5,1,129.41531999999998,test
DDF,KM,6,2,2761.1000000000004,train
DDF,KM,6,1,1578.085,train
DDF,KM,6,2,126.81279999999998,test
DDF,KM,6,1,140.85760000000002,test
DDF,KM,6,0,117.733,test
DDF,KM,6,0,2175.6900000000005,train
DDF,KM,7,0,818.89,train
DDF,KM,7,2,118.7136,test
DDF,KM,7,1,129.8172,test
DDF,KM,7,1,2409.54,train
DDF,KM,7,2,2701.7000000000003,train
DDF,KM,7,0,138.44349999999997,test
DDF,KM,8,0,3177.795,train
DDF,KM,8,2,1132.575,train
DDF,KM,8,0,126.08,test
DDF,KM,8,2,129.8803,test
DDF,KM,8,1,126.0405,test
DDF,KM,8,1,1552.8400000000001,train
DDF,KM,9,1,95.12250000000002,test
DDF,KM,9,0,109.89072,test
DDF,KM,9,2,101.758,test
DDF,KM,9,0,1704.42,train
DDF,KM,9,2,1427.3,train
DDF,KM,9,1,615.5450000000001,train
DDF,KM,10,0,104.88524999999998,test
DDF,KM,10,1,623.5450000000001,train
DDF,KM,10,0,1370.9499999999998,train
DDF,KM,10,1,88.5625,test
DDF,KM,10,2,86.3406,test
DDF,KM,10,2,648.5799999999999,train
DDF,KM,11,0,103.53726,test
DDF,KM,11,1,103.71527999999999,test
DDF,KM,11,2,99.61504000000001,test
DDF,KM,11,2,727.0200000000002,train
DDF,KM,11,0,1466.2250000000001,train
DDF,KM,11,1,1033.1899999999998,train
DDF,KM,12,1,93.88125,test
DDF,KM,12,1,2383.005,train
DDF,KM,12,0,1740.83,train
DDF,KM,12,2,103.91676,test
DDF,KM,12,2,1482.19,train
DDF,KM,12,0,103.46488000000001,test
DDF,KM,13,1,116.9228,test
DDF,KM,13,2,109.06374,test
DDF,KM,13,0,1992.1500000000005,train
DDF,KM,13,1,2513.185,train
DDF,KM,13,2,1956.0699999999997,train
DDF,KM,13,0,99.75966,test
DDF,KM,14,2,764.155,train
DDF,KM,14,1,968.085,train
DDF,KM,14,1,112.03996999999998,test
DDF,KM,14,0,108.88981999999999,test
DDF,KM,14,0,1995.645,train
DDF,KM,14,2,106.40332000000001,test
DDF,KM,15,0,110.37114000000001,test
DDF,KM,15,1,2326.225,train
DDF,KM,15,2,2180.145,train
DDF,KM,15,2,107.05659999999999,test
DDF,KM,15,1,124.8583,test
DDF,KM,15,0,869.465,train
DDF,KM,16,0,101.7803,test
DDF,KM,16,1,110.6935,test
DDF,KM,16,0,2449.8650000000002,train
DDF,KM,16,1,2413.1899999999996,train
DDF,KM,16,2,2053.6700000000005,train
DDF,KM,16,2,104.53299999999999,test
DDF,KM,17,1,1239.835,train
DDF,KM,17,2,101.7636,test
DDF,KM,17,1,103.72894000000001,test
DDF,KM,17,2,1655.3650000000002,train
DDF,KM,17,0,1668.4649999999997,train
DDF,KM,17,0,113.87992,test
DDF,KM,18,0,1098.745,train
DDF,KM,18,0,110.51544,test
DDF,KM,18,1,102.42960000000001,test
DDF,KM,18,1,903.495,train
DDF,KM,18,2,1111.6,train
DDF,KM,18,2,113.84058,test
DDF,KM,19,2,1643.73,train
DDF,KM,19,2,99.05743000000001,test
DDF,KM,19,1,92.73997,test
DDF,KM,19,1,1384.955,train
DDF,KM,19,0,1255.8450000000003,train
DDF,KM,19,0,96.781,test
DDF,KM,20,0,1717.4249999999997,train
DDF,KM,20,2,109.17962999999999,test
DDF,KM,20,1,98.43120000000002,test
DDF,KM,20,2,848.63,train
DDF,KM,20,1,1241.88,train
DDF,KM,20,0,92.88944,test
DDF,KM,21,1,93.20675,test
DDF,KM,21,0,114.54840000000002,test
DDF,KM,21,0,1090.2250000000001,train
DDF,KM,21,2,106.0625,test
DDF,KM,21,1,1520.4,train
DDF,KM,21,2,1037.615,train
DDF,KM,22,2,104.06762,test
DDF,KM,22,1,1200.0100000000002,train
DDF,KM,22,0,938.5400000000001,train
DDF,KM,22,2,1360.3200000000002,train
DDF,KM,22,1,103.5818,test
DDF,KM,22,0,95.7392,test
DDF,KM,23,1,1754.67,train
DDF,KM,23,0,1555.7849999999999,train
DDF,KM,23,2,92.9102,test
DDF,KM,23,0,102.85714000000002,test
DDF,KM,23,2,1879.4050000000002,train
DDF,KM,23,1,103.76752,test
DDF,KM,24,1,96.61575,test
DDF,KM,24,0,91.65885,test
DDF,KM,24,0,1792.3450000000003,train
DDF,KM,24,1,1745.315,train
DDF,KM,24,2,1793.8199999999997,train
DDF,KM,24,2,103.64862,test
DDF,KM,25,2,1824.54,train
DDF,KM,25,1,106.02375,test
DDF,KM,25,0,1738.625,train
DDF,KM,25,2,107.38236000000002,test
DDF,KM,25,0,98.55703,test
DDF,KM,25,1,1823.8600000000001,train
DDF,KM,26,0,89.47704,test
DDF,KM,26,0,2089.63,train
DDF,KM,26,1,1556.9100000000003,train
DDF,KM,26,2,1412.04,train
DDF,KM,26,2,115.05659999999999,test
DDF,KM,26,1,108.62939999999999,test
DDF,KM,27,0,95.76752,test
DDF,KM,27,1,1943.6099999999997,train
DDF,KM,27,0,1443.4299999999998,train
DDF,KM,27,1,99.20994999999999,test
DDF,KM,27,2,110.02023999999999,test
DDF,KM,27,2,1713.5500000000002,train
DDF,KM,28,2,2619.0150000000003,train
DDF,KM,28,1,1188.5,train
DDF,KM,28,0,1922.5700000000002,train
DDF,KM,28,2,106.59179999999999,test
DDF,KM,28,1,114.28760000000003,test
DDF,KM,28,0,111.81520000000002,test
DDF,KM,29,2,3517.95,train
DDF,KM,29,1,2432.19,train
DDF,KM,29,0,100.84298,test
DDF,KM,29,0,2616.04,train
DDF,KM,29,2,88.38784,test
DDF,KM,29,1,96.596,test
DDF,KM,30,2,115.26372,test
DDF,KM,30,2,3441.9300000000003,train
DDF,KM,30,1,92.98945,test
DDF,KM,30,0,123.3414,test
DDF,KM,30,1,1333.725,train
DDF,KM,30,0,3545.3600000000006,train
DDF,KM,31,1,1532.1450000000002,train
DDF,KM,31,2,102.541,test
DDF,KM,31,0,3631.0550000000003,train
DDF,KM,31,0,110.81909999999999,test
DDF,KM,31,2,2501.96,train
DDF,KM,31,1,96.91539,test
DDF,KM,32,0,2617.5600000000004,train
DDF,KM,32,1,946.2,train
DDF,KM,32,0,82.69559999999998,test
DDF,KM,32,1,107.0172,test
DDF,KM,32,2,89.33672,test
DDF,KM,32,2,3673.83,train
DDF,KM,33,1,1486.415,train
DDF,KM,33,0,954.6099999999999,train
DDF,KM,33,0,97.39083000000001,test
DDF,KM,33,1,87.82020000000001,test
DDF,KM,33,2,89.26862999999999,test
DDF,KM,33,2,921.165,train
DDF,KM,34,2,1104.675,train
DDF,KM,34,1,1394.79,train
DDF,KM,34,0,100.98464,test
DDF,KM,34,1,113.76032999999998,test
DDF,KM,34,2,95.78417999999999,test
DDF,KM,34,0,2358.66,train
DDF,KM,35,2,1073.83,train
DDF,KM,35,0,2763.255,train
DDF,KM,35,1,2026.2250000000001,train
DDF,KM,35,0,100.28151,test
DDF,KM,35,1,113.52788000000001,test
DDF,KM,35,2,105.04728,test
DDF,KM,36,1,98.65459,test
DDF,KM,36,0,97.05420000000001,test
DDF,KM,36,0,2749.46,train
DDF,KM,36,1,2385.46,train
DDF,KM,36,2,1049.905,train
DDF,KM,36,2,103.5281,test
DDF,KM,37,1,2513.5550000000003,train
DDF,KM,37,0,2659.4800000000005,train
DDF,KM,37,1,107.31123,test
DDF,KM,37,2,765.505,train
DDF,KM,37,0,106.33519,test
