dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,KM,0,2,95,290,2,1,train
DDF,KM,0,1,26235,2320,0,7,train
DDF,KM,0,1,16544571,126170,0,6,train
DDF,KM,0,1,95,289,0,5,train
DDF,KM,0,1,95,289,0,4,train
DDF,KM,0,1,3099,6842,0,3,train
DDF,KM,0,1,4908,3673,0,2,train
DDF,KM,0,1,189,795,0,1,train
DDF,KM,0,1,0,0,0,0,train
DDF,KM,0,0,95,289,0,16,test
DDF,KM,0,0,492337,13776,0,15,test
DDF,KM,0,0,447,1308,0,14,train
DDF,KM,0,0,193,393,0,13,train
DDF,KM,0,0,95,289,0,12,train
DDF,KM,0,0,3345,4124,0,11,train
DDF,KM,0,0,16082967,176675,0,10,train
DDF,KM,0,0,137914,12439,0,9,train
DDF,KM,0,0,189,795,0,8,train
DDF,KM,0,0,45724536,264512,0,7,train
DDF,KM,0,0,197584,41691,0,6,train
DDF,KM,0,0,16523729,123705,0,5,train
DDF,KM,0,0,95,289,0,4,train
DDF,KM,0,0,3121,6562,0,3,train
DDF,KM,0,0,5002,4179,0,2,train
DDF,KM,0,1,36230374,277076,0,8,train
DDF,KM,0,0,95,341,0,1,train
DDF,KM,0,1,138623,13196,0,9,train
DDF,KM,0,1,2115,2376,0,11,train
DDF,KM,0,2,492268,14429,0,15,train
DDF,KM,0,2,95,289,0,14,train
DDF,KM,0,2,189,795,0,13,train
DDF,KM,0,2,95,289,0,12,train
DDF,KM,0,2,979,1134,0,11,train
DDF,KM,0,2,20761877,202461,0,10,train
DDF,KM,0,2,2815607,163871,0,9,train
DDF,KM,0,2,37961147,139823,0,8,train
DDF,KM,0,2,26264,2727,0,7,train
DDF,KM,0,2,16545360,125248,0,6,train
DDF,KM,0,2,95,289,0,5,train
DDF,KM,0,2,241,2080,0,4,train
DDF,KM,0,2,3005,6336,0,3,train
DDF,KM,0,2,4960,4958,0,2,train
DDF,KM,0,2,189,795,0,1,train
DDF,KM,0,2,0,0,0,0,train
DDF,KM,0,1,189,795,0,18,test
DDF,KM,0,1,95,289,0,17,train
DDF,KM,0,1,95,289,0,16,train
DDF,KM,0,1,491959,14334,0,15,train
DDF,KM,0,1,95,289,0,14,train
DDF,KM,0,1,95,289,0,13,train
DDF,KM,0,1,235,795,0,12,train
DDF,KM,0,1,20379166,175888,0,10,train
DDF,KM,0,2,189,795,0,16,test
DDF,KM,0,0,0,0,0,0,train
DDF,KM,0,0,21549,18303,3,1,train
DDF,KM,0,1,1764,767,3,12,train
DDF,KM,0,1,2985,1275,3,13,train
DDF,KM,0,1,4587,1537,3,14,train
DDF,KM,0,1,1764,767,3,15,train
DDF,KM,0,1,548033,1973414,3,16,train
DDF,KM,0,1,1861,1277,3,17,train
DDF,KM,0,1,9879,8882,3,18,test
DDF,KM,0,2,0,0,3,0,train
DDF,KM,0,2,19649,18624,3,1,train
DDF,KM,0,2,23829,24034,3,2,train
DDF,KM,0,2,37925,29546,3,3,train
DDF,KM,0,2,6737,1581,3,4,train
DDF,KM,0,2,125447,16384243,3,5,train
DDF,KM,0,2,16606702,35213947,3,6,train
DDF,KM,0,2,257402,42187880,3,7,train
DDF,KM,0,2,51290191,77159393,3,8,train
DDF,KM,0,2,2967219,68973975,3,9,train
DDF,KM,0,2,38645734,64269480,3,10,train
DDF,KM,0,2,392540,31661364,3,11,train
DDF,KM,0,2,1764,767,3,12,train
DDF,KM,0,2,2530,1069,3,13,train
DDF,KM,0,2,1913,1381,3,14,train
DDF,KM,0,2,1764,767,3,15,train
DDF,KM,0,1,416013,37548348,3,11,train
DDF,KM,0,0,0,0,3,0,train
DDF,KM,0,1,33680233,57934030,3,10,train
DDF,KM,0,1,52181333,77288368,3,8,train
DDF,KM,0,0,24238,23618,3,2,train
DDF,KM,0,0,42259,35364,3,3,train
DDF,KM,0,0,1764,767,3,4,train
DDF,KM,0,0,123308,16381903,3,5,train
DDF,KM,0,0,16568100,31192978,3,6,train
DDF,KM,0,0,225882,46883708,3,7,train
DDF,KM,0,0,50223452,81546902,3,8,train
DDF,KM,0,0,2758294,64829213,3,9,train
DDF,KM,0,0,38787302,73923821,3,10,train
DDF,KM,0,0,321259,22140263,3,11,train
DDF,KM,0,0,1861,1277,3,12,train
