dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DDF,LR-maxIter-50,0,0,65451572,5040952,0,0,train
DDF,LR-maxIter-5,0,0,65451544,2495892,2,46,train
DDF,LR-maxIter-5,0,0,65451544,2495144,2,47,train
DDF,LR-maxIter-5,0,0,65451544,2494876,2,48,train
DDF,LR-maxIter-5,0,0,65451544,2492860,2,49,train
DDF,LR-maxIter-5,0,0,65451544,2321212,2,50,train
DDF,LR-maxIter-5,0,0,65451544,2320208,2,51,train
DDF,LR-maxIter-5,0,0,65451544,2313136,2,52,train
DDF,LR-maxIter-5,0,0,65451544,2496584,2,45,train
DDF,LR-maxIter-5,0,0,65451544,2262476,2,53,train
DDF,LR-maxIter-5,0,0,65451544,2260452,2,55,train
DDF,LR-maxIter-5,0,0,65451544,2255916,2,56,train
DDF,LR-maxIter-5,0,0,65451544,2249616,2,57,train
DDF,LR-maxIter-5,0,0,65451544,2260452,2,58,test
DDF,LR-maxIter-5,0,0,65451544,2253568,2,59,test
DDF,LR-maxIter-5,0,0,65451544,2253372,2,60,test
DDF,LR-maxIter-5,0,0,65451544,2253056,2,61,test
DDF,LR-maxIter-5,0,0,65451544,2261712,2,54,train
DDF,LR-maxIter-5,0,0,65451544,2498224,2,44,train
DDF,LR-maxIter-5,0,0,65451544,2499800,2,43,train
DDF,LR-maxIter-5,0,0,65451544,2502632,2,42,train
DDF,LR-maxIter-5,0,0,65451544,3717608,2,25,train
DDF,LR-maxIter-5,0,0,65451544,3717852,2,26,train
DDF,LR-maxIter-5,0,0,65451544,3717508,2,27,train
DDF,LR-maxIter-5,0,0,65451544,3717116,2,28,train
DDF,LR-maxIter-5,0,0,65451544,2924528,2,29,train
DDF,LR-maxIter-5,0,0,65451544,2920456,2,30,train
DDF,LR-maxIter-5,0,0,65451544,2888964,2,31,train
DDF,LR-maxIter-5,0,0,65451544,2884932,2,32,train
DDF,LR-maxIter-5,0,0,65451544,2822688,2,33,train
DDF,LR-maxIter-5,0,0,65451544,2767204,2,34,train
DDF,LR-maxIter-5,0,0,65451544,2765720,2,35,train
