dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,LR-maxIter-50,0,0,0,0,0,0,train
DDF,LR-maxIter-5,0,0,405,10244,2,46,train
DDF,LR-maxIter-5,0,0,189,798,2,47,train
DDF,LR-maxIter-5,0,0,147,1576,2,48,train
DDF,LR-maxIter-5,0,0,147,395,2,49,train
DDF,LR-maxIter-5,0,0,189,798,2,50,train
DDF,LR-maxIter-5,0,0,25485,1648,2,51,train
DDF,LR-maxIter-5,0,0,26812176,81889,2,52,train
DDF,LR-maxIter-5,0,0,633540,11580,2,45,train
DDF,LR-maxIter-5,0,0,1237553,23793,2,53,train
DDF,LR-maxIter-5,0,0,95,291,2,55,train
DDF,LR-maxIter-5,0,0,499,10751,2,56,train
DDF,LR-maxIter-5,0,0,95,291,2,57,train
DDF,LR-maxIter-5,0,0,95,291,2,58,test
DDF,LR-maxIter-5,0,0,20559266,53769,2,59,test
DDF,LR-maxIter-5,0,0,95,291,2,60,test
DDF,LR-maxIter-5,0,0,2115,2329,2,61,test
DDF,LR-maxIter-5,0,0,95,291,2,54,train
DDF,LR-maxIter-5,0,0,14557,15891,2,44,train
DDF,LR-maxIter-5,0,0,2386241,241138,2,43,train
DDF,LR-maxIter-5,0,0,4130424,449073,2,42,train
DDF,LR-maxIter-5,0,0,783,807,2,25,train
DDF,LR-maxIter-5,0,0,447,1311,2,26,train
DDF,LR-maxIter-5,0,0,95,291,2,27,train
DDF,LR-maxIter-5,0,0,583250,12932,2,28,train
DDF,LR-maxIter-5,0,0,977,3555,2,29,train
DDF,LR-maxIter-5,0,0,141,291,2,30,train
DDF,LR-maxIter-5,0,0,95,291,2,31,train
DDF,LR-maxIter-5,0,0,189,798,2,32,train
DDF,LR-maxIter-5,0,0,147,1576,2,33,train
DDF,LR-maxIter-5,0,0,95,291,2,34,train
DDF,LR-maxIter-5,0,0,189,798,2,35,train
DDF,LR-maxIter-5,0,0,405,10244,2,36,train
DDF,LR-maxIter-5,0,0,95,291,2,37,train
DDF,LR-maxIter-5,0,0,189,798,2,38,train
DDF,LR-maxIter-5,0,0,11119032,77444,2,39,train
DDF,LR-maxIter-5,0,0,10956974,509648,2,40,train
DDF,LR-maxIter-5,0,0,2384422,187713,2,41,train
DDF,LR-maxIter-5,0,0,189,798,2,62,test
DDF,LR-maxIter-5,0,0,615572,14269,2,63,test
DDF,LR-maxIter-5,0,0,95,291,2,64,test
DDF,LR-maxIter-5,0,0,189,798,2,65,test
DDF,LR-maxIter-5,0,1,353,804,2,19,train
DDF,LR-maxIter-5,0,1,147,395,2,20,train
DDF,LR-maxIter-5,0,1,189,798,2,21,train
DDF,LR-maxIter-5,0,1,95,291,2,22,train
DDF,LR-maxIter-5,0,1,95,291,2,23,train
DDF,LR-maxIter-5,0,1,241,2083,2,24,train
DDF,LR-maxIter-5,0,1,95,291,2,25,train
DDF,LR-maxIter-5,0,1,783,807,2,26,train
DDF,LR-maxIter-5,0,1,189,798,2,27,train
DDF,LR-maxIter-5,0,1,147,1576,2,28,train
DDF,LR-maxIter-5,0,1,584740,25293,2,29,train
DDF,LR-maxIter-5,0,1,189,798,2,30,train
DDF,LR-maxIter-5,0,1,95,291,2,31,train
DDF,LR-maxIter-5,0,1,95,291,2,32,train
DDF,LR-maxIter-5,0,1,189,798,2,33,train
DDF,LR-maxIter-5,0,1,95,291,2,34,train
DDF,LR-maxIter-5,0,1,95,291,2,35,train
DDF,LR-maxIter-5,0,1,284,1089,2,18,train
DDF,LR-maxIter-5,0,0,95,291,2,24,train
DDF,LR-maxIter-5,0,1,95,291,2,17,train
DDF,LR-maxIter-5,0,1,189,798,2,15,train
DDF,LR-maxIter-5,0,0,353,11228,2,66,test
