transformTime,features,fitTime,testCount,trainCount,rmse,mse,mae,r2,runId,dataset,algorithm,family,platformId,f1,accuracy,weightedPrecision,weightedRecall,silhouette
11820.0,6400.0,102814.0,132.0,474.0,3.7501598192606336,14.063698669996949,2.4223556285240258,0.9191767847863032,0,DDF,LR,regression,0,,,,,
9648.0,6400.0,92408.0,132.0,474.0,3.7523464024829614,14.080103524226812,2.4218815051243396,0.9190825070934232,2,DDF,LR,regression,0,,,,,
11384.0,6400.0,98601.0,132.0,474.0,3.737475118011471,13.96872025775486,2.411637722750104,0.9197226199064537,1,DDF,LR,regression,0,,,,,
10719.0,6400.0,80390.0,120.0,486.0,3.81779732459737,14.575576411702835,2.4433481974248825,0.9333259316454162,1,DDF,LR,regression,1,,,,,
11273.0,6400.0,82078.0,120.0,486.0,3.7742505636880495,14.244967317499569,2.4090903668471584,0.9348382597155334,2,DDF,LR,regression,1,,,,,
11315.0,6400.0,83739.0,120.0,486.0,3.77402259510522,14.24324654836474,2.4087585614152025,0.9348461311489284,0,DDF,LR,regression,1,,,,,
9901.0,6400.0,92855.0,131.0,475.0,3.4758311228762,12.081401994754822,2.5373474872300132,0.9249623816026104,0,DDF,LR,regression,2,,,,,
11986.0,6400.0,100424.0,131.0,475.0,3.4758311228762,12.081401994754822,2.5373474872300132,0.9249623816026104,1,DDF,LR,regression,2,,,,,
9859.0,6400.0,91759.0,131.0,475.0,3.464079861312456,11.999849285550525,2.5321215854552945,0.9254689056860904,2,DDF,LR,regression,2,,,,,
10929.0,6400.0,98684.0,136.0,470.0,4.065371209846298,16.527243073847153,2.7363149159762314,0.9288833314968646,0,DDF,LR,regression,3,,,,,
9712.0,6400.0,93817.0,136.0,470.0,4.051042684438882,16.410946831145782,2.721346813279835,0.9293837538179621,1,DDF,LR,regression,3,,,,,
11746.0,6400.0,102320.0,136.0,470.0,4.072852010359945,16.588123498293044,2.72474293772673,0.9286213632457592,2,DDF,LR,regression,3,,,,,
9667.0,6400.0,91255.0,132.0,474.0,3.733850199914418,13.941637315400932,2.4093712829041736,0.9198782639180224,1,DDF,LR,regression,4,,,,,
11955.0,6400.0,101559.0,132.0,474.0,3.7504996557899606,14.066247668080615,2.433770363850892,0.9191621358503776,2,DDF,LR,regression,4,,,,,
10766.0,6400.0,97417.0,132.0,474.0,3.7338640396234033,13.941740666392803,2.410372435649045,0.9198776699661998,0,DDF,LR,regression,4,,,,,
14754.0,6400.0,124479.0,135.0,471.0,4.281017832019112,18.32711367806561,2.6966539962876714,0.9081034909048338,1,DDF,LR,regression,5,,,,,
18898.0,6400.0,135682.0,135.0,471.0,4.281005305040384,18.32700642178391,2.6967154355094194,0.9081040287133528,0,DDF,LR,regression,5,,,,,
14600.0,6400.0,130267.0,135.0,471.0,4.2809877975081765,18.32685652241391,2.6967792660058265,0.9081047803444642,2,DDF,LR,regression,5,,,,,
12959.0,6400.0,119317.0,135.0,471.0,4.281021342524859,18.32714373515335,2.6966301323452115,0.9081033401914436,0,DDF,LR,regression,6,,,,,
13181.0,6400.0,121704.0,135.0,471.0,4.2810120512338985,18.32706418280987,2.6966850536344777,0.908103739085824,1,DDF,LR,regression,6,,,,,
12977.0,6400.0,122500.0,135.0,471.0,4.281008161543417,18.32703087920134,2.6967029812933414,0.908103906078042,2,DDF,LR,regression,6,,,,,
12945.0,6400.0,115769.0,135.0,471.0,4.281020858577135,18.327139591572504,2.696633844681997,0.9081033609683441,1,DDF,LR,regression,7,,,,,
12569.0,6400.0,110426.0,135.0,471.0,4.281001142150801,18.32697077909647,2.6967319850709472,0.9081042074342692,0,DDF,LR,regression,7,,,,,
12474.0,6400.0,117322.0,135.0,471.0,4.281012439317897,18.32706750559457,2.69668330531129,0.9081037224245908,2,DDF,LR,regression,7,,,,,
10858.0,6400.0,111229.0,135.0,471.0,4.281024503422541,18.327170798904213,2.6966014574863766,0.9081032044873566,2,DDF,LR,regression,8,,,,,
