dataset,algorithm,platformId,runId,Energy,phase
DDF,LR,0,2,13443.54,train
DDF,LR,0,1,11089.14,train
DDF,LR,0,0,14347.710000000001,train
DDF,LR,0,0,1752.255,test
DDF,LR,0,1,1523.96,test
DDF,LR,0,2,1350.58,test
DDF,LR,1,0,11468.334999999997,train
DDF,LR,1,1,657.6949999999999,test
DDF,LR,1,0,598.5550000000001,test
DDF,LR,1,2,657.1850000000001,test
DDF,LR,1,1,8266.07,train
DDF,LR,1,2,8873.250000000002,train
DDF,LR,2,1,8082.12,train
DDF,LR,2,2,12904.43,train
DDF,LR,2,0,785.345,test
DDF,LR,2,0,11169.995,train
DDF,LR,2,1,1092.5,test
DDF,LR,2,2,790.5850000000002,test
DDF,LR,3,1,1044.565,test
DDF,LR,3,0,1185.96,test
DDF,LR,3,0,15146.035,train
DDF,LR,3,1,14599.894999999997,train
DDF,LR,3,2,15613.529999999999,train
DDF,LR,3,2,1366.3,test
DDF,LR,4,1,9765.09,train
DDF,LR,4,0,10692.165,train
DDF,LR,4,2,12455.955000000002,train
DDF,LR,4,2,1782.9099999999999,test
DDF,LR,4,1,1363.685,test
DDF,LR,4,0,1539.22,test
DDF,LR,5,1,2012.9399999999998,test
DDF,LR,5,2,2031.4850000000001,test
DDF,LR,5,1,15743.755000000001,train
DDF,LR,5,0,18043.88,train
DDF,LR,5,2,15042.429999999998,train
DDF,LR,5,0,2097.5550000000003,test
DDF,LR,6,2,15967.314999999999,train
DDF,LR,6,1,10648.93,train
DDF,LR,6,2,1891.1100000000001,test
DDF,LR,6,1,1762.37,test
DDF,LR,6,0,1861.1700000000005,test
DDF,LR,6,0,8399.625,train
DDF,LR,7,2,7187.28,train
DDF,LR,7,1,1753.565,test
DDF,LR,7,0,1723.7000000000003,test
DDF,LR,7,0,10563.164999999997,train
DDF,LR,7,1,9354.635,train
DDF,LR,7,2,1795.2450000000003,test
DDF,LR,8,0,11845.625,train
DDF,LR,8,1,12891.165,train
DDF,LR,8,0,1718.1100000000001,test
DDF,LR,8,1,1986.0199999999998,test
DDF,LR,8,2,1576.0900000000001,test
DDF,LR,8,2,14016.919999999998,train
DDF,LR,9,2,535.95,test
DDF,LR,9,0,466.00000000000006,test
DDF,LR,9,1,465.35,test
DDF,LR,9,0,7135.91,train
DDF,LR,9,1,8123.44,train
DDF,LR,9,2,10449.655,train
DDF,LR,10,0,713.6999999999999,test
DDF,LR,10,2,7552.99,train
DDF,LR,10,0,12917.634999999998,train
DDF,LR,10,2,825.03,test
DDF,LR,10,1,711.9499999999999,test
DDF,LR,10,1,9125.855000000001,train
DDF,LR,11,2,1092.1499999999999,test
DDF,LR,11,0,1333.57,test
DDF,LR,11,1,1139.25,test
DDF,LR,11,1,11928.825,train
DDF,LR,11,2,14930.320000000003,train
DDF,LR,11,0,10854.925,train
DDF,LR,12,1,1333.525,test
DDF,LR,12,1,10742.375,train
DDF,LR,12,2,10081.19,train
DDF,LR,12,0,1383.9,test
DDF,LR,12,0,11506.32,train
DDF,LR,12,2,1392.0500000000002,test
DDF,LR,13,1,1583.23,test
DDF,LR,13,2,1563.745,test
DDF,LR,13,0,7922.785000000001,train
DDF,LR,13,1,8382.760000000002,train
DDF,LR,13,2,10621.550000000003,train
DDF,LR,13,0,1580.05,test
DDF,LR,14,2,11081.235,train
DDF,LR,14,0,9792.93,train
DDF,LR,14,0,1779.815,test
DDF,LR,14,1,1738.1100000000001,test
DDF,LR,14,1,10133.66,train
DDF,LR,14,2,1958.7649999999999,test
DDF,LR,15,2,1736.0649999999998,test
DDF,LR,15,1,16935.74,train
DDF,LR,15,0,11664.210000000001,train
DDF,LR,15,0,1583.5000000000002,test
DDF,LR,15,1,1704.4250000000002,test
DDF,LR,15,2,16853.68,train
DDF,LR,16,2,1566.495,test
DDF,LR,16,0,1731.4850000000001,test
DDF,LR,16,2,15547.945000000002,train
DDF,LR,16,0,17593.515,train
DDF,LR,16,1,17003.390000000003,train
DDF,LR,16,1,1555.1499999999999,test
DDF,LR,17,1,14681.835000000001,train
DDF,LR,17,2,1688.1799999999998,test
DDF,LR,17,1,1414.8500000000001,test
DDF,LR,17,2,12541.23,train
DDF,LR,17,0,15637.835,train
DDF,LR,17,0,1647.01,test
DDF,LR,18,0,16004.84,train
DDF,LR,18,0,1748.3400000000001,test
DDF,LR,18,1,1386.35,test
DDF,LR,18,1,14222.2,train
DDF,LR,18,2,15697.640000000001,train
DDF,LR,18,2,1397.65,test
DDF,LR,19,2,13066.57,train
DDF,LR,19,2,1678.65,test
DDF,LR,19,1,1899.8749999999998,test
DDF,LR,19,1,14264.55,train
DDF,LR,19,0,13224.550000000001,train
DDF,LR,19,0,1553.675,test
DDF,LR,20,0,13902.420000000002,train
DDF,LR,20,2,1400.0,test
