dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DDF,LR,0,1,0.8820821705902003,65451544,7717904,2,50,train
DDF,LR,0,0,0.8963893487539153,65451572,6781480,0,105,test
DDF,LR,0,0,0.8970645960955682,65451572,6737284,0,106,test
DDF,LR,0,0,0.8970799967951878,65451572,6736276,0,107,test
DDF,LR,0,0,0.8971147705971065,65451572,6734000,0,108,test
DDF,LR,0,0,0.8985893875856794,65451572,6637484,0,109,test
DDF,LR,0,0,0.8986779416084918,65451572,6631688,0,110,test
DDF,LR,0,0,0.9008609907795645,65451572,6488804,0,111,test
DDF,LR,0,0,0.8963874542234066,65451572,6781604,0,104,test
DDF,LR,0,0,0.900807088330896,65451572,6492332,0,112,test
DDF,LR,0,0,0.9009988025956046,65451572,6479784,0,114,test
DDF,LR,0,1,0.8506344813230765,65451572,9776208,0,0,train
DDF,LR,0,1,0.8506330145897795,65451572,9776304,0,1,train
DDF,LR,0,1,0.8537236661023206,65451572,9574016,0,2,train
DDF,LR,0,1,0.8556001680142992,65451572,9451196,0,3,train
DDF,LR,0,1,0.8555864785035262,65451572,9452092,0,4,train
DDF,LR,0,1,0.8555712611455688,65451572,9453088,0,5,train
DDF,LR,0,0,0.9007900375563173,65451572,6493448,0,113,test
DDF,LR,0,0,0.8963836040485017,65451572,6781856,0,103,test
DDF,LR,0,0,0.8963780426847502,65451572,6782220,0,102,train
DDF,LR,0,0,0.8963022614644,65451572,6787180,0,101,train
DDF,LR,0,0,0.8956069687676868,65451572,6832688,0,84,train
DDF,LR,0,0,0.8955998184428634,65451572,6833156,0,85,train
DDF,LR,0,0,0.8955998184428634,65451572,6833156,0,86,train
DDF,LR,0,0,0.8955921180930536,65451572,6833660,0,87,train
DDF,LR,0,0,0.8958000275379177,65451572,6820052,0,88,train
DDF,LR,0,0,0.8957923271881079,65451572,6820556,0,89,train
DDF,LR,0,0,0.8959386338344937,65451572,6810980,0,90,train
DDF,LR,0,0,0.8957510753141269,65451572,6823256,0,91,train
DDF,LR,0,0,0.8957499752641541,65451572,6823328,0,92,train
DDF,LR,0,0,0.8959125382045827,65451572,6812688,0,93,train
DDF,LR,0,0,0.8959240887292974,65451572,6811932,0,94,train
DDF,LR,0,0,0.8957046287597187,65451572,6826296,0,95,train
DDF,LR,0,0,0.8957084789346236,65451572,6826044,0,96,train
DDF,LR,0,0,0.8957084789346236,65451572,6826044,0,97,train
