dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,LR,0,1,3576046,382535,2,50,train
DDF,LR,0,0,614675,12814,0,105,test
DDF,LR,0,0,95,289,0,106,test
DDF,LR,0,0,95,289,0,107,test
DDF,LR,0,0,189,795,0,108,test
DDF,LR,0,0,95,289,0,109,test
DDF,LR,0,0,405,11226,0,110,test
DDF,LR,0,0,189,795,0,111,test
DDF,LR,0,0,2396,3615,0,104,test
DDF,LR,0,0,147,393,0,112,test
DDF,LR,0,0,19479486,62316,0,114,test
DDF,LR,0,1,0,0,0,0,train
DDF,LR,0,1,284,1084,0,1,train
DDF,LR,0,1,3278,3465,0,2,train
DDF,LR,0,1,4635,6544,0,3,train
DDF,LR,0,1,189,795,0,4,train
DDF,LR,0,1,412,1574,0,5,train
DDF,LR,0,0,141,289,0,113,test
DDF,LR,0,0,924373,6338,0,103,test
DDF,LR,0,0,24646705,67531,0,102,train
DDF,LR,0,0,95,289,0,101,train
DDF,LR,0,0,633598,13022,0,84,train
DDF,LR,0,0,95,289,0,85,train
DDF,LR,0,0,95,289,0,86,train
DDF,LR,0,0,189,795,0,87,train
DDF,LR,0,0,147,1574,0,88,train
DDF,LR,0,0,95,289,0,89,train
DDF,LR,0,0,551,12033,0,90,train
DDF,LR,0,0,95,289,0,91,train
DDF,LR,0,0,95,289,0,92,train
DDF,LR,0,0,17385176,84074,0,93,train
DDF,LR,0,0,1236733,24328,0,94,train
DDF,LR,0,0,95,289,0,95,train
DDF,LR,0,0,189,795,0,96,train
DDF,LR,0,0,147,341,0,97,train
DDF,LR,0,0,147,341,0,98,train
DDF,LR,0,0,189,795,0,99,train
DDF,LR,0,0,405,10242,0,100,train
DDF,LR,0,1,16546608,131733,0,6,train
DDF,LR,0,0,19435,18881,0,83,train
DDF,LR,0,1,26147,2662,0,7,train
DDF,LR,0,1,138572,12067,0,9,train
DDF,LR,0,1,353,10242,0,31,train
DDF,LR,0,1,95,289,0,32,train
DDF,LR,0,1,189,795,0,33,train
DDF,LR,0,1,95,289,0,34,train
DDF,LR,0,1,428,1574,0,35,train
DDF,LR,0,1,241,2080,0,36,train
DDF,LR,0,1,95,289,0,37,train
DDF,LR,0,1,189,795,0,30,train
DDF,LR,0,1,95,289,0,38,train
DDF,LR,0,1,95,289,0,40,train
DDF,LR,0,1,21424459,54025,0,41,train
DDF,LR,0,1,6873157,545777,0,42,train
DDF,LR,0,1,3403422,278025,0,43,train
DDF,LR,0,1,3199216,331125,0,44,train
DDF,LR,0,1,3573802,281285,0,45,train
DDF,LR,0,1,3574146,333028,0,46,train
DDF,LR,0,1,189,795,0,39,train
DDF,LR,0,1,831,1865,0,29,train
DDF,LR,0,1,583660,13450,0,28,train
DDF,LR,0,1,189,795,0,27,train
DDF,LR,0,1,20689311,183425,0,10,train
DDF,LR,0,1,2115,2376,0,11,train
DDF,LR,0,1,189,795,0,12,train
DDF,LR,0,1,95,289,0,13,train
DDF,LR,0,1,141,289,0,14,train
DDF,LR,0,1,189,795,0,15,train
DDF,LR,0,1,95,289,0,16,train
DDF,LR,0,1,95,289,0,17,train
DDF,LR,0,1,189,795,0,18,train
DDF,LR,0,1,95,289,0,19,train
DDF,LR,0,1,199,1678,0,20,train
DDF,LR,0,1,499,2593,0,21,train
DDF,LR,0,1,95,289,0,22,train
DDF,LR,0,1,95,289,0,23,train
DDF,LR,0,1,189,795,0,24,train
DDF,LR,0,1,95,289,0,25,train
DDF,LR,0,1,783,805,0,26,train
DDF,LR,0,1,40482988,295313,0,8,train
DDF,LR,0,1,2935608,194309,0,47,train
DDF,LR,0,0,2222061,179299,0,82,train
DDF,LR,0,0,4121301,395985,0,80,train
DDF,LR,0,0,95,289,0,23,train
DDF,LR,0,0,189,795,0,24,train
DDF,LR,0,0,95,289,0,25,train
DDF,LR,0,0,95,289,0,26,train
DDF,LR,0,0,877,1311,0,27,train
DDF,LR,0,0,95,289,0,28,train
DDF,LR,0,0,147,1574,0,29,train
DDF,LR,0,0,95,289,0,22,train
DDF,LR,0,0,499,2593,0,30,train
DDF,LR,0,0,95,289,0,32,train
DDF,LR,0,0,189,795,0,33,train
DDF,LR,0,0,95,289,0,34,train
DDF,LR,0,0,95,289,0,35,train
DDF,LR,0,0,189,795,0,36,train
DDF,LR,0,0,95,289,0,37,train
DDF,LR,0,0,95,289,0,38,train
DDF,LR,0,0,584090,14818,0,31,train
DDF,LR,0,0,189,795,0,21,train
DDF,LR,0,0,405,906,0,20,train
DDF,LR,0,0,189,795,0,19,train
DDF,LR,0,0,4908,3673,0,2,train
DDF,LR,0,0,3005,6336,0,3,train
DDF,LR,0,0,189,795,0,4,train
DDF,LR,0,0,95,289,0,5,train
DDF,LR,0,0,16544736,129096,0,6,train
DDF,LR,0,0,27039,27165,0,7,train
DDF,LR,0,0,40576689,290435,0,8,train
DDF,LR,0,0,137961,10737,0,9,train
DDF,LR,0,0,20292211,214292,0,10,train
DDF,LR,0,0,95,289,0,11,train
DDF,LR,0,0,95,289,0,12,train
DDF,LR,0,0,189,795,0,13,train
DDF,LR,0,0,428,1574,0,14,train
DDF,LR,0,0,147,1574,0,15,train
DDF,LR,0,0,189,795,0,16,train
DDF,LR,0,0,95,289,0,17,train
DDF,LR,0,0,95,289,0,18,train
DDF,LR,0,0,189,795,0,39,train
DDF,LR,0,0,3151748,329216,0,81,train
DDF,LR,0,0,405,10242,0,40,train
DDF,LR,0,0,189,795,0,42,train
DDF,LR,0,0,3381584,328918,0,64,train
DDF,LR,0,0,4126329,287263,0,65,train
DDF,LR,0,0,3573800,389334,0,66,train
DDF,LR,0,0,3601956,410361,0,67,train
DDF,LR,0,0,3572267,274646,0,68,train
DDF,LR,0,0,3574351,333268,0,69,train
DDF,LR,0,0,3572334,289170,0,70,train
DDF,LR,0,0,3212102,331184,0,63,train
DDF,LR,0,0,3571213,279302,0,71,train
DDF,LR,0,0,3601667,360852,0,73,train
DDF,LR,0,0,3225756,277714,0,74,train
DDF,LR,0,0,3365418,277316,0,75,train
DDF,LR,0,0,3572055,280121,0,76,train
DDF,LR,0,0,4126047,286436,0,77,train
DDF,LR,0,0,3050522,351396,0,78,train
DDF,LR,0,0,2972684,259257,0,79,train
DDF,LR,0,0,3573054,332321,0,72,train
DDF,LR,0,0,3600322,358665,0,62,train
DDF,LR,0,0,4128113,339430,0,61,train
DDF,LR,0,0,3574085,335513,0,60,train
DDF,LR,0,0,95,289,0,43,train
DDF,LR,0,0,20100642,492951,0,44,train
DDF,LR,0,0,2446849,403174,0,45,train
DDF,LR,0,0,3576149,333912,0,46,train
DDF,LR,0,0,3019374,268804,0,47,train
DDF,LR,0,0,2955342,269413,0,48,train
DDF,LR,0,0,3574372,333336,0,49,train
DDF,LR,0,0,3574547,381075,0,50,train
DDF,LR,0,0,3021579,378966,0,51,train
DDF,LR,0,0,3574195,325576,0,52,train
DDF,LR,0,0,2961122,333881,0,53,train
DDF,LR,0,0,3572668,275331,0,54,train
DDF,LR,0,0,3020493,326462,0,55,train
DDF,LR,0,0,4128513,392113,0,56,train
DDF,LR,0,0,3595930,304005,0,57,train
DDF,LR,0,0,3572895,281350,0,58,train
DDF,LR,0,0,3020402,327815,0,59,train
DDF,LR,0,0,95,289,0,41,train
DDF,LR,0,0,189,795,0,1,train
DDF,LR,0,1,3041158,295302,0,48,train
DDF,LR,0,1,3574616,334006,0,50,train
DDF,LR,0,2,3592693,349510,0,44,train
DDF,LR,0,2,3021861,372103,0,45,train
DDF,LR,0,2,3572221,280972,0,46,train
DDF,LR,0,2,2937084,251633,0,47,train
DDF,LR,0,2,3596230,353577,0,48,train
DDF,LR,0,2,3021188,321191,0,49,train
DDF,LR,0,2,2939341,356326,0,50,train
DDF,LR,0,2,3575153,385692,0,43,train
DDF,LR,0,2,3573649,283414,0,51,train
DDF,LR,0,2,3573254,280366,0,53,train
DDF,LR,0,2,3601300,359020,0,54,train
DDF,LR,0,2,3020631,321565,0,55,train
DDF,LR,0,2,4128169,345780,0,56,train
DDF,LR,0,2,3018532,267907,0,57,train
DDF,LR,0,2,3574681,385046,0,58,train
DDF,LR,0,2,3602976,410840,0,59,train
DDF,LR,0,2,3572403,282219,0,52,train
DDF,LR,0,2,3548987,332882,0,42,train
DDF,LR,0,2,2470820,295953,0,41,train
DDF,LR,0,2,19565671,487892,0,40,train
DDF,LR,0,2,95,289,0,23,train
DDF,LR,0,2,95,289,0,24,train
DDF,LR,0,2,189,795,0,25,train
DDF,LR,0,2,95,289,0,26,train
DDF,LR,0,2,783,805,0,27,train
DDF,LR,0,2,189,795,0,28,train
DDF,LR,0,2,584232,15367,0,29,train
DDF,LR,0,2,95,289,0,30,train
DDF,LR,0,2,447,10748,0,31,train
DDF,LR,0,2,95,289,0,32,train
DDF,LR,0,2,95,289,0,33,train
DDF,LR,0,2,189,795,0,34,train
DDF,LR,0,2,95,289,0,35,train
DDF,LR,0,2,428,1574,0,36,train
DDF,LR,0,2,241,2080,0,37,train
DDF,LR,0,2,95,289,0,38,train
DDF,LR,0,2,3302591,27872,0,39,train
DDF,LR,0,2,3519323,262997,0,60,train
DDF,LR,0,2,241,2080,0,22,train
DDF,LR,0,2,3627019,349958,0,61,train
DDF,LR,0,2,3533902,330975,0,63,train
DDF,LR,0,2,189,795,0,85,train
DDF,LR,0,2,25524,1804,0,86,train
DDF,LR,0,2,27215419,110045,0,87,train
DDF,LR,0,2,1237223,25250,0,88,train
DDF,LR,0,2,95,289,0,89,train
DDF,LR,0,2,95,289,0,90,train
DDF,LR,0,2,499,10748,0,91,train
DDF,LR,0,2,95,289,0,84,train
DDF,LR,0,2,95,289,0,92,train
DDF,LR,0,2,25695986,68699,0,94,test
DDF,LR,0,2,5759,7071,0,95,test
DDF,LR,0,2,428,1574,0,96,test
DDF,LR,0,2,614770,13022,0,97,test
DDF,LR,0,2,95,289,0,98,test
DDF,LR,0,2,95,289,0,99,test
DDF,LR,0,2,189,795,0,100,test
DDF,LR,0,2,95,289,0,93,test
DDF,LR,0,2,95,289,0,83,train
DDF,LR,0,2,241,2080,0,82,train
DDF,LR,0,2,405,10242,0,81,train
DDF,LR,0,2,3029415,269114,0,64,train
DDF,LR,0,2,3603602,407873,0,65,train
DDF,LR,0,2,3573117,280745,0,66,train
DDF,LR,0,2,3227355,383011,0,67,train
DDF,LR,0,2,3367746,380907,0,68,train
DDF,LR,0,2,4125897,286380,0,69,train
DDF,LR,0,2,3574214,384899,0,70,train
DDF,LR,0,2,3051241,309595,0,71,train
DDF,LR,0,2,3574130,281047,0,72,train
