dataset,algorithm,platformId,runId,Energy,phase,acronym,hp1,val1,hp2,val2
DDF,MLP-tol-0.0001-maxIter-10,1,0,1313.59,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,1,1,1316.04,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,1,2,1267.48,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,2,0,1921.75,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,2,1,1907.19,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,2,2,1891.555,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,3,0,2917.04,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,3,1,2808.64,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,3,2,2861.655,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,4,0,3511.135,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,4,1,3388.79,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,4,2,3489.32,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,5,0,1522.23,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,5,1,1568.14,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,5,2,1504.69,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,6,0,2589.86,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,6,1,2456.6449999999995,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,6,2,2464.92,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,7,0,3916.745,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,7,1,3496.07,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,7,2,3650.225,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,8,0,4243.780000000002,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,8,1,4169.870000000001,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,8,2,4298.759999999998,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,9,0,2335.265000000001,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,9,1,2049.085,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,9,2,2305.945,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,10,0,3157.9549999999995,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,10,1,3318.4500000000007,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,10,2,3473.11,train,MLP,tol,0.0001,maxIter,10
DDF,MLP-tol-0.0001-maxIter-10,11,0,4507.91,train,MLP,tol,0.0001,maxIter,10
