dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DDF,MLP-maxIter-15,0,0,65451572,4408520,0,0,train
DDF,MLP-tol-0.01,0,0,65451544,3838008,2,2,train
DDF,MLP-tol-0.01,0,0,65451544,3675236,2,3,train
DDF,MLP-tol-0.01,0,0,65451544,3676064,2,4,train
DDF,MLP-tol-0.01,0,0,65451544,3676316,2,5,train
DDF,MLP-tol-0.01,0,0,65451544,3607632,2,6,train
DDF,MLP-tol-0.01,0,0,65451544,3423372,2,7,train
DDF,MLP-tol-0.01,0,0,65451544,3071456,2,8,train
DDF,MLP-tol-0.01,0,0,65451544,2738116,2,9,train
DDF,MLP-tol-0.01,0,0,65451544,2648576,2,10,train
DDF,MLP-tol-0.01,0,0,65451544,2646180,2,11,train
DDF,MLP-tol-0.01,0,0,65451544,2657520,2,12,train
DDF,MLP-tol-0.01,0,0,65451544,2657244,2,13,train
DDF,MLP-tol-0.01,0,0,65451544,2656448,2,14,train
DDF,MLP-tol-0.01,0,0,65451544,2656156,2,15,train
DDF,MLP-tol-0.01,0,0,65451544,2656368,2,16,train
DDF,MLP-tol-0.01,0,0,65451544,2655764,2,17,train
DDF,MLP-tol-0.01,0,0,65451544,1944304,2,18,train
DDF,MLP-tol-0.01,0,0,65451544,1866444,2,19,train
DDF,MLP-tol-0.01,0,0,65451544,1835404,2,20,train
DDF,MLP-tol-0.01,0,0,65451544,4051456,2,1,train
DDF,MLP-tol-0.01,0,0,65451544,1837188,2,21,train
DDF,MLP-tol-0.01,0,0,65451544,4050812,2,0,train
DDF,MLP-tol-0.01,0,2,65451544,1180796,1,114,test
DDF,MLP-tol-0.01,0,2,65451544,1185780,1,95,train
DDF,MLP-tol-0.01,0,2,65451544,1169948,1,96,train
DDF,MLP-tol-0.01,0,2,65451544,1136508,1,97,train
DDF,MLP-tol-0.01,0,2,65451544,1119692,1,98,train
DDF,MLP-tol-0.01,0,2,65451544,1234712,1,99,train
DDF,MLP-tol-0.01,0,2,65451544,1218780,1,100,train
DDF,MLP-tol-0.01,0,2,65451544,1187704,1,101,train
DDF,MLP-tol-0.01,0,2,65451544,1170764,1,102,train
DDF,MLP-tol-0.01,0,2,65451544,1153980,1,103,train
DDF,MLP-tol-0.01,0,2,65451544,1121228,1,104,test
DDF,MLP-tol-0.01,0,2,65451544,1230432,1,105,test
DDF,MLP-tol-0.01,0,2,65451544,1213464,1,106,test
DDF,MLP-tol-0.01,0,2,65451544,1182828,1,107,test
DDF,MLP-tol-0.01,0,2,65451544,1165780,1,108,test
DDF,MLP-tol-0.01,0,2,65451544,1150100,1,109,test
DDF,MLP-tol-0.01,0,2,65451544,1117264,1,110,test
DDF,MLP-tol-0.01,0,2,65451544,1100492,1,111,test
DDF,MLP-tol-0.01,0,2,65451544,1226780,1,112,test
DDF,MLP-tol-0.01,0,2,65451544,1197500,1,113,test
DDF,MLP-tol-0.01,0,2,65451544,1165108,1,115,test
DDF,MLP-tol-0.01,0,0,65451544,1757792,2,22,train
DDF,MLP-tol-0.01,0,0,65451544,1642636,2,23,train
DDF,MLP-tol-0.01,0,0,65451544,1643636,2,24,train
DDF,MLP-tol-0.01,0,0,65451544,1083348,2,49,train
DDF,MLP-tol-0.01,0,0,65451544,1041464,2,50,train
DDF,MLP-tol-0.01,0,0,65451544,1119880,2,51,train
DDF,MLP-tol-0.01,0,0,65451544,1122652,2,52,train
DDF,MLP-tol-0.01,0,0,65451544,1081832,2,53,train
DDF,MLP-tol-0.01,0,0,65451544,1062728,2,54,train
DDF,MLP-tol-0.01,0,0,65451544,1021308,2,55,train
DDF,MLP-tol-0.01,0,0,65451544,1121196,2,56,train
DDF,MLP-tol-0.01,0,0,65451544,1100776,2,57,train
DDF,MLP-tol-0.01,0,0,65451544,1062384,2,58,train
DDF,MLP-tol-0.01,0,0,65451544,1040968,2,59,train
DDF,MLP-tol-0.01,0,0,65451544,1001796,2,60,train
DDF,MLP-tol-0.01,0,0,65451544,1117752,2,61,train
DDF,MLP-tol-0.01,0,0,65451544,1097412,2,62,train
DDF,MLP-tol-0.01,0,0,65451544,1061040,2,63,train
DDF,MLP-tol-0.01,0,0,65451544,1041932,2,64,train
DDF,MLP-tol-0.01,0,0,65451544,1022120,2,65,train
DDF,MLP-tol-0.01,0,0,65451544,1097120,2,66,train
DDF,MLP-tol-0.01,0,0,65451544,1078424,2,67,train
DDF,MLP-tol-0.01,0,0,65451544,1104632,2,48,train
DDF,MLP-tol-0.01,0,0,65451544,1123780,2,47,train
DDF,MLP-tol-0.01,0,0,65451544,1043184,2,46,train
