dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,MLP-maxIter-15,0,0,0,0,0,0,train
DDF,MLP-tol-0.01,0,0,2434,2753,2,2,train
DDF,MLP-tol-0.01,0,0,5856,7768,2,3,train
DDF,MLP-tol-0.01,0,0,147,1576,2,4,train
DDF,MLP-tol-0.01,0,0,189,798,2,5,train
DDF,MLP-tol-0.01,0,0,16544408,125303,2,6,train
DDF,MLP-tol-0.01,0,0,1293,1228,2,7,train
DDF,MLP-tol-0.01,0,0,25146071,102009,2,8,train
DDF,MLP-tol-0.01,0,0,16649748,200866,2,9,train
DDF,MLP-tol-0.01,0,0,20715727,177790,2,10,train
DDF,MLP-tol-0.01,0,0,3198,4063,2,11,train
DDF,MLP-tol-0.01,0,0,95,291,2,12,train
DDF,MLP-tol-0.01,0,0,95,291,2,13,train
DDF,MLP-tol-0.01,0,0,447,1311,2,14,train
DDF,MLP-tol-0.01,0,0,95,291,2,15,train
DDF,MLP-tol-0.01,0,0,95,291,2,16,train
DDF,MLP-tol-0.01,0,0,581839,14009,2,17,train
DDF,MLP-tol-0.01,0,0,779,1763,2,18,train
DDF,MLP-tol-0.01,0,0,147,1576,2,19,train
DDF,MLP-tol-0.01,0,0,241,902,2,20,train
DDF,MLP-tol-0.01,0,0,95,291,2,1,train
DDF,MLP-tol-0.01,0,0,95,291,2,21,train
DDF,MLP-tol-0.01,0,0,0,0,2,0,train
DDF,MLP-tol-0.01,0,2,6419631,10497035,1,114,test
DDF,MLP-tol-0.01,0,2,6975105,10506502,1,95,train
DDF,MLP-tol-0.01,0,2,6953125,6234539,1,96,train
DDF,MLP-tol-0.01,0,2,11540660,7183857,1,97,train
DDF,MLP-tol-0.01,0,2,6963296,9948218,1,98,train
DDF,MLP-tol-0.01,0,2,6387385,6779838,1,99,train
DDF,MLP-tol-0.01,0,2,10450147,6300574,1,100,train
DDF,MLP-tol-0.01,0,2,8570827,5330207,1,101,train
DDF,MLP-tol-0.01,0,2,6415173,10522002,1,102,train
DDF,MLP-tol-0.01,0,2,11087457,5334523,1,103,train
DDF,MLP-tol-0.01,0,2,7945400,7290816,1,104,test
DDF,MLP-tol-0.01,0,2,6432816,10539872,1,105,test
DDF,MLP-tol-0.01,0,2,9699465,5326834,1,106,test
DDF,MLP-tol-0.01,0,2,9323787,6413697,1,107,test
DDF,MLP-tol-0.01,0,2,6420095,10396803,1,108,test
DDF,MLP-tol-0.01,0,2,12116190,6245228,1,109,test
DDF,MLP-tol-0.01,0,2,6906689,5303021,1,110,test
DDF,MLP-tol-0.01,0,2,6411136,10473802,1,111,test
DDF,MLP-tol-0.01,0,2,12141634,7238650,1,112,test
DDF,MLP-tol-0.01,0,2,6917696,5345786,1,113,test
DDF,MLP-tol-0.01,0,2,12111101,5352815,1,115,test
DDF,MLP-tol-0.01,0,0,95,291,2,22,train
DDF,MLP-tol-0.01,0,0,189,798,2,23,train
DDF,MLP-tol-0.01,0,0,405,11529,2,24,train
DDF,MLP-tol-0.01,0,0,9909538,6298397,2,49,train
DDF,MLP-tol-0.01,0,0,9134861,5984055,2,50,train
DDF,MLP-tol-0.01,0,0,6420402,10824384,2,51,train
DDF,MLP-tol-0.01,0,0,12120131,6277074,2,52,train
DDF,MLP-tol-0.01,0,0,6945739,7904670,2,53,train
DDF,MLP-tol-0.01,0,0,6973697,8783975,2,54,train
DDF,MLP-tol-0.01,0,0,12079029,5364918,2,55,train
DDF,MLP-tol-0.01,0,0,6434219,10547913,2,56,train
DDF,MLP-tol-0.01,0,0,12107264,5320271,2,57,train
DDF,MLP-tol-0.01,0,0,6944458,7359825,2,58,train
DDF,MLP-tol-0.01,0,0,7928069,9393213,2,59,train
DDF,MLP-tol-0.01,0,0,11143828,5324938,2,60,train
DDF,MLP-tol-0.01,0,0,6422888,10648283,2,61,train
DDF,MLP-tol-0.01,0,0,11169718,5361296,2,62,train
DDF,MLP-tol-0.01,0,0,7856954,6208589,2,63,train
DDF,MLP-tol-0.01,0,0,6413806,10497624,2,64,train
DDF,MLP-tol-0.01,0,0,11154757,6257283,2,65,train
DDF,MLP-tol-0.01,0,0,7893857,5350829,2,66,train
DDF,MLP-tol-0.01,0,0,6411634,10442281,2,67,train
DDF,MLP-tol-0.01,0,0,6975846,10484257,2,48,train
DDF,MLP-tol-0.01,0,0,11539947,6326375,2,47,train
DDF,MLP-tol-0.01,0,0,6972254,8688420,2,46,train
DDF,MLP-tol-0.01,0,0,6947594,8120577,2,45,train
DDF,MLP-tol-0.01,0,0,141,291,2,25,train
DDF,MLP-tol-0.01,0,0,189,798,2,26,train
DDF,MLP-tol-0.01,0,0,95,291,2,27,train
DDF,MLP-tol-0.01,0,0,23834483,50672,2,28,train
DDF,MLP-tol-0.01,0,0,2105822,37901,2,29,train
DDF,MLP-tol-0.01,0,0,4751504,5238947,2,30,train
DDF,MLP-tol-0.01,0,0,6946532,5277869,2,31,train
DDF,MLP-tol-0.01,0,0,12089710,5419974,2,32,train
DDF,MLP-tol-0.01,0,0,6443689,12325290,2,33,train
DDF,MLP-tol-0.01,0,2,10049468,6229617,1,94,train
DDF,MLP-tol-0.01,0,0,12107224,5349225,2,34,train
DDF,MLP-tol-0.01,0,0,6950078,5364420,2,36,train
DDF,MLP-tol-0.01,0,0,12113767,8513937,2,37,train
DDF,MLP-tol-0.01,0,0,6969880,7299337,2,38,train
DDF,MLP-tol-0.01,0,0,11528894,5309614,2,39,train
DDF,MLP-tol-0.01,0,0,6971029,10621793,2,40,train
DDF,MLP-tol-0.01,0,0,10868395,5306366,2,41,train
DDF,MLP-tol-0.01,0,0,8151719,5288534,2,42,train
DDF,MLP-tol-0.01,0,0,6425455,10577408,2,43,train
DDF,MLP-tol-0.01,0,0,12106514,5340622,2,44,train
DDF,MLP-tol-0.01,0,0,6963842,10475752,2,35,train
DDF,MLP-tol-0.01,0,2,8428841,5321188,1,93,train
DDF,MLP-tol-0.01,0,2,6418646,10548114,1,92,train
DDF,MLP-tol-0.01,0,2,8398663,6264100,1,91,train
DDF,MLP-tol-0.01,0,2,95,291,1,25,train
DDF,MLP-tol-0.01,0,2,95,291,1,26,train
DDF,MLP-tol-0.01,0,2,189,798,1,27,train
DDF,MLP-tol-0.01,0,2,360,291,1,28,train
DDF,MLP-tol-0.01,0,2,147,1576,1,29,train
DDF,MLP-tol-0.01,0,2,25635,2200,1,30,train
DDF,MLP-tol-0.01,0,2,32267996,111105,1,31,train
DDF,MLP-tol-0.01,0,2,950402,5261631,1,32,train
DDF,MLP-tol-0.01,0,2,7005950,7222844,1,33,train
DDF,MLP-tol-0.01,0,2,11503115,6263787,1,34,train
DDF,MLP-tol-0.01,0,2,6971000,10499199,1,35,train
DDF,MLP-tol-0.01,0,2,9191975,5299311,1,36,train
DDF,MLP-tol-0.01,0,2,9861151,7797831,1,37,train
DDF,MLP-tol-0.01,0,2,6408266,9006018,1,38,train
DDF,MLP-tol-0.01,0,2,12108576,5361544,1,39,train
DDF,MLP-tol-0.01,0,2,6972494,10615067,1,40,train
DDF,MLP-tol-0.01,0,2,10079431,5279192,1,41,train
DDF,MLP-tol-0.01,0,2,8950295,5389379,1,42,train
DDF,MLP-tol-0.01,0,2,6421981,10565181,1,43,train
DDF,MLP-tol-0.01,0,2,189,798,1,24,train
DDF,MLP-tol-0.01,0,2,95,291,1,23,train
DDF,MLP-tol-0.01,0,2,95,291,1,22,train
DDF,MLP-tol-0.01,0,2,499,10751,1,21,train
DDF,MLP-tol-0.01,0,2,189,798,1,1,train
DDF,MLP-tol-0.01,0,2,2340,2246,1,2,train
DDF,MLP-tol-0.01,0,2,5575,7768,1,3,train
DDF,MLP-tol-0.01,0,2,241,2083,1,4,train
DDF,MLP-tol-0.01,0,2,95,291,1,5,train
DDF,MLP-tol-0.01,0,2,16544521,128154,1,6,train
DDF,MLP-tol-0.01,0,2,1997,1701,1,7,train
DDF,MLP-tol-0.01,0,2,26580549,146431,1,8,train
DDF,MLP-tol-0.01,0,2,12390286,141764,1,9,train
DDF,MLP-tol-0.01,0,2,11390966,5358159,1,44,train
DDF,MLP-tol-0.01,0,2,20966682,177686,1,10,train
DDF,MLP-tol-0.01,0,2,1641,2264,1,12,train
DDF,MLP-tol-0.01,0,2,95,291,1,13,train
DDF,MLP-tol-0.01,0,2,147,1576,1,14,train
DDF,MLP-tol-0.01,0,2,189,798,1,15,train
DDF,MLP-tol-0.01,0,2,95,291,1,16,train
DDF,MLP-tol-0.01,0,2,581639,13970,1,17,train
DDF,MLP-tol-0.01,0,2,873,2374,1,18,train
DDF,MLP-tol-0.01,0,2,147,1576,1,19,train
DDF,MLP-tol-0.01,0,2,147,395,1,20,train
DDF,MLP-tol-0.01,0,2,2517,5936,1,11,train
DDF,MLP-tol-0.01,0,0,12101384,5316018,2,68,train
DDF,MLP-tol-0.01,0,2,7647524,6418282,1,45,train
DDF,MLP-tol-0.01,0,2,12113503,5377098,1,47,train
DDF,MLP-tol-0.01,0,2,11175018,5314006,1,72,train
DDF,MLP-tol-0.01,0,2,7862610,5354436,1,73,train
DDF,MLP-tol-0.01,0,2,6427123,11479595,1,74,train
DDF,MLP-tol-0.01,0,2,7877962,5326594,1,75,train
DDF,MLP-tol-0.01,0,2,10614306,6275017,1,76,train
DDF,MLP-tol-0.01,0,2,6975539,10621252,1,77,train
DDF,MLP-tol-0.01,0,2,9864516,5325374,1,78,train
DDF,MLP-tol-0.01,0,2,9174850,6313698,1,79,train
DDF,MLP-tol-0.01,0,2,6414459,10516177,1,80,train
DDF,MLP-tol-0.01,0,2,6956207,5282201,1,81,train
DDF,MLP-tol-0.01,0,2,11531978,5376791,1,82,train
DDF,MLP-tol-0.01,0,2,6969804,10519595,1,83,train
DDF,MLP-tol-0.01,0,2,9059224,5292189,1,84,train
DDF,MLP-tol-0.01,0,2,9772289,6279082,1,85,train
DDF,MLP-tol-0.01,0,2,6621374,10474219,1,86,train
DDF,MLP-tol-0.01,0,2,6950133,5289154,1,87,train
DDF,MLP-tol-0.01,0,2,11605521,5313753,1,88,train
DDF,MLP-tol-0.01,0,2,6908947,10516356,1,89,train
DDF,MLP-tol-0.01,0,2,10629907,6233535,1,90,train
DDF,MLP-tol-0.01,0,2,6423757,11444110,1,71,train
DDF,MLP-tol-0.01,0,2,11243963,7230071,1,70,train
DDF,MLP-tol-0.01,0,2,7803132,5421872,1,69,train
DDF,MLP-tol-0.01,0,2,6415255,10560294,1,68,train
DDF,MLP-tol-0.01,0,2,6957028,10566382,1,48,train
DDF,MLP-tol-0.01,0,2,6941239,5291330,1,49,train
DDF,MLP-tol-0.01,0,2,11541918,5346172,1,50,train
DDF,MLP-tol-0.01,0,2,6975910,10558152,1,51,train
DDF,MLP-tol-0.01,0,2,7756969,6296672,1,52,train
DDF,MLP-tol-0.01,0,2,10725571,5354172,1,53,train
DDF,MLP-tol-0.01,0,2,6962846,10457154,1,54,train
DDF,MLP-tol-0.01,0,2,10712867,5305218,1,55,train
DDF,MLP-tol-0.01,0,2,8336231,7068731,1,56,train
DDF,MLP-tol-0.01,0,2,6417523,9444470,1,46,train
DDF,MLP-tol-0.01,0,2,6413104,8821713,1,57,train
DDF,MLP-tol-0.01,0,2,6984087,11435692,1,59,train
DDF,MLP-tol-0.01,0,2,6878392,5407592,1,60,train
DDF,MLP-tol-0.01,0,2,11601963,5442250,1,61,train
DDF,MLP-tol-0.01,0,2,6976790,11602174,1,62,train
DDF,MLP-tol-0.01,0,2,7890662,5305650,1,63,train
DDF,MLP-tol-0.01,0,2,10609901,6343114,1,64,train
DDF,MLP-tol-0.01,0,2,6970575,10481086,1,65,train
DDF,MLP-tol-0.01,0,2,7161042,5369188,1,66,train
DDF,MLP-tol-0.01,0,2,11876848,7223541,1,67,train
DDF,MLP-tol-0.01,0,2,12113446,6263047,1,58,train
DDF,MLP-tol-0.01,0,2,0,0,1,0,train
DDF,MLP-tol-0.01,0,0,6976542,10699298,2,69,train
DDF,MLP-tol-0.01,0,0,10593060,5284349,2,71,train
DDF,MLP-tol-0.01,0,1,6411341,7294747,2,77,train
DDF,MLP-tol-0.01,0,1,12105777,5372585,2,78,train
DDF,MLP-tol-0.01,0,1,6916192,5340703,2,79,train
DDF,MLP-tol-0.01,0,1,6429361,11458375,2,80,train
DDF,MLP-tol-0.01,0,1,11169698,5382538,2,81,train
DDF,MLP-tol-0.01,0,1,7857387,5342598,2,82,train
DDF,MLP-tol-0.01,0,1,6422518,10511557,2,83,train
DDF,MLP-tol-0.01,0,1,12115014,6331201,2,84,train
DDF,MLP-tol-0.01,0,1,6914746,5339010,2,85,train
DDF,MLP-tol-0.01,0,1,6414314,10462455,2,86,train
DDF,MLP-tol-0.01,0,1,12106859,5358366,2,87,train
DDF,MLP-tol-0.01,0,1,6946903,5333167,2,88,train
