dataset,algorithm,platformId,runId,Energy,phase
DDF,MLP,0,2,12319.560000000001,train
DDF,MLP,0,1,11892.545,train
DDF,MLP,0,0,10865.755,train
DDF,MLP,0,0,1517.43,test
DDF,MLP,0,1,1485.49,test
DDF,MLP,0,2,1488.915,test
DDF,MLP,1,2,14151.869999999999,train
DDF,MLP,1,1,581.85,test
DDF,MLP,1,2,497.48,test
DDF,MLP,1,0,582.9150000000001,test
DDF,MLP,1,1,14544.265,train
DDF,MLP,1,0,12730.165,train
DDF,MLP,2,0,10889.34,train
DDF,MLP,2,1,10452.175,train
DDF,MLP,2,2,766.235,test
DDF,MLP,2,2,9846.130000000001,train
DDF,MLP,2,0,781.6850000000001,test
DDF,MLP,2,1,778.69,test
DDF,MLP,3,1,1280.145,test
DDF,MLP,3,2,1043.695,test
DDF,MLP,3,2,11290.665,train
DDF,MLP,3,1,11261.93,train
DDF,MLP,3,0,12875.215000000002,train
DDF,MLP,3,0,1254.19,test
DDF,MLP,4,1,12327.74,train
DDF,MLP,4,2,13606.620000000003,train
DDF,MLP,4,0,11056.025,train
DDF,MLP,4,0,1519.795,test
DDF,MLP,4,1,1629.5900000000001,test
DDF,MLP,4,2,1640.275,test
DDF,MLP,5,1,2101.8050000000003,test
DDF,MLP,5,0,1871.0800000000004,test
DDF,MLP,5,1,9736.75,train
DDF,MLP,5,2,21121.09,train
DDF,MLP,5,0,8136.194999999999,train
DDF,MLP,5,2,1868.35,test
DDF,MLP,6,0,11667.754999999997,train
DDF,MLP,6,1,15062.58,train
DDF,MLP,6,0,1896.4550000000002,test
DDF,MLP,6,1,1668.09,test
DDF,MLP,6,2,1804.76,test
DDF,MLP,6,2,11217.335000000001,train
DDF,MLP,7,2,17405.395,train
DDF,MLP,7,1,1690.5350000000003,test
DDF,MLP,7,0,1644.5750000000003,test
DDF,MLP,7,0,16595.510000000002,train
DDF,MLP,7,1,18816.78,train
DDF,MLP,7,2,1726.44,test
DDF,MLP,8,2,25058.125,train
DDF,MLP,8,1,21081.990000000005,train
DDF,MLP,8,2,1678.35,test
DDF,MLP,8,1,1940.9500000000003,test
DDF,MLP,8,0,1946.81,test
DDF,MLP,8,0,22974.380000000005,train
DDF,MLP,9,0,474.5,test
DDF,MLP,9,2,479.055,test
DDF,MLP,9,1,486.68999999999994,test
DDF,MLP,9,2,7553.320000000001,train
DDF,MLP,9,1,14053.03,train
DDF,MLP,9,0,7348.160000000002,train
DDF,MLP,10,0,712.55,test
DDF,MLP,10,2,15416.77,train
DDF,MLP,10,0,8652.369999999999,train
DDF,MLP,10,2,897.16,test
DDF,MLP,10,1,719.1,test
DDF,MLP,10,1,8859.84,train
DDF,MLP,11,0,951.5,test
DDF,MLP,11,2,1102.755,test
DDF,MLP,11,1,1222.2150000000001,test
DDF,MLP,11,1,15217.220000000001,train
DDF,MLP,11,0,18996.739999999998,train
DDF,MLP,11,2,10541.530000000002,train
DDF,MLP,12,2,1364.85,test
DDF,MLP,12,2,18266.9,train
DDF,MLP,12,1,14730.04,train
