dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,MLP,0,1,12125833,7155361,2,70,train
DDF,MLP,0,2,6965610,5309613,0,105,test
DDF,MLP,0,2,12084419,5364653,0,106,test
DDF,MLP,0,2,6430645,10579182,0,107,test
DDF,MLP,0,2,12121201,5345633,0,108,test
DDF,MLP,0,2,6920690,5381481,0,109,test
DDF,MLP,0,2,6409008,10520145,0,110,test
DDF,MLP,0,2,12115236,5365309,0,111,test
DDF,MLP,0,2,6927108,6242620,0,112,test
DDF,MLP,0,2,6434277,10532725,0,113,test
DDF,MLP,0,2,12107958,5352854,0,114,test
DDF,MLP,0,2,6371533,5326691,2,115,test
DDF,MLP,0,2,6981961,10551254,2,114,test
DDF,MLP,0,2,11928995,5332504,2,113,test
DDF,MLP,0,2,6977292,10528667,0,104,test
DDF,MLP,0,2,6575461,6268302,2,112,test
DDF,MLP,0,2,12127885,6346671,2,110,test
DDF,MLP,0,2,6379662,7061023,2,109,test
DDF,MLP,0,2,6959606,8748736,2,108,test
DDF,MLP,0,2,12119341,6288618,2,107,test
DDF,MLP,0,2,6424389,10524346,2,106,test
DDF,MLP,0,2,6943094,5342683,2,105,test
DDF,MLP,0,2,12120058,6364351,2,104,test
DDF,MLP,0,2,6971411,10543610,2,103,train
DDF,MLP,0,2,10088932,5368996,2,102,train
DDF,MLP,0,2,8385524,5286916,2,101,train
DDF,MLP,0,2,6976633,10636625,2,100,train
DDF,MLP,0,2,9083367,5398378,2,99,train
DDF,MLP,0,2,9400578,5297471,2,98,train
DDF,MLP,0,2,6976307,10508386,2,111,test
DDF,MLP,0,2,6987588,10512444,2,97,train
DDF,MLP,0,2,11526723,5352094,0,103,train
DDF,MLP,0,2,6967084,9692705,0,101,train
DDF,MLP,0,2,7906082,6098723,0,73,train
DDF,MLP,0,2,10598820,5345091,0,74,train
DDF,MLP,0,2,6981984,10554036,0,75,train
DDF,MLP,0,2,7189417,5288981,0,76,train
DDF,MLP,0,2,11299236,5360183,0,77,train
DDF,MLP,0,2,6963978,10544825,0,78,train
DDF,MLP,0,2,8567961,6196975,0,79,train
DDF,MLP,0,2,10476018,5328241,0,80,train
DDF,MLP,0,2,6424016,10544880,0,81,train
DDF,MLP,0,2,10962815,5340537,0,82,train
DDF,MLP,0,2,8072607,7211556,0,83,train
DDF,MLP,0,2,6463193,14686159,0,84,train
DDF,MLP,0,2,12105703,6249949,0,85,train
DDF,MLP,0,2,6959668,6263757,0,102,train
DDF,MLP,0,2,6961737,9009674,0,86,train
DDF,MLP,0,2,11768210,6295210,0,88,train
DDF,MLP,0,2,6945290,8149310,0,89,train
DDF,MLP,0,2,6402555,8524030,0,90,train
DDF,MLP,0,2,12125364,6273510,0,91,train
DDF,MLP,0,2,6934362,6875806,0,92,train
DDF,MLP,0,2,6400424,8898465,0,93,train
DDF,MLP,0,2,12118945,6282327,0,94,train
DDF,MLP,0,2,6991871,12400557,0,95,train
DDF,MLP,0,2,6947810,5324420,0,96,train
DDF,MLP,0,2,11523123,5338118,0,97,train
DDF,MLP,0,2,6996288,10626066,0,98,train
DDF,MLP,0,2,7019783,5291146,0,99,train
DDF,MLP,0,2,11457633,6255136,0,100,train
DDF,MLP,0,2,6733863,7814681,0,87,train
DDF,MLP,0,2,10577823,5288002,2,96,train
DDF,MLP,0,2,7897621,5301164,2,95,train
DDF,MLP,0,2,6985242,10515874,2,94,train
DDF,MLP,0,2,10031245,7236643,2,60,train
DDF,MLP,0,2,9014937,5277545,2,59,train
DDF,MLP,0,2,6991260,10515711,2,58,train
DDF,MLP,0,2,12112952,5420461,2,57,train
DDF,MLP,0,2,6412331,10443595,2,56,train
DDF,MLP,0,2,9633918,5317384,2,55,train
DDF,MLP,0,2,9376295,5279462,2,54,train
DDF,MLP,0,2,6430930,10580114,2,53,train
DDF,MLP,0,2,11762744,5349945,2,52,train
DDF,MLP,0,2,7291754,7855917,2,51,train
DDF,MLP,0,2,6948030,7988007,2,50,train
DDF,MLP,0,2,12109924,5389729,2,49,train
DDF,MLP,0,2,6431555,10468397,2,48,train
DDF,MLP,0,2,6413587,10503524,2,61,train
DDF,MLP,0,2,6909787,5287229,2,47,train
DDF,MLP,0,2,6427452,10490110,2,45,train
DDF,MLP,0,2,12077222,5350486,2,44,train
DDF,MLP,0,2,6947157,5329229,2,43,train
DDF,MLP,0,2,6972762,10566702,2,42,train
DDF,MLP,0,2,12119972,5406073,2,41,train
DDF,MLP,0,2,6421179,10614282,2,40,train
DDF,MLP,0,2,6932378,6257487,2,39,train
DDF,MLP,0,2,12108198,5390798,2,38,train
DDF,MLP,0,2,6420192,10490368,2,37,train
DDF,MLP,0,2,12073859,5297880,2,36,train
DDF,MLP,0,2,6954028,5339898,2,35,train
DDF,MLP,0,2,6403660,9428748,2,34,train
DDF,MLP,0,2,7116642,7272518,2,33,train
DDF,MLP,0,2,12119818,6279272,2,46,train
DDF,MLP,0,2,12115330,5388329,2,62,train
DDF,MLP,0,2,6946045,8601326,2,63,train
DDF,MLP,0,2,6993669,9114433,2,64,train
DDF,MLP,0,2,11884268,5354714,2,93,train
DDF,MLP,0,2,6633705,8449340,2,92,train
DDF,MLP,0,2,6937359,7293134,2,91,train
DDF,MLP,0,2,11535420,5316420,2,90,train
DDF,MLP,0,2,6950337,6090207,2,89,train
DDF,MLP,0,2,6969573,9708423,2,88,train
DDF,MLP,0,2,12071471,5349568,2,87,train
DDF,MLP,0,2,6448952,10121823,2,86,train
DDF,MLP,0,2,7403359,5670764,2,85,train
DDF,MLP,0,2,11620568,5300220,2,84,train
DDF,MLP,0,2,6431668,10636867,2,83,train
DDF,MLP,0,2,9468151,5301383,2,82,train
DDF,MLP,0,2,9566511,5306015,2,81,train
DDF,MLP,0,2,6982311,10528663,2,80,train
DDF,MLP,0,2,11390441,5308765,2,79,train
DDF,MLP,0,2,7075005,5341949,2,78,train
DDF,MLP,0,2,6998928,10553799,2,77,train
DDF,MLP,0,2,11530020,6290334,2,76,train
DDF,MLP,0,2,6953189,5354768,2,75,train
DDF,MLP,0,2,6988615,10462241,2,74,train
DDF,MLP,0,2,11544205,6269698,2,73,train
DDF,MLP,0,2,6963108,7415828,2,72,train
DDF,MLP,0,2,6958932,9347241,2,71,train
DDF,MLP,0,2,12132515,6320177,2,70,train
DDF,MLP,0,2,6415044,10468764,2,69,train
DDF,MLP,0,2,9597624,5409399,2,68,train
DDF,MLP,0,2,9423001,5289025,2,67,train
DDF,MLP,0,2,6980017,10535342,2,66,train
DDF,MLP,0,2,11532716,5422460,2,65,train
DDF,MLP,0,2,6967851,9725340,0,72,train
DDF,MLP,0,2,6189876,5307960,2,32,train
DDF,MLP,0,2,12111214,5383656,0,71,train
DDF,MLP,0,2,6920300,5292268,0,69,train
DDF,MLP,0,1,12119293,6363515,0,89,train
DDF,MLP,0,1,6937968,6552880,0,90,train
DDF,MLP,0,1,6430669,9286084,0,91,train
DDF,MLP,0,1,12107370,5352495,0,92,train
DDF,MLP,0,1,6926725,5362430,0,93,train
DDF,MLP,0,1,6426206,10505504,0,94,train
DDF,MLP,0,1,12100606,5301595,0,95,train
DDF,MLP,0,1,6918040,5693260,0,96,train
DDF,MLP,0,1,6427447,10157934,0,97,train
DDF,MLP,0,1,12110692,5381355,0,98,train
DDF,MLP,0,1,6925775,6253089,0,99,train
DDF,MLP,0,1,6431014,11440744,0,100,train
DDF,MLP,0,1,12111107,5312182,0,101,train
DDF,MLP,0,1,6408468,9361087,0,88,train
DDF,MLP,0,1,6938793,7898219,0,102,test
DDF,MLP,0,1,12111628,5317558,0,104,test
DDF,MLP,0,1,6937533,6064151,0,105,test
DDF,MLP,0,1,6418827,9743806,0,106,test
DDF,MLP,0,1,12117639,6300336,0,107,test
DDF,MLP,0,1,6980349,10579381,0,108,test
DDF,MLP,0,1,6965339,5282630,0,109,test
DDF,MLP,0,1,11537574,6288467,0,110,test
DDF,MLP,0,1,6984183,11413036,0,111,test
DDF,MLP,0,1,9009345,5303427,0,112,test
DDF,MLP,0,2,0,0,0,0,train
DDF,MLP,0,2,95,289,0,1,train
DDF,MLP,0,2,3268,3694,0,2,train
DDF,MLP,0,2,4739,6821,0,3,train
DDF,MLP,0,1,6420696,8866401,0,103,test
DDF,MLP,0,2,95,289,0,4,train
DDF,MLP,0,1,6938627,6667406,0,87,train
DDF,MLP,0,1,6460884,13391126,0,85,train
DDF,MLP,0,1,9598763,7586746,0,57,train
DDF,MLP,0,1,9457555,5381832,0,58,train
DDF,MLP,0,1,6424496,10483967,0,59,train
DDF,MLP,0,1,12111549,5303170,0,60,train
DDF,MLP,0,1,6939597,6990004,0,61,train
DDF,MLP,0,1,6401725,8782539,0,62,train
DDF,MLP,0,1,12123727,5382589,0,63,train
DDF,MLP,0,1,6984531,10772609,0,64,train
DDF,MLP,0,1,6375229,6071703,0,65,train
DDF,MLP,0,1,12112945,7221470,0,66,train
