dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DDF,RFR-maxBins-16,0,0,8095.0149999999985,train,RFR,maxBins,16
DDF,RFR-maxBins-16,0,1,8028.969999999998,train,RFR,maxBins,16
DDF,RFR-maxBins-16,0,2,7050.3049999999985,train,RFR,maxBins,16
DDF,RFR-maxBins-16,0,0,724.085,test,RFR,maxBins,16
DDF,RFR-maxBins-16,0,1,585.285,test,RFR,maxBins,16
DDF,RFR-maxBins-16,0,2,401.965,test,RFR,maxBins,16
DDF,RFR-maxBins-32,0,0,8134.025000000002,train,RFR,maxBins,32
DDF,RFR-maxBins-32,0,1,8285.045,train,RFR,maxBins,32
DDF,RFR-maxBins-32,0,2,8075.584999999999,train,RFR,maxBins,32
DDF,RFR-maxBins-32,0,0,410.565,test,RFR,maxBins,32
DDF,RFR-maxBins-32,0,1,483.685,test,RFR,maxBins,32
DDF,RFR-maxBins-32,0,2,475.55,test,RFR,maxBins,32
DDF,RFR-maxBins-4,0,0,8211.87,train,RFR,maxBins,4
DDF,RFR-maxBins-4,0,1,8622.490000000002,train,RFR,maxBins,4
DDF,RFR-maxBins-4,0,2,6443.27,train,RFR,maxBins,4
DDF,RFR-maxBins-4,0,0,1839.93,test,RFR,maxBins,4
DDF,RFR-maxBins-4,0,1,518.505,test,RFR,maxBins,4
DDF,RFR-maxBins-4,0,2,1006.63,test,RFR,maxBins,4
DDF,RFR-maxBins-48,0,0,9665.294999999998,train,RFR,maxBins,48
DDF,RFR-maxBins-48,0,1,10514.615000000002,train,RFR,maxBins,48
DDF,RFR-maxBins-48,0,2,9822.69,train,RFR,maxBins,48
DDF,RFR-maxBins-48,0,0,1694.0500000000004,test,RFR,maxBins,48
DDF,RFR-maxBins-48,0,1,1535.96,test,RFR,maxBins,48
DDF,RFR-maxBins-48,0,2,1395.6750000000004,test,RFR,maxBins,48
DDF,RFR-maxDepth-10,0,0,7633.66,train,RFR,maxDepth,10
DDF,RFR-maxDepth-10,0,1,7389.89,train,RFR,maxDepth,10
DDF,RFR-maxDepth-10,0,2,10077.65,train,RFR,maxDepth,10
DDF,RFR-maxDepth-10,0,0,1439.76,test,RFR,maxDepth,10
DDF,RFR-maxDepth-10,0,1,328.155,test,RFR,maxDepth,10
DDF,RFR-maxDepth-10,0,2,444.065,test,RFR,maxDepth,10
DDF,RFR-maxDepth-15,0,0,9345.23,train,RFR,maxDepth,15
DDF,RFR-maxDepth-15,0,1,7496.450000000002,train,RFR,maxDepth,15
DDF,RFR-maxDepth-15,0,2,8144.8,train,RFR,maxDepth,15
DDF,RFR-maxDepth-15,0,0,654.51,test,RFR,maxDepth,15
DDF,RFR-maxDepth-15,0,1,877.2949999999997,test,RFR,maxDepth,15
DDF,RFR-maxDepth-15,0,2,778.99,test,RFR,maxDepth,15
DDF,RFR-maxDepth-20,0,0,8606.65,train,RFR,maxDepth,20
DDF,RFR-maxDepth-20,0,1,7881.594999999998,train,RFR,maxDepth,20
DDF,RFR-maxDepth-20,0,2,5844.995,train,RFR,maxDepth,20
DDF,RFR-maxDepth-20,0,0,552.155,test,RFR,maxDepth,20
DDF,RFR-maxDepth-20,0,1,599.975,test,RFR,maxDepth,20
DDF,RFR-maxDepth-20,0,2,1357.6,test,RFR,maxDepth,20
DDF,RFR-maxDepth-5,0,0,5491.315000000001,train,RFR,maxDepth,5
DDF,RFR-maxDepth-5,0,1,6386.825,train,RFR,maxDepth,5
DDF,RFR-maxDepth-5,0,2,4852.14,train,RFR,maxDepth,5
DDF,RFR-maxDepth-5,0,0,1300.0649999999996,test,RFR,maxDepth,5
DDF,RFR-maxDepth-5,0,1,1220.59,test,RFR,maxDepth,5
DDF,RFR-maxDepth-5,0,2,1330.505,test,RFR,maxDepth,5
DDF,RFR-numTrees-10,0,0,6636.029999999999,train,RFR,numTrees,10
DDF,RFR-numTrees-10,0,1,6024.27,train,RFR,numTrees,10
DDF,RFR-numTrees-10,0,2,6706.025,train,RFR,numTrees,10
DDF,RFR-numTrees-10,0,0,1081.45,test,RFR,numTrees,10
DDF,RFR-numTrees-10,0,1,618.21,test,RFR,numTrees,10
DDF,RFR-numTrees-10,0,2,1039.2,test,RFR,numTrees,10
DDF,RFR-numTrees-100,0,0,8526.59,train,RFR,numTrees,100
DDF,RFR-numTrees-100,0,1,11282.309999999998,train,RFR,numTrees,100
DDF,RFR-numTrees-100,0,2,10157.09,train,RFR,numTrees,100
DDF,RFR-numTrees-100,0,0,723.4799999999998,test,RFR,numTrees,100
DDF,RFR-numTrees-100,0,1,1105.7,test,RFR,numTrees,100
DDF,RFR-numTrees-100,0,2,831.735,test,RFR,numTrees,100
DDF,RFR-numTrees-150,0,0,13399.15,train,RFR,numTrees,150
DDF,RFR-numTrees-150,0,1,13791.655,train,RFR,numTrees,150
DDF,RFR-numTrees-150,0,2,12405.280000000002,train,RFR,numTrees,150
DDF,RFR-numTrees-150,0,0,1175.91,test,RFR,numTrees,150
DDF,RFR-numTrees-150,0,1,898.155,test,RFR,numTrees,150
DDF,RFR-numTrees-150,0,2,749.4900000000001,test,RFR,numTrees,150
DDF,RFR-numTrees-50,0,0,7751.699999999999,train,RFR,numTrees,50
DDF,RFR-numTrees-50,0,1,6637.27,train,RFR,numTrees,50
DDF,RFR-numTrees-50,0,2,7846.2,train,RFR,numTrees,50
DDF,RFR-numTrees-50,0,0,810.225,test,RFR,numTrees,50
DDF,RFR-numTrees-50,0,1,988.2899999999997,test,RFR,numTrees,50
DDF,RFR-numTrees-50,0,2,769.635,test,RFR,numTrees,50
