dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,RFR-maxDepth-15,0,0,0,0,0,0,train
DDF,RFR-maxDepth-10,0,0,189,798,2,1,train
DDF,RFR-maxDepth-10,0,0,2840,2676,2,2,train
DDF,RFR-maxDepth-10,0,0,5191,8643,2,3,train
DDF,RFR-maxDepth-10,0,0,189,798,2,4,train
DDF,RFR-maxDepth-10,0,0,95,291,2,5,train
DDF,RFR-maxDepth-10,0,0,16544112,124356,2,6,train
DDF,RFR-maxDepth-10,0,0,25736,2257,2,7,train
DDF,RFR-maxDepth-10,0,0,34547658,141582,2,8,train
DDF,RFR-maxDepth-10,0,0,6162739,186661,2,9,train
DDF,RFR-maxDepth-10,0,0,20773777,177307,2,10,train
DDF,RFR-maxDepth-10,0,0,147,1576,2,11,train
DDF,RFR-maxDepth-10,0,0,2115,2378,2,12,train
DDF,RFR-maxDepth-10,0,0,189,798,2,13,train
DDF,RFR-maxDepth-10,0,0,141,291,2,14,train
DDF,RFR-maxDepth-10,0,0,95,291,2,15,train
DDF,RFR-maxDepth-10,0,0,447,1311,2,16,train
DDF,RFR-maxDepth-10,0,0,95,291,2,17,train
DDF,RFR-maxDepth-10,0,0,95,291,2,18,train
DDF,RFR-maxDepth-10,0,0,189,798,2,19,train
DDF,RFR-maxDepth-10,0,0,0,0,2,0,train
DDF,RFR-maxDepth-10,0,0,412,395,2,20,train
DDF,RFR-maxDepth-10,0,2,199,1576,1,79,test
DDF,RFR-maxDepth-10,0,2,95,291,1,77,test
DDF,RFR-maxDepth-10,0,2,26744377,238026,1,58,train
DDF,RFR-maxDepth-10,0,2,95,291,1,59,train
DDF,RFR-maxDepth-10,0,2,2421,173423,1,60,train
DDF,RFR-maxDepth-10,0,2,11968299,10717807,1,61,train
DDF,RFR-maxDepth-10,0,2,22972866,16195857,1,62,train
DDF,RFR-maxDepth-10,0,2,5798703,74490,1,63,train
DDF,RFR-maxDepth-10,0,2,26076799,25756985,1,64,train
DDF,RFR-maxDepth-10,0,2,27656049,22296345,1,65,train
DDF,RFR-maxDepth-10,0,2,19172251,9795634,1,66,train
DDF,RFR-maxDepth-10,0,2,39652955,36549839,1,67,train
DDF,RFR-maxDepth-10,0,2,6656981,1131411,1,68,test
DDF,RFR-maxDepth-10,0,2,40524296,36027600,1,69,test
DDF,RFR-maxDepth-10,0,2,6290309,98440,1,70,test
DDF,RFR-maxDepth-10,0,2,26560511,23288735,1,71,test
DDF,RFR-maxDepth-10,0,2,17890096,12032223,1,72,test
DDF,RFR-maxDepth-10,0,2,13520474,6642056,1,73,test
DDF,RFR-maxDepth-10,0,2,10615308,4414744,1,74,test
DDF,RFR-maxDepth-10,0,2,189,798,1,75,test
DDF,RFR-maxDepth-10,0,2,95,291,1,76,test
DDF,RFR-maxDepth-10,0,2,454,798,1,78,test
DDF,RFR-maxDepth-10,0,2,241,902,1,57,train
DDF,RFR-maxDepth-10,0,0,147,1576,2,21,train
DDF,RFR-maxDepth-10,0,0,95,291,2,23,train
DDF,RFR-maxDepth-10,0,0,147,4123,2,47,train
DDF,RFR-maxDepth-10,0,0,8032005,5890495,2,48,train
DDF,RFR-maxDepth-10,0,0,4661007,1002616,2,49,train
DDF,RFR-maxDepth-10,0,0,360,291,2,50,train
DDF,RFR-maxDepth-10,0,0,147,1576,2,51,train
DDF,RFR-maxDepth-10,0,0,189,798,2,52,train
DDF,RFR-maxDepth-10,0,0,95,291,2,53,train
DDF,RFR-maxDepth-10,0,0,95,291,2,54,train
DDF,RFR-maxDepth-10,0,0,292628,3819,2,55,train
DDF,RFR-maxDepth-10,0,0,24893849,80678,2,56,train
DDF,RFR-maxDepth-10,0,0,95,291,2,57,train
DDF,RFR-maxDepth-10,0,0,12182317,9600761,2,58,train
DDF,RFR-maxDepth-10,0,0,23290882,14706160,2,59,train
DDF,RFR-maxDepth-10,0,0,5794065,88237,2,60,train
DDF,RFR-maxDepth-10,0,0,27545961,24506794,2,61,train
DDF,RFR-maxDepth-10,0,0,15843467,19417957,2,62,train
DDF,RFR-maxDepth-10,0,0,29103404,12343074,2,63,train
DDF,RFR-maxDepth-10,0,0,37141044,36496177,2,64,train
DDF,RFR-maxDepth-10,0,0,10283363,112377,2,65,test
DDF,RFR-maxDepth-10,0,0,19955665,61148,2,46,train
DDF,RFR-maxDepth-10,0,0,189,798,2,22,train
DDF,RFR-maxDepth-10,0,0,95,291,2,45,train
DDF,RFR-maxDepth-10,0,0,189,798,2,43,train
DDF,RFR-maxDepth-10,0,0,95,291,2,24,train
DDF,RFR-maxDepth-10,0,0,189,798,2,25,train
DDF,RFR-maxDepth-10,0,0,580984,14730,2,26,train
DDF,RFR-maxDepth-10,0,0,95,291,2,27,train
DDF,RFR-maxDepth-10,0,0,189,798,2,28,train
DDF,RFR-maxDepth-10,0,0,95,291,2,29,train
DDF,RFR-maxDepth-10,0,0,95,291,2,30,train
DDF,RFR-maxDepth-10,0,0,189,798,2,31,train
DDF,RFR-maxDepth-10,0,0,95,291,2,32,train
DDF,RFR-maxDepth-10,0,0,95,291,2,33,train
DDF,RFR-maxDepth-10,0,0,189,798,2,34,train
DDF,RFR-maxDepth-10,0,0,95,291,2,35,train
DDF,RFR-maxDepth-10,0,0,26541,37473,2,36,train
DDF,RFR-maxDepth-10,0,0,23061391,63108,2,37,train
DDF,RFR-maxDepth-10,0,0,95,291,2,38,train
DDF,RFR-maxDepth-10,0,0,619270,585577,2,39,train
DDF,RFR-maxDepth-10,0,0,189,798,2,40,train
DDF,RFR-maxDepth-10,0,0,147,1576,2,41,train
DDF,RFR-maxDepth-10,0,0,95,291,2,42,train
DDF,RFR-maxDepth-10,0,0,95,291,2,44,train
DDF,RFR-maxDepth-10,0,0,37087980,36119694,2,66,test
DDF,RFR-maxDepth-10,0,2,95,291,1,56,train
DDF,RFR-maxDepth-10,0,2,293,2083,1,54,train
DDF,RFR-maxDepth-10,0,1,8467754,3036815,1,60,train
DDF,RFR-maxDepth-10,0,1,38112592,34954514,1,61,test
DDF,RFR-maxDepth-10,0,1,17860030,7014710,1,62,test
DDF,RFR-maxDepth-10,0,1,31478171,29084643,1,63,test
DDF,RFR-maxDepth-10,0,1,27115891,23156513,1,64,test
DDF,RFR-maxDepth-10,0,1,19406908,9899461,1,65,test
DDF,RFR-maxDepth-10,0,1,13576133,6972083,1,66,test
DDF,RFR-maxDepth-10,0,1,10903509,5643325,1,67,test
DDF,RFR-maxDepth-10,0,1,189,798,1,68,test
DDF,RFR-maxDepth-10,0,1,95,291,1,69,test
DDF,RFR-maxDepth-10,0,1,95,291,1,70,test
DDF,RFR-maxDepth-10,0,2,0,0,1,0,train
DDF,RFR-maxDepth-10,0,2,95,291,1,1,train
DDF,RFR-maxDepth-10,0,2,2892,2676,1,2,train
DDF,RFR-maxDepth-10,0,2,5169,7845,1,3,train
DDF,RFR-maxDepth-10,0,2,95,291,1,4,train
DDF,RFR-maxDepth-10,0,2,199,1576,1,5,train
DDF,RFR-maxDepth-10,0,2,16543957,116688,1,6,train
DDF,RFR-maxDepth-10,0,2,26158,2452,1,7,train
DDF,RFR-maxDepth-10,0,1,33565406,30909409,1,59,train
DDF,RFR-maxDepth-10,0,2,21793469,115276,1,8,train
DDF,RFR-maxDepth-10,0,1,7394437,85606,1,58,train
DDF,RFR-maxDepth-10,0,1,8338461,6536012,1,56,train
DDF,RFR-maxDepth-10,0,1,1553,49121,1,37,train
DDF,RFR-maxDepth-10,0,1,614570,37928,1,38,train
DDF,RFR-maxDepth-10,0,1,95,291,1,39,train
DDF,RFR-maxDepth-10,0,1,95,291,1,40,train
