dataset,algorithm,platformId,runId,Energy,phase
DDF,RFR,0,2,9265.45,train
DDF,RFR,0,1,9493.48,train
DDF,RFR,0,0,7980.8550000000005,train
DDF,RFR,0,0,1589.1149999999998,test
DDF,RFR,0,1,1630.8050000000003,test
DDF,RFR,0,2,1188.8000000000002,test
DDF,RFR,1,0,8622.82,train
DDF,RFR,1,1,673.3699999999999,test
DDF,RFR,1,0,751.555,test
DDF,RFR,1,2,660.835,test
DDF,RFR,1,1,7764.605,train
DDF,RFR,1,2,8267.11,train
DDF,RFR,2,1,7949.140000000001,train
DDF,RFR,2,2,6373.9349999999995,train
DDF,RFR,2,0,1001.275,test
DDF,RFR,2,0,11436.999999999998,train
DDF,RFR,2,1,1002.765,test
DDF,RFR,2,2,908.2949999999998,test
DDF,RFR,3,0,1197.1399999999999,test
DDF,RFR,3,2,1191.1800000000003,test
DDF,RFR,3,2,6711.85,train
DDF,RFR,3,0,10242.68,train
DDF,RFR,3,1,7790.120000000001,train
DDF,RFR,3,1,1074.655,test
DDF,RFR,4,1,8790.640000000001,train
DDF,RFR,4,0,8436.455,train
DDF,RFR,4,2,9829.465,train
DDF,RFR,4,2,1640.3250000000003,test
DDF,RFR,4,1,1680.935,test
DDF,RFR,4,0,1606.595,test
DDF,RFR,5,1,2127.1049999999996,test
DDF,RFR,5,0,1824.1850000000002,test
DDF,RFR,5,1,14931.59,train
DDF,RFR,5,2,12988.36,train
DDF,RFR,5,0,15522.400000000001,train
DDF,RFR,5,2,1897.45,test
DDF,RFR,6,0,10370.155000000002,train
DDF,RFR,6,1,8306.935000000001,train
DDF,RFR,6,0,1804.0650000000003,test
DDF,RFR,6,1,1826.7500000000002,test
DDF,RFR,6,2,1765.55,test
DDF,RFR,6,2,12137.984999999999,train
DDF,RFR,7,2,9259.895,train
DDF,RFR,7,1,1734.7849999999999,test
DDF,RFR,7,0,1780.72,test
DDF,RFR,7,0,4761.51,train
DDF,RFR,7,1,4427.535,train
DDF,RFR,7,2,1683.87,test
DDF,RFR,8,0,6058.51,train
DDF,RFR,8,1,5747.209999999999,train
DDF,RFR,8,0,1732.575,test
DDF,RFR,8,1,1725.88,test
DDF,RFR,8,2,1608.275,test
DDF,RFR,8,2,4405.24,train
DDF,RFR,9,2,551.09,test
DDF,RFR,9,0,476.74999999999994,test
DDF,RFR,9,1,476.1,test
DDF,RFR,9,0,5753.125,train
DDF,RFR,9,1,7074.280000000001,train
DDF,RFR,9,2,7478.990000000002,train
DDF,RFR,10,0,905.3899999999999,test
DDF,RFR,10,2,9768.91,train
DDF,RFR,10,0,7128.429999999999,train
DDF,RFR,10,2,836.7,test
DDF,RFR,10,1,895.38,test
DDF,RFR,10,1,8143.0250000000015,train
DDF,RFR,11,1,968.0,test
DDF,RFR,11,2,1233.81,test
DDF,RFR,11,0,978.9499999999999,test
DDF,RFR,11,0,8915.88,train
DDF,RFR,11,1,8704.12,train
DDF,RFR,11,2,5677.685,train
DDF,RFR,12,0,1616.9099999999999,test
DDF,RFR,12,0,5064.950000000001,train
DDF,RFR,12,2,4083.830000000001,train
DDF,RFR,12,1,1348.9,test
DDF,RFR,12,1,4938.06,train
DDF,RFR,12,2,1619.34,test
DDF,RFR,13,0,2226.335,test
DDF,RFR,13,1,1682.1950000000002,test
DDF,RFR,13,2,7387.235,train
DDF,RFR,13,0,7592.6900000000005,train
DDF,RFR,13,1,7600.935,train
DDF,RFR,13,2,2102.49,test
DDF,RFR,14,0,9091.53,train
DDF,RFR,14,1,10467.449999999999,train
DDF,RFR,14,1,1949.3899999999999,test
DDF,RFR,14,2,1865.0149999999999,test
DDF,RFR,14,2,9605.66,train
DDF,RFR,14,0,1681.7200000000003,test
DDF,RFR,15,0,1572.92,test
DDF,RFR,15,2,9509.21,train
DDF,RFR,15,1,10334.2,train
DDF,RFR,15,1,1566.485,test
DDF,RFR,15,2,1556.2050000000002,test
DDF,RFR,15,0,12678.765,train
DDF,RFR,16,0,1711.7049999999997,test
DDF,RFR,16,2,1604.4049999999997,test
DDF,RFR,16,0,9682.27,train
DDF,RFR,16,2,11051.62,train
DDF,RFR,16,1,7720.305,train
DDF,RFR,16,1,1986.175,test
DDF,RFR,17,1,10898.145,train
DDF,RFR,17,2,1775.3,test
DDF,RFR,17,1,1530.6350000000002,test
DDF,RFR,17,2,11577.365,train
DDF,RFR,17,0,10779.485,train
DDF,RFR,17,0,1376.255,test
DDF,RFR,18,0,10291.2,train
DDF,RFR,18,0,1503.9899999999998,test
DDF,RFR,18,1,1890.4,test
DDF,RFR,18,1,8254.49,train
DDF,RFR,18,2,7979.965,train
DDF,RFR,18,2,1364.7500000000002,test
DDF,RFR,19,2,10762.085000000003,train
DDF,RFR,19,2,1644.6450000000002,test
DDF,RFR,19,1,1638.0449999999998,test
DDF,RFR,19,1,10238.265,train
DDF,RFR,19,0,9846.809999999998,train
DDF,RFR,19,0,1543.1950000000002,test
DDF,RFR,20,0,11009.989999999998,train
DDF,RFR,20,2,1514.0499999999997,test
DDF,RFR,20,1,1598.025,test
DDF,RFR,20,2,9429.910000000002,train
DDF,RFR,20,1,11464.055,train
DDF,RFR,20,0,1365.25,test
DDF,RFR,21,1,1363.2350000000001,test
DDF,RFR,21,0,1753.625,test
DDF,RFR,21,0,11200.67,train
DDF,RFR,21,2,1190.8000000000002,test
DDF,RFR,21,1,12784.260000000006,train
DDF,RFR,21,2,9695.380000000001,train
DDF,RFR,22,2,1780.15,test
DDF,RFR,22,1,10493.960000000001,train
DDF,RFR,22,0,12103.415,train
DDF,RFR,22,2,9236.519999999999,train
DDF,RFR,22,1,1550.2250000000004,test
DDF,RFR,22,0,1672.1500000000003,test
DDF,RFR,23,1,10746.185000000001,train
DDF,RFR,23,0,10843.09,train
DDF,RFR,23,2,1369.1999999999998,test
DDF,RFR,23,0,1513.2150000000001,test
DDF,RFR,23,2,10572.27,train
DDF,RFR,23,1,1722.95,test
DDF,RFR,24,1,1379.0,test
DDF,RFR,24,0,1640.36,test
DDF,RFR,24,0,11179.159999999998,train
DDF,RFR,24,1,10878.689999999999,train
DDF,RFR,24,2,11746.789999999997,train
DDF,RFR,24,2,1538.67,test
DDF,RFR,25,2,12318.380000000001,train
DDF,RFR,25,1,1482.085,test
DDF,RFR,25,0,11242.435,train
DDF,RFR,25,2,1644.565,test
DDF,RFR,25,0,1607.6,test
DDF,RFR,25,1,10616.060000000001,train
DDF,RFR,26,0,1533.52,test
DDF,RFR,26,0,11680.195,train
DDF,RFR,26,1,10067.034999999998,train
DDF,RFR,26,2,10659.630000000001,train
DDF,RFR,26,2,1375.7,test
