dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DDF,RFR,0,1,95,290,2,34,train
DDF,RFR,0,1,3155,6440,0,3,train
DDF,RFR,0,1,4908,4854,0,2,train
DDF,RFR,0,1,241,2080,0,1,train
DDF,RFR,0,1,0,0,0,0,train
DDF,RFR,0,0,95,289,0,78,test
DDF,RFR,0,0,95,289,0,77,test
DDF,RFR,0,0,447,1308,0,76,test
DDF,RFR,0,0,95,289,0,75,test
DDF,RFR,0,0,147,1574,0,74,test
DDF,RFR,0,0,6503255,4344401,0,73,test
DDF,RFR,0,0,14335227,6738134,0,72,test
DDF,RFR,0,1,189,795,0,4,train
DDF,RFR,0,0,17394525,11740274,0,71,test
DDF,RFR,0,0,8176369,3908053,0,69,test
DDF,RFR,0,0,38188210,36380886,0,68,test
DDF,RFR,0,0,6658276,1373605,0,67,test
DDF,RFR,0,0,40001617,35821218,0,66,train
DDF,RFR,0,0,14180681,7823317,0,65,train
DDF,RFR,0,0,31847997,25486798,0,64,train
DDF,RFR,0,0,27594863,24156761,0,63,train
DDF,RFR,0,0,7289596,3737260,0,62,train
DDF,RFR,0,0,20638627,11673164,0,61,train
DDF,RFR,0,0,12218395,9204921,0,60,train
DDF,RFR,0,0,147,1574,0,59,train
DDF,RFR,0,0,28396419,19598395,0,70,test
DDF,RFR,0,0,241,2080,0,58,train
DDF,RFR,0,1,16523312,122627,0,5,train
DDF,RFR,0,1,45322999,214018,0,7,train
DDF,RFR,0,1,241,2080,0,31,train
DDF,RFR,0,1,147,1574,0,30,train
DDF,RFR,0,1,95,289,0,29,train
DDF,RFR,0,1,447,10748,0,28,train
DDF,RFR,0,1,95,289,0,27,train
DDF,RFR,0,1,580628,13034,0,26,train
DDF,RFR,0,1,189,795,0,25,train
DDF,RFR,0,1,95,289,0,24,train
DDF,RFR,0,1,95,289,0,23,train
DDF,RFR,0,1,189,795,0,22,train
DDF,RFR,0,1,95,289,0,21,train
DDF,RFR,0,1,191234,78719,0,6,train
DDF,RFR,0,1,147,393,0,20,train
DDF,RFR,0,1,353,802,0,18,train
DDF,RFR,0,1,147,1574,0,17,train
DDF,RFR,0,1,470,795,0,16,train
DDF,RFR,0,1,193,1574,0,15,train
DDF,RFR,0,1,95,289,0,14,train
DDF,RFR,0,1,336,1188,0,13,train
DDF,RFR,0,1,95,289,0,12,train
