transformTime,features,fitTime,testCount,trainCount,rmse,mse,mae,r2,runId,dataset,algorithm,family,platformId,f1,accuracy,weightedPrecision,weightedRecall,silhouette
263.0,128.0,37845.0,13891.0,13891.0,,,,,0,DGS,BKM-maxIter-50,clustering,0,,,,,0.10784795467423376
276.0,128.0,37193.0,13891.0,13891.0,,,,,1,DGS,BKM-maxIter-50,clustering,0,,,,,0.10784795467423376
256.0,128.0,36269.0,13891.0,13891.0,,,,,2,DGS,BKM-maxIter-50,clustering,0,,,,,0.10784795467423376
290.0,128.0,6598.0,13891.0,13891.0,,,,,0,DGS,BKM-maxIter-5,clustering,0,,,,,0.10352303670681264
290.0,128.0,6453.0,13891.0,13891.0,,,,,1,DGS,BKM-maxIter-5,clustering,0,,,,,0.10347062851140028
283.0,128.0,6634.0,13891.0,13891.0,,,,,2,DGS,BKM-maxIter-5,clustering,0,,,,,0.10817039955281334
288.0,128.0,10202.0,13891.0,13891.0,,,,,0,DGS,BKM-maxIter-10,clustering,0,,,,,0.10740649086383804
276.0,128.0,10088.0,13891.0,13891.0,,,,,1,DGS,BKM-maxIter-10,clustering,0,,,,,0.10740649086383802
264.0,128.0,10437.0,13891.0,13891.0,,,,,2,DGS,BKM-maxIter-10,clustering,0,,,,,0.10741060298853164
292.0,128.0,17232.0,13891.0,13891.0,,,,,0,DGS,BKM-maxIter-20,clustering,0,,,,,0.119934742235188
257.0,128.0,17166.0,13891.0,13891.0,,,,,1,DGS,BKM-maxIter-20,clustering,0,,,,,0.10783502909193443
259.0,128.0,16875.0,13891.0,13891.0,,,,,2,DGS,BKM-maxIter-20,clustering,0,,,,,0.10783502909193436
269.0,128.0,13876.0,13891.0,13891.0,,,,,0,DGS,BKM-maxIter-15,clustering,0,,,,,0.10753724165122826
256.0,128.0,13490.0,13891.0,13891.0,,,,,1,DGS,BKM-maxIter-15,clustering,0,,,,,0.10755435635337884
265.0,128.0,13316.0,13891.0,13891.0,,,,,2,DGS,BKM-maxIter-15,clustering,0,,,,,0.10755435635337884
242.0,128.0,69368.0,13891.0,13891.0,,,,,0,DGS,BKM-maxIter-100,clustering,0,,,,,0.10784313434831674
282.0,128.0,67993.0,13891.0,13891.0,,,,,1,DGS,BKM-maxIter-100,clustering,0,,,,,0.10784795467423376
279.0,128.0,68951.0,13891.0,13891.0,,,,,2,DGS,BKM-maxIter-100,clustering,0,,,,,0.10784313434831667
