dataset,algorithm,platformId,runId,CpuUsage,node,timeIndex,phase
DGS,BKM-maxIter-50,0,0,0.12817758093182605,0,0,train
DGS,BKM-maxIter-100,0,0,0.004962779156327589,1,1,train
DGS,BKM-maxIter-100,0,0,0.12783092297295684,1,0,train
DGS,BKM-maxIter-100,0,2,0.09553349875930514,0,69,test
DGS,BKM-maxIter-100,0,2,0.08728179551122196,0,68,train
DGS,BKM-maxIter-100,0,2,0.09753086419753088,0,67,train
DGS,BKM-maxIter-100,0,2,0.10480887792848335,0,66,train
DGS,BKM-maxIter-100,0,2,0.10506798516687263,0,65,train
DGS,BKM-maxIter-100,0,2,0.08239700374531832,0,64,train
DGS,BKM-maxIter-100,0,2,0.13374233128834356,0,63,train
DGS,BKM-maxIter-100,0,2,0.10049627791563275,0,62,train
DGS,BKM-maxIter-100,0,2,0.10186335403726707,0,61,train
DGS,BKM-maxIter-100,0,2,0.11742892459826945,0,60,train
DGS,BKM-maxIter-100,0,2,0.08863920099875156,0,59,train
DGS,BKM-maxIter-100,0,2,0.10794044665012408,0,58,train
DGS,BKM-maxIter-100,0,2,0.11538461538461542,0,57,train
DGS,BKM-maxIter-100,0,2,0.11590628853267573,0,56,train
DGS,BKM-maxIter-100,0,2,0.10259579728059333,0,55,train
DGS,BKM-maxIter-100,0,2,0.11428571428571432,0,54,train
DGS,BKM-maxIter-100,0,2,0.12484548825710749,0,53,train
DGS,BKM-maxIter-100,0,2,0.11234567901234571,0,52,train
DGS,BKM-maxIter-100,0,2,0.09079601990049746,0,51,train
DGS,BKM-maxIter-100,0,2,0.09999999999999998,0,50,train
DGS,BKM-maxIter-100,0,2,0.10211706102117057,0,49,train
DGS,BKM-maxIter-100,0,2,0.0884184308841843,0,48,train
DGS,BKM-maxIter-100,0,2,0.09464508094645085,0,47,train
DGS,BKM-maxIter-100,0,0,0.2351485148514851,1,2,train
DGS,BKM-maxIter-100,0,0,0.10285006195786858,1,3,train
DGS,BKM-maxIter-100,0,0,0.028535980148883366,1,4,train
DGS,BKM-maxIter-100,0,0,0.21482412060301503,1,5,train
DGS,BKM-maxIter-100,0,0,0.09192546583850936,1,31,train
DGS,BKM-maxIter-100,0,0,0.12068965517241381,1,30,train
DGS,BKM-maxIter-100,0,0,0.13686806411837238,1,29,train
DGS,BKM-maxIter-100,0,0,0.15441176470588233,1,28,train
DGS,BKM-maxIter-100,0,0,0.13613861386138615,1,27,train
DGS,BKM-maxIter-100,0,0,0.12810945273631844,1,26,train
DGS,BKM-maxIter-100,0,0,0.1333333333333333,1,25,train
DGS,BKM-maxIter-100,0,0,0.11386138613861384,1,24,train
DGS,BKM-maxIter-100,0,0,0.12515489467162333,1,23,train
DGS,BKM-maxIter-100,0,0,0.11304347826086955,1,22,train
DGS,BKM-maxIter-100,0,0,0.14760147601476015,1,21,train
DGS,BKM-maxIter-100,0,0,0.1948212083847103,1,20,train
DGS,BKM-maxIter-100,0,2,0.0960099750623441,0,46,train
DGS,BKM-maxIter-100,0,0,0.15222772277227725,1,19,train
DGS,BKM-maxIter-100,0,0,0.18204182041820413,1,17,train
DGS,BKM-maxIter-100,0,0,0.16256157635467983,1,16,train
DGS,BKM-maxIter-100,0,0,0.20295202952029523,1,15,train
DGS,BKM-maxIter-100,0,0,0.18463444857496905,1,14,train
DGS,BKM-maxIter-100,0,0,0.2201722017220173,1,13,train
DGS,BKM-maxIter-100,0,0,0.36724565756823824,1,12,train
DGS,BKM-maxIter-100,0,0,0.35935563816604715,1,11,train
DGS,BKM-maxIter-100,0,0,0.2669962917181705,1,10,train
DGS,BKM-maxIter-100,0,0,0.2071960297766749,1,9,train
DGS,BKM-maxIter-100,0,0,0.06939281288723666,1,8,train
DGS,BKM-maxIter-100,0,0,0.04119850187265916,1,7,train
DGS,BKM-maxIter-100,0,0,0.31226765799256506,1,6,train
DGS,BKM-maxIter-100,0,0,0.13950617283950614,1,18,train
DGS,BKM-maxIter-100,0,0,0.11808118081180805,1,32,train
DGS,BKM-maxIter-100,0,2,0.1003717472118959,0,45,train
DGS,BKM-maxIter-100,0,2,0.12438423645320196,0,43,train
DGS,BKM-maxIter-100,0,2,0.2853598014888339,0,12,train
DGS,BKM-maxIter-100,0,2,0.3614906832298136,0,11,train
DGS,BKM-maxIter-100,0,2,0.14126394052044608,0,10,train
DGS,BKM-maxIter-100,0,2,0.2599009900990099,0,9,train
DGS,BKM-maxIter-100,0,2,0.22857142857142854,0,8,train
DGS,BKM-maxIter-100,0,2,0.39682539682539675,0,7,train
DGS,BKM-maxIter-100,0,2,0.19083023543990085,0,6,train
DGS,BKM-maxIter-100,0,2,0.002478314745972709,0,5,train
DGS,BKM-maxIter-100,0,2,0.004968944099378869,0,4,train
DGS,BKM-maxIter-100,0,2,0.10532837670384146,0,3,train
DGS,BKM-maxIter-100,0,2,0.265179677819083,0,2,train
DGS,BKM-maxIter-100,0,2,0.004987531172069848,0,1,train
DGS,BKM-maxIter-100,0,2,0.12817642561375242,0,0,train
DGS,BKM-maxIter-100,0,1,0.09541511771995047,0,68,test
DGS,BKM-maxIter-100,0,1,0.10148514851485146,0,67,train
DGS,BKM-maxIter-100,0,1,0.1013597033374537,0,66,train
DGS,BKM-maxIter-100,0,1,0.08782936010037645,0,65,train
DGS,BKM-maxIter-100,0,1,0.09975062344139653,0,64,train
DGS,BKM-maxIter-100,0,1,0.10434782608695649,0,63,train
DGS,BKM-maxIter-100,0,1,0.13868613138686134,0,62,train
DGS,BKM-maxIter-100,0,1,0.09011264080100123,0,61,train
DGS,BKM-maxIter-100,0,1,0.09351620947630923,0,60,train
DGS,BKM-maxIter-100,0,1,0.09159347553324972,0,59,train
DGS,BKM-maxIter-100,0,1,0.0885286783042394,0,58,train
DGS,BKM-maxIter-100,0,1,0.10807453416149074,0,57,train
DGS,BKM-maxIter-100,0,2,0.2412935323383084,0,13,train
DGS,BKM-maxIter-100,0,2,0.1977886977886979,0,14,train
DGS,BKM-maxIter-100,0,2,0.1765432098765433,0,15,train
DGS,BKM-maxIter-100,0,2,0.1732673267326733,0,16,train
DGS,BKM-maxIter-100,0,2,0.11220715166461159,0,42,train
DGS,BKM-maxIter-100,0,2,0.0896637608966376,0,41,train
DGS,BKM-maxIter-100,0,2,0.10572139303482586,0,40,train
DGS,BKM-maxIter-100,0,2,0.09750000000000003,0,39,train
DGS,BKM-maxIter-100,0,2,0.11358024691358025,0,38,train
DGS,BKM-maxIter-100,0,2,0.10396039603960397,0,37,train
DGS,BKM-maxIter-100,0,2,0.09577114427860697,0,36,train
DGS,BKM-maxIter-100,0,2,0.13844252163164403,0,35,train
DGS,BKM-maxIter-100,0,2,0.14764267990074445,0,34,train
DGS,BKM-maxIter-100,0,2,0.12252475247524754,0,33,train
DGS,BKM-maxIter-100,0,2,0.11457036114570364,0,32,train
DGS,BKM-maxIter-100,0,2,0.10199004975124383,0,31,train
DGS,BKM-maxIter-100,0,2,0.09417596034696409,0,44,train
DGS,BKM-maxIter-100,0,2,0.12345679012345678,0,30,train
DGS,BKM-maxIter-100,0,2,0.1467661691542289,0,28,train
DGS,BKM-maxIter-100,0,2,0.1293103448275862,0,27,train
DGS,BKM-maxIter-100,0,2,0.12871287128712874,0,26,train
DGS,BKM-maxIter-100,0,2,0.13630731102850058,0,25,train
DGS,BKM-maxIter-100,0,2,0.12951432129514318,0,24,train
DGS,BKM-maxIter-100,0,2,0.11400247831474598,0,23,train
DGS,BKM-maxIter-100,0,2,0.15613382899628248,0,22,train
DGS,BKM-maxIter-100,0,2,0.18103448275862066,0,21,train
DGS,BKM-maxIter-100,0,2,0.19386503067484662,0,20,train
DGS,BKM-maxIter-100,0,2,0.14392059553349873,0,19,train
DGS,BKM-maxIter-100,0,2,0.1253071253071253,0,18,train
DGS,BKM-maxIter-100,0,2,0.16149068322981364,0,17,train
DGS,BKM-maxIter-100,0,2,0.12670807453416144,0,29,train
DGS,BKM-maxIter-100,0,0,0.12484548825710749,1,33,train
DGS,BKM-maxIter-100,0,0,0.09777227722772273,1,34,train
DGS,BKM-maxIter-100,0,0,0.12222222222222225,1,35,train
DGS,BKM-maxIter-100,0,1,0.09440993788819874,1,50,train
DGS,BKM-maxIter-100,0,1,0.09725685785536164,1,49,train
DGS,BKM-maxIter-100,0,1,0.10148514851485146,1,48,train
DGS,BKM-maxIter-100,0,1,0.09665427509293681,1,47,train
DGS,BKM-maxIter-100,0,1,0.0873907615480649,1,46,train
DGS,BKM-maxIter-100,0,1,0.09565217391304348,1,45,train
DGS,BKM-maxIter-100,0,1,0.11400247831474598,1,44,train
DGS,BKM-maxIter-100,0,1,0.10480887792848335,1,43,train
DGS,BKM-maxIter-100,0,1,0.10877626699629171,1,42,train
DGS,BKM-maxIter-100,0,1,0.10480887792848335,1,41,train
DGS,BKM-maxIter-100,0,1,0.09305210918114148,1,40,train
DGS,BKM-maxIter-100,0,1,0.10723192019950123,1,39,train
DGS,BKM-maxIter-100,0,1,0.09203980099502485,1,38,train
DGS,BKM-maxIter-100,0,1,0.09589041095890416,1,37,train
DGS,BKM-maxIter-100,0,1,0.1124845488257108,1,36,train
DGS,BKM-maxIter-100,0,1,0.17343173431734316,1,35,train
DGS,BKM-maxIter-100,0,1,0.11851851851851848,1,34,train
DGS,BKM-maxIter-100,0,1,0.11138613861386137,1,33,train
DGS,BKM-maxIter-100,0,1,0.11233211233211238,1,32,train
DGS,BKM-maxIter-100,0,1,0.08977556109725679,1,31,train
DGS,BKM-maxIter-100,0,1,0.12734082397003743,1,30,train
DGS,BKM-maxIter-100,0,1,0.12810945273631844,1,29,train
DGS,BKM-maxIter-100,0,1,0.10572139303482586,1,28,train
DGS,BKM-maxIter-100,0,1,0.15847665847665848,1,27,train
DGS,BKM-maxIter-100,0,1,0.12842892768079806,1,26,train
DGS,BKM-maxIter-100,0,1,0.09589041095890416,1,51,train
DGS,BKM-maxIter-100,0,1,0.09553349875930514,1,52,train
DGS,BKM-maxIter-100,0,1,0.13128834355828226,1,53,train
DGS,BKM-maxIter-100,0,1,0.12623762376237624,1,54,train
DGS,BKM-maxIter-100,0,2,0.3574097135740971,1,11,train
DGS,BKM-maxIter-100,0,2,0.17977528089887643,1,10,train
DGS,BKM-maxIter-100,0,2,0.27441285537700866,1,9,train
DGS,BKM-maxIter-100,0,2,0.18057285180572846,1,8,train
DGS,BKM-maxIter-100,0,2,0.07453416149068326,1,7,train
DGS,BKM-maxIter-100,0,2,0.3610421836228288,1,6,train
DGS,BKM-maxIter-100,0,2,0.23739237392373924,1,5,train
DGS,BKM-maxIter-100,0,2,0.02363184079601988,1,4,train
DGS,BKM-maxIter-100,0,2,0.07320099255583123,1,3,train
DGS,BKM-maxIter-100,0,2,0.2762836185819071,1,2,train
DGS,BKM-maxIter-100,0,2,0.003735990037359915,1,1,train
DGS,BKM-maxIter-100,0,2,0.1278293554020115,1,0,train
DGS,BKM-maxIter-100,0,1,0.11619283065512974,1,25,train
DGS,BKM-maxIter-100,0,1,0.08114856429463169,1,68,test
DGS,BKM-maxIter-100,0,1,0.09192546583850936,1,66,train
DGS,BKM-maxIter-100,0,1,0.09181141439205953,1,65,train
DGS,BKM-maxIter-100,0,1,0.10559006211180122,1,64,train
DGS,BKM-maxIter-100,0,1,0.08754623921085081,1,63,train
DGS,BKM-maxIter-100,0,1,0.10864197530864195,1,62,train
DGS,BKM-maxIter-100,0,1,0.10246913580246918,1,61,train
DGS,BKM-maxIter-100,0,1,0.10306748466257665,1,60,train
DGS,BKM-maxIter-100,0,1,0.09825870646766166,1,59,train
DGS,BKM-maxIter-100,0,1,0.09900990099009901,1,58,train
DGS,BKM-maxIter-100,0,1,0.0948813982521848,1,57,train
DGS,BKM-maxIter-100,0,1,0.1270236612702365,1,56,train
DGS,BKM-maxIter-100,0,1,0.10630407911001241,1,55,train
DGS,BKM-maxIter-100,0,1,0.0847880299251871,1,67,train
DGS,BKM-maxIter-100,0,1,0.11457036114570364,1,24,train
DGS,BKM-maxIter-100,0,1,0.14215080346106299,1,23,train
DGS,BKM-maxIter-100,0,1,0.11985018726591756,1,22,train
DGS,BKM-maxIter-100,0,0,0.09238451935081148,1,61,train
DGS,BKM-maxIter-100,0,0,0.09825870646766166,1,60,train
DGS,BKM-maxIter-100,0,0,0.09925558312655092,1,59,train
DGS,BKM-maxIter-100,0,0,0.09363295880149813,1,58,train
DGS,BKM-maxIter-100,0,0,0.1106965174129353,1,57,train
DGS,BKM-maxIter-100,0,0,0.10186335403726707,1,56,train
DGS,BKM-maxIter-100,0,0,0.12128712871287124,1,55,train
DGS,BKM-maxIter-100,0,0,0.14956736711990115,1,54,train
DGS,BKM-maxIter-100,0,0,0.093167701863354,1,53,train
DGS,BKM-maxIter-100,0,0,0.07845579078455786,1,52,train
DGS,BKM-maxIter-100,0,0,0.09725685785536164,1,51,train
DGS,BKM-maxIter-100,0,0,0.09876543209876543,1,50,train
DGS,BKM-maxIter-100,0,0,0.08728179551122196,1,62,train
DGS,BKM-maxIter-100,0,0,0.10837438423645321,1,49,train
DGS,BKM-maxIter-100,0,0,0.11386138613861384,1,47,train
DGS,BKM-maxIter-100,0,0,0.09535452322738391,1,46,train
DGS,BKM-maxIter-100,0,0,0.10958904109589039,1,45,train
DGS,BKM-maxIter-100,0,0,0.09529702970297027,1,44,train
DGS,BKM-maxIter-100,0,0,0.09553349875930514,1,43,train
DGS,BKM-maxIter-100,0,0,0.10714285714285714,1,42,train
DGS,BKM-maxIter-100,0,0,0.10224438902743137,1,41,train
DGS,BKM-maxIter-100,0,0,0.10974106041923547,1,40,train
DGS,BKM-maxIter-100,0,0,0.12545676004872108,1,39,train
DGS,BKM-maxIter-100,0,0,0.09270704573547593,1,38,train
DGS,BKM-maxIter-100,0,0,0.11945812807881773,1,37,train
DGS,BKM-maxIter-100,0,0,0.12004950495049505,1,36,train
DGS,BKM-maxIter-100,0,0,0.11866501854140911,1,48,train
DGS,BKM-maxIter-100,0,1,0.13325183374083127,0,56,train
DGS,BKM-maxIter-100,0,0,0.10877626699629171,1,63,train
DGS,BKM-maxIter-100,0,0,0.1126237623762376,1,65,train
DGS,BKM-maxIter-100,0,1,0.18581907090464547,1,21,train
DGS,BKM-maxIter-100,0,1,0.14462299134734236,1,20,train
DGS,BKM-maxIter-100,0,1,0.19123020706455532,1,19,train
DGS,BKM-maxIter-100,0,1,0.15365551425030977,1,18,train
DGS,BKM-maxIter-100,0,1,0.16133004926108374,1,17,train
DGS,BKM-maxIter-100,0,1,0.18711276332094168,1,16,train
DGS,BKM-maxIter-100,0,1,0.1592592592592592,1,15,train
DGS,BKM-maxIter-100,0,1,0.2042079207920792,1,14,train
DGS,BKM-maxIter-100,0,1,0.20490797546012274,1,13,train
DGS,BKM-maxIter-100,0,1,0.2708074534161491,1,12,train
DGS,BKM-maxIter-100,0,1,0.32349323493234927,1,11,train
DGS,BKM-maxIter-100,0,1,0.13895781637717117,1,10,train
DGS,BKM-maxIter-100,0,0,0.09181141439205953,1,64,train
DGS,BKM-maxIter-100,0,1,0.311495673671199,1,9,train
DGS,BKM-maxIter-100,0,1,0.34367245657568235,1,7,train
DGS,BKM-maxIter-100,0,1,0.16319018404907973,1,6,train
DGS,BKM-maxIter-100,0,1,0.0,1,5,train
DGS,BKM-maxIter-100,0,1,0.006195786864931829,1,4,train
DGS,BKM-maxIter-100,0,1,0.09825870646766166,1,3,train
DGS,BKM-maxIter-100,0,1,0.2503052503052503,1,2,train
DGS,BKM-maxIter-100,0,1,0.0,1,1,train
DGS,BKM-maxIter-100,0,1,0.12783017558489063,1,0,train
DGS,BKM-maxIter-100,0,0,0.093167701863354,1,69,train
DGS,BKM-maxIter-100,0,0,0.08750000000000002,1,68,train
DGS,BKM-maxIter-100,0,0,0.10211706102117057,1,67,train
DGS,BKM-maxIter-100,0,0,0.09565217391304348,1,66,train
DGS,BKM-maxIter-100,0,1,0.345771144278607,1,8,train
DGS,BKM-maxIter-100,0,2,0.2671568627450981,1,12,train
DGS,BKM-maxIter-100,0,1,0.09677419354838714,0,55,train
DGS,BKM-maxIter-100,0,1,0.16543209876543213,0,53,train
DGS,BKM-maxIter-15,0,1,0.2594458438287154,3,1,train
DGS,BKM-maxIter-15,0,1,0.3159340194197453,3,0,train
DGS,BKM-maxIter-15,0,0,0.43424317617866004,3,14,test
DGS,BKM-maxIter-15,0,0,0.3337423312883436,3,13,train
DGS,BKM-maxIter-15,0,0,0.46191646191646213,3,12,train
DGS,BKM-maxIter-15,0,0,0.4393203883495145,3,11,train
DGS,BKM-maxIter-15,0,0,0.5530864197530865,3,10,train
DGS,BKM-maxIter-15,0,0,0.3775883069427528,3,9,train
DGS,BKM-maxIter-15,0,0,0.3620689655172413,3,8,train
DGS,BKM-maxIter-15,0,0,0.3563636363636363,3,7,train
DGS,BKM-maxIter-15,0,0,0.12330456226880393,3,6,train
DGS,BKM-maxIter-15,0,0,0.15203955500618047,3,5,train
DGS,BKM-maxIter-15,0,0,0.3651960784313726,3,4,train
DGS,BKM-maxIter-15,0,0,0.5386503067484663,3,3,train
DGS,BKM-maxIter-15,0,0,0.4993804213135068,3,2,train
DGS,BKM-maxIter-15,0,0,0.2680798004987531,3,1,train
DGS,BKM-maxIter-15,0,0,0.315934562889879,3,0,train
DGS,BKM-maxIter-15,0,2,0.2888888888888889,2,13,train
DGS,BKM-maxIter-15,0,2,0.26691266912669126,2,12,train
DGS,BKM-maxIter-15,0,2,0.2825552825552825,2,11,train
DGS,BKM-maxIter-15,0,2,0.25618811881188125,2,10,train
DGS,BKM-maxIter-15,0,2,0.2961586121437423,2,9,train
DGS,BKM-maxIter-15,0,2,0.024783147459727428,2,8,train
DGS,BKM-maxIter-15,0,2,0.18440594059405946,2,7,train
DGS,BKM-maxIter-15,0,2,0.2945544554455445,2,6,train
DGS,BKM-maxIter-15,0,1,0.4963054187192119,3,2,train
DGS,BKM-maxIter-15,0,1,0.5543345543345544,3,3,train
DGS,BKM-maxIter-15,0,1,0.36175395858708886,3,4,train
DGS,BKM-maxIter-15,0,1,0.1733167082294265,3,5,train
DGS,BKM-maxIter-100,0,0,0.0839506172839506,0,3,train
DGS,BKM-maxIter-100,0,0,0.24317617866004962,0,2,train
DGS,BKM-maxIter-100,0,0,0.0024875621890547706,0,1,train
DGS,BKM-maxIter-100,0,0,0.12817676646321266,0,0,train
DGS,BKM-maxIter-15,0,2,0.36567164179104467,3,13,train
DGS,BKM-maxIter-15,0,2,0.5018270401948843,3,12,train
DGS,BKM-maxIter-15,0,2,0.5172839506172839,3,11,train
DGS,BKM-maxIter-15,0,2,0.49012345679012354,3,10,train
DGS,BKM-maxIter-15,0,2,0.3427172582619339,3,9,train
DGS,BKM-maxIter-15,0,2,0.407361963190184,3,8,train
DGS,BKM-maxIter-15,0,2,0.3382352941176471,3,7,train
DGS,BKM-maxIter-15,0,2,0.09494451294697905,3,6,train
DGS,BKM-maxIter-15,0,2,0.19554455445544547,2,5,train
DGS,BKM-maxIter-15,0,2,0.22058823529411764,3,5,train
DGS,BKM-maxIter-15,0,2,0.566382460414129,3,3,train
DGS,BKM-maxIter-15,0,2,0.4824242424242424,3,2,train
DGS,BKM-maxIter-15,0,2,0.27160493827160487,3,1,train
DGS,BKM-maxIter-15,0,2,0.3159336490431277,3,0,train
DGS,BKM-maxIter-15,0,1,0.3945745992601726,3,13,train
DGS,BKM-maxIter-15,0,1,0.47755610972568574,3,12,train
DGS,BKM-maxIter-15,0,1,0.5477941176470589,3,11,train
DGS,BKM-maxIter-15,0,1,0.5513447432762837,3,10,train
DGS,BKM-maxIter-15,0,1,0.3793103448275862,3,9,train
DGS,BKM-maxIter-15,0,1,0.34440344403444034,3,8,train
DGS,BKM-maxIter-15,0,1,0.3696450428396572,3,7,train
DGS,BKM-maxIter-15,0,1,0.10958904109589039,3,6,train
DGS,BKM-maxIter-15,0,2,0.36887254901960786,3,4,train
DGS,BKM-maxIter-100,0,0,0.003726708074534124,0,4,train
DGS,BKM-maxIter-15,0,2,0.008652657601977753,2,4,train
DGS,BKM-maxIter-15,0,2,0.22632226322263232,2,2,train
DGS,BKM-maxIter-15,0,0,0.13875597222857827,2,0,train
DGS,BKM-maxIter-15,0,2,0.19077306733167085,1,13,train
DGS,BKM-maxIter-15,0,2,0.31296758104738154,1,12,train
DGS,BKM-maxIter-15,0,2,0.3420398009950249,1,11,train
DGS,BKM-maxIter-15,0,2,0.2839352428393525,1,10,train
DGS,BKM-maxIter-15,0,2,0.22126081582200258,1,9,train
DGS,BKM-maxIter-15,0,2,0.3711083437110835,1,8,train
DGS,BKM-maxIter-15,0,2,0.3099630996309964,1,7,train
DGS,BKM-maxIter-15,0,2,0.09394313967861556,1,6,train
DGS,BKM-maxIter-15,0,2,0.002481389578163795,1,5,train
DGS,BKM-maxIter-15,0,2,0.004968944099378869,1,4,train
DGS,BKM-maxIter-15,0,2,0.1869618696186962,1,3,train
DGS,BKM-maxIter-15,0,2,0.20910209102091026,1,2,train
DGS,BKM-maxIter-15,0,2,0.001242236024844745,1,1,train
DGS,BKM-maxIter-15,0,2,0.1278301697975649,1,0,train
DGS,BKM-maxIter-15,0,1,0.28098159509202447,1,13,train
DGS,BKM-maxIter-15,0,1,0.28624535315985133,1,12,train
DGS,BKM-maxIter-15,0,1,0.30024509803921573,1,11,train
DGS,BKM-maxIter-15,0,1,0.1960049937578028,1,10,train
DGS,BKM-maxIter-15,0,1,0.2619339045287637,1,9,train
DGS,BKM-maxIter-15,0,1,0.29000000000000004,1,8,train
DGS,BKM-maxIter-15,0,1,0.33537331701346385,1,7,train
DGS,BKM-maxIter-15,0,1,0.11656441717791409,1,6,train
DGS,BKM-maxIter-15,0,1,0.002484472049689489,1,5,train
DGS,BKM-maxIter-15,0,1,0.004962779156327589,1,4,train
DGS,BKM-maxIter-15,0,0,0.002475247524752477,2,1,train
DGS,BKM-maxIter-15,0,0,0.21175030599755207,2,2,train
DGS,BKM-maxIter-15,0,0,0.13771712158808935,2,3,train
DGS,BKM-maxIter-15,0,0,0.008684863523573227,2,4,train
DGS,BKM-maxIter-15,0,2,0.004938271604938316,2,1,train
DGS,BKM-maxIter-15,0,2,0.13875607600270556,2,0,train
DGS,BKM-maxIter-15,0,1,0.2457002457002457,2,13,train
DGS,BKM-maxIter-15,0,1,0.36318407960198995,2,12,train
DGS,BKM-maxIter-15,0,1,0.3734491315136477,2,11,train
DGS,BKM-maxIter-15,0,1,0.16666666666666663,2,10,train
DGS,BKM-maxIter-15,0,1,0.20941759603469645,2,9,train
DGS,BKM-maxIter-15,0,1,0.038557213930348284,2,8,train
DGS,BKM-maxIter-15,0,1,0.18046971569839307,2,7,train
DGS,BKM-maxIter-15,0,1,0.31295843520782396,2,6,train
DGS,BKM-maxIter-15,0,1,0.2230392156862745,2,5,train
DGS,BKM-maxIter-15,0,1,0.009864364981504335,2,4,train
DGS,BKM-maxIter-15,0,2,0.1189591078066915,2,3,train
DGS,BKM-maxIter-15,0,1,0.14585908529048205,2,3,train
DGS,BKM-maxIter-15,0,1,0.00492610837438423,2,1,train
DGS,BKM-maxIter-15,0,1,0.1387560786018872,2,0,train
DGS,BKM-maxIter-15,0,0,0.2395061728395061,2,14,test
DGS,BKM-maxIter-15,0,0,0.2,2,13,train
DGS,BKM-maxIter-15,0,0,0.3395291201982652,2,12,train
DGS,BKM-maxIter-15,0,0,0.34681372549019607,2,11,train
DGS,BKM-maxIter-15,0,0,0.2472049689440993,2,10,train
DGS,BKM-maxIter-15,0,0,0.2964329643296433,2,9,train
DGS,BKM-maxIter-15,0,0,0.08322981366459625,2,8,train
DGS,BKM-maxIter-15,0,0,0.16334164588528677,2,7,train
DGS,BKM-maxIter-15,0,0,0.26007326007326004,2,6,train
DGS,BKM-maxIter-15,0,0,0.2252475247524752,2,5,train
DGS,BKM-maxIter-15,0,1,0.21749696233292826,2,2,train
DGS,BKM-maxIter-100,0,0,0.002484472049689489,0,5,train
DGS,BKM-maxIter-100,0,0,0.21315468940316684,0,6,train
DGS,BKM-maxIter-100,0,0,0.37009803921568635,0,7,train
DGS,BKM-maxIter-100,0,1,0.1283950617283951,0,22,train
DGS,BKM-maxIter-100,0,1,0.16232961586121442,0,21,train
DGS,BKM-maxIter-100,0,1,0.16069221260815822,0,20,train
DGS,BKM-maxIter-100,0,1,0.15965346534653466,0,19,train
DGS,BKM-maxIter-100,0,1,0.13177339901477836,0,18,train
DGS,BKM-maxIter-100,0,1,0.13788819875776392,0,17,train
DGS,BKM-maxIter-100,0,1,0.14250309789343252,0,16,train
DGS,BKM-maxIter-100,0,1,0.18148148148148147,0,15,train
DGS,BKM-maxIter-100,0,1,0.1416361416361417,0,14,train
DGS,BKM-maxIter-100,0,1,0.24167694204685566,0,13,train
DGS,BKM-maxIter-100,0,1,0.2262051915945612,0,12,train
DGS,BKM-maxIter-100,0,1,0.40198511166253115,0,11,train
DGS,BKM-maxIter-100,0,1,0.21836228287841186,0,10,train
DGS,BKM-maxIter-100,0,1,0.294044665012407,0,9,train
DGS,BKM-maxIter-100,0,1,0.3193588162762023,0,8,train
DGS,BKM-maxIter-100,0,1,0.3395061728395061,0,7,train
DGS,BKM-maxIter-100,0,1,0.19878048780487798,0,6,train
DGS,BKM-maxIter-100,0,1,0.003722084367245637,0,5,train
DGS,BKM-maxIter-100,0,1,0.006188118811881194,0,4,train
DGS,BKM-maxIter-100,0,1,0.0804455445544554,0,3,train
DGS,BKM-maxIter-100,0,1,0.24408468244084677,0,2,train
DGS,BKM-maxIter-100,0,1,0.002481389578163795,0,1,train
DGS,BKM-maxIter-100,0,1,0.12817713910546266,0,0,train
DGS,BKM-maxIter-100,0,0,0.12113720642768856,0,69,train
DGS,BKM-maxIter-100,0,0,0.13059701492537312,0,68,train
DGS,BKM-maxIter-100,0,1,0.12406947890818856,0,23,train
DGS,BKM-maxIter-100,0,1,0.12298136645962732,0,24,train
DGS,BKM-maxIter-100,0,1,0.10362047440699133,0,25,train
DGS,BKM-maxIter-100,0,1,0.12561576354679804,0,26,train
DGS,BKM-maxIter-100,0,1,0.10545905707196032,0,52,train
DGS,BKM-maxIter-100,0,1,0.09875,0,51,train
DGS,BKM-maxIter-100,0,1,0.09737827715355805,0,50,train
DGS,BKM-maxIter-100,0,1,0.10012515644555699,0,49,train
DGS,BKM-maxIter-100,0,1,0.1188118811881188,0,48,train
DGS,BKM-maxIter-100,0,1,0.10186335403726707,0,47,train
DGS,BKM-maxIter-100,0,1,0.10877626699629171,0,46,train
DGS,BKM-maxIter-100,0,1,0.09375,0,45,train
DGS,BKM-maxIter-100,0,1,0.11887254901960788,0,44,train
DGS,BKM-maxIter-100,0,1,0.12362301101591189,0,43,train
DGS,BKM-maxIter-100,0,1,0.10780669144981413,0,42,train
DGS,BKM-maxIter-100,0,1,0.10199004975124383,0,41,train
DGS,BKM-maxIter-100,0,0,0.17216117216117222,0,67,train
