dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DGS,BKM-maxIter-10,0,0,414.65,train,BKM,maxIter,10
DGS,BKM-maxIter-10,0,1,346.93500000000006,train,BKM,maxIter,10
DGS,BKM-maxIter-10,0,2,398.615,train,BKM,maxIter,10
DGS,BKM-maxIter-10,0,1,52.965,test,BKM,maxIter,10
DGS,BKM-maxIter-100,0,0,4934.91,train,BKM,maxIter,100
DGS,BKM-maxIter-100,0,1,4779.175,train,BKM,maxIter,100
DGS,BKM-maxIter-100,0,2,5095.52,train,BKM,maxIter,100
DGS,BKM-maxIter-15,0,0,1104.48,train,BKM,maxIter,15
DGS,BKM-maxIter-15,0,1,644.365,train,BKM,maxIter,15
DGS,BKM-maxIter-15,0,2,856.27,train,BKM,maxIter,15
DGS,BKM-maxIter-20,0,0,1220.735,train,BKM,maxIter,20
DGS,BKM-maxIter-20,0,1,696.005,train,BKM,maxIter,20
DGS,BKM-maxIter-20,0,2,1345.54,train,BKM,maxIter,20
DGS,BKM-maxIter-20,0,0,63.76,test,BKM,maxIter,20
DGS,BKM-maxIter-5,0,0,299.06999999999994,train,BKM,maxIter,5
DGS,BKM-maxIter-5,0,1,401.01,train,BKM,maxIter,5
DGS,BKM-maxIter-5,0,2,311.3250000000001,train,BKM,maxIter,5
DGS,BKM-maxIter-50,0,0,2650.865,train,BKM,maxIter,50
DGS,BKM-maxIter-50,0,1,2653.4500000000007,train,BKM,maxIter,50
DGS,BKM-maxIter-50,0,2,2398.56,train,BKM,maxIter,50
