dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,BKM-maxIter-50,0,0,0,0,0,0,train
DGS,BKM-maxIter-100,0,0,235,797,1,1,train
DGS,BKM-maxIter-100,0,0,0,0,1,0,train
DGS,BKM-maxIter-100,0,2,25830053,153698,0,69,test
DGS,BKM-maxIter-100,0,2,20634424,158770,0,68,train
DGS,BKM-maxIter-100,0,2,25372285,193304,0,67,train
DGS,BKM-maxIter-100,0,2,26127268,223053,0,66,train
DGS,BKM-maxIter-100,0,2,26370571,190511,0,65,train
DGS,BKM-maxIter-100,0,2,22797278,162892,0,64,train
DGS,BKM-maxIter-100,0,2,26782915,233161,0,63,train
DGS,BKM-maxIter-100,0,2,25494573,191511,0,62,train
DGS,BKM-maxIter-100,0,2,26289223,167623,0,61,train
DGS,BKM-maxIter-100,0,2,25716717,185209,0,60,train
DGS,BKM-maxIter-100,0,2,22074966,172852,0,59,train
DGS,BKM-maxIter-100,0,2,25469378,199511,0,58,train
DGS,BKM-maxIter-100,0,2,25452708,179313,0,57,train
DGS,BKM-maxIter-100,0,2,28487217,182742,0,56,train
DGS,BKM-maxIter-100,0,2,23568165,169216,0,55,train
DGS,BKM-maxIter-100,0,2,28620346,168460,0,54,train
DGS,BKM-maxIter-100,0,2,26522978,269691,0,53,train
DGS,BKM-maxIter-100,0,2,25128700,218205,0,52,train
DGS,BKM-maxIter-100,0,2,23983558,168206,0,51,train
DGS,BKM-maxIter-100,0,2,24448854,153638,0,50,train
DGS,BKM-maxIter-100,0,2,24481182,183682,0,49,train
DGS,BKM-maxIter-100,0,2,21581966,166296,0,48,train
DGS,BKM-maxIter-100,0,2,24638164,149380,0,47,train
DGS,BKM-maxIter-100,0,0,5522,4583,1,2,train
DGS,BKM-maxIter-100,0,0,2445,5429,1,3,train
DGS,BKM-maxIter-100,0,0,6572710,50272,1,4,train
DGS,BKM-maxIter-100,0,0,9941109,75003,1,5,train
DGS,BKM-maxIter-100,0,0,22414622,273779,1,31,train
DGS,BKM-maxIter-100,0,0,25999744,324415,1,30,train
DGS,BKM-maxIter-100,0,0,24412594,272809,1,29,train
DGS,BKM-maxIter-100,0,0,25529987,267475,1,28,train
DGS,BKM-maxIter-100,0,0,21145378,272552,1,27,train
DGS,BKM-maxIter-100,0,0,26378427,297670,1,26,train
DGS,BKM-maxIter-100,0,0,23892525,302709,1,25,train
DGS,BKM-maxIter-100,0,0,22579885,316039,1,24,train
DGS,BKM-maxIter-100,0,0,26964390,242615,1,23,train
DGS,BKM-maxIter-100,0,0,23377785,291579,1,22,train
DGS,BKM-maxIter-100,0,0,21790585,218978,1,21,train
DGS,BKM-maxIter-100,0,0,24921879,342596,1,20,train
DGS,BKM-maxIter-100,0,2,24524715,156105,0,46,train
DGS,BKM-maxIter-100,0,0,22067817,320574,1,19,train
DGS,BKM-maxIter-100,0,0,23407991,283034,1,17,train
DGS,BKM-maxIter-100,0,0,21684656,218318,1,16,train
DGS,BKM-maxIter-100,0,0,22449051,197872,1,15,train
DGS,BKM-maxIter-100,0,0,21445080,282865,1,14,train
DGS,BKM-maxIter-100,0,0,18313599,207562,1,13,train
DGS,BKM-maxIter-100,0,0,16379980,128391,1,12,train
DGS,BKM-maxIter-100,0,0,19372955,107164,1,11,train
DGS,BKM-maxIter-100,0,0,5492038,143351,1,10,train
DGS,BKM-maxIter-100,0,0,4783057,59382,1,9,train
DGS,BKM-maxIter-100,0,0,24303,27531,1,8,train
DGS,BKM-maxIter-100,0,0,5569538,42642,1,7,train
DGS,BKM-maxIter-100,0,0,4420572,38244,1,6,train
DGS,BKM-maxIter-100,0,0,25921383,301406,1,18,train
DGS,BKM-maxIter-100,0,0,25002381,336214,1,32,train
DGS,BKM-maxIter-100,0,2,25152867,170219,0,45,train
DGS,BKM-maxIter-100,0,2,26193871,232395,0,43,train
DGS,BKM-maxIter-100,0,2,18278281,257258,0,12,train
DGS,BKM-maxIter-100,0,2,17052241,112591,0,11,train
DGS,BKM-maxIter-100,0,2,5093107,28176,0,10,train
DGS,BKM-maxIter-100,0,2,4767210,24520,0,9,train
DGS,BKM-maxIter-100,0,2,13690991,54190,0,8,train
DGS,BKM-maxIter-100,0,2,2005426,16679,0,7,train
DGS,BKM-maxIter-100,0,2,16498261,122908,0,6,train
DGS,BKM-maxIter-100,0,2,95,289,0,5,train
DGS,BKM-maxIter-100,0,2,189,795,0,4,train
DGS,BKM-maxIter-100,0,2,1721,4449,0,3,train
DGS,BKM-maxIter-100,0,2,4250,3881,0,2,train
DGS,BKM-maxIter-100,0,2,2131,2474,0,1,train
DGS,BKM-maxIter-100,0,2,0,0,0,0,train
DGS,BKM-maxIter-100,0,1,21849593,326511,0,68,test
DGS,BKM-maxIter-100,0,1,25089691,317914,0,67,train
DGS,BKM-maxIter-100,0,1,24915427,355310,0,66,train
DGS,BKM-maxIter-100,0,1,22743018,325059,0,65,train
DGS,BKM-maxIter-100,0,1,27266506,329513,0,64,train
DGS,BKM-maxIter-100,0,1,25945924,337037,0,63,train
DGS,BKM-maxIter-100,0,1,23454564,389655,0,62,train
DGS,BKM-maxIter-100,0,1,22166224,315972,0,61,train
DGS,BKM-maxIter-100,0,1,24090966,289657,0,60,train
DGS,BKM-maxIter-100,0,1,25839255,330739,0,59,train
DGS,BKM-maxIter-100,0,1,21896886,335044,0,58,train
DGS,BKM-maxIter-100,0,1,25754115,335580,0,57,train
DGS,BKM-maxIter-100,0,2,20752742,259493,0,13,train
DGS,BKM-maxIter-100,0,2,22970444,285050,0,14,train
DGS,BKM-maxIter-100,0,2,23658667,169636,0,15,train
DGS,BKM-maxIter-100,0,2,20918860,222434,0,16,train
DGS,BKM-maxIter-100,0,2,25312785,178403,0,42,train
DGS,BKM-maxIter-100,0,2,24052753,159389,0,41,train
DGS,BKM-maxIter-100,0,2,26590458,152590,0,40,train
DGS,BKM-maxIter-100,0,2,25272278,171822,0,39,train
DGS,BKM-maxIter-100,0,2,26428045,174623,0,38,train
DGS,BKM-maxIter-100,0,2,22376139,176908,0,37,train
DGS,BKM-maxIter-100,0,2,21425810,155969,0,36,train
