dataset,algorithm,platformId,runId,CpuUsage,node,timeIndex,phase
DGS,BKM,0,1,0.15451174289245986,2,8,train
DGS,BKM,0,2,0.2599009900990099,0,12,train
DGS,BKM,0,2,0.15365551425030977,0,13,train
DGS,BKM,0,2,0.20710784313725494,0,14,train
DGS,BKM,0,2,0.1697877652933832,0,15,train
DGS,BKM,0,2,0.14943960149439606,0,16,train
DGS,BKM,0,2,0.2144607843137255,0,17,train
DGS,BKM,0,2,0.2913096695226438,2,17,train
DGS,BKM,0,2,0.1896551724137932,2,16,train
DGS,BKM,0,2,0.19430693069306926,2,15,train
DGS,BKM,0,2,0.19193154034229828,2,14,train
DGS,BKM,0,2,0.26328800988875156,2,13,train
DGS,BKM,0,2,0.41387856257744743,2,12,train
DGS,BKM,0,2,0.3734643734643735,2,11,train
DGS,BKM,0,2,0.1995073891625616,2,10,train
DGS,BKM,0,2,0.21118012422360244,2,9,train
DGS,BKM,0,2,0.3038130381303813,0,11,train
DGS,BKM,0,2,0.23456790123456803,0,10,train
DGS,BKM,0,2,0.2589838909541512,0,9,train
DGS,BKM,0,2,0.2658385093167702,0,8,train
DGS,BKM,0,1,0.21208384710234274,0,9,train
DGS,BKM,0,1,0.1950310559006211,0,10,train
DGS,BKM,0,1,0.3831891223733004,0,11,train
DGS,BKM,0,1,0.31773399014778325,0,12,train
DGS,BKM,0,1,0.24969097651421512,0,13,train
DGS,BKM,0,1,0.2082825822168088,0,14,train
DGS,BKM,0,1,0.19306930693069302,0,15,train
DGS,BKM,0,2,0.1373762376237624,2,8,train
DGS,BKM,0,1,0.18518518518518523,0,16,train
DGS,BKM,0,2,0.0,0,1,train
DGS,BKM,0,2,0.2484624846248462,0,2,train
DGS,BKM,0,2,0.07481296758104737,0,3,train
DGS,BKM,0,2,0.008652657601977753,0,4,train
DGS,BKM,0,2,0.0012437810945273853,0,5,train
DGS,BKM,0,2,0.17174177831912307,0,6,train
DGS,BKM,0,2,0.36217552533992575,0,7,train
DGS,BKM,0,2,0.11354954404126741,0,0,train
DGS,BKM,0,2,0.11706102117061025,2,7,train
DGS,BKM,0,2,0.2305795314426634,2,5,train
DGS,BKM,0,2,0.01990049751243783,2,4,train
DGS,BKM,0,0,0.1992665036674817,2,17,train
DGS,BKM,0,0,0.1676942046855734,2,16,train
DGS,BKM,0,0,0.1963414634146341,2,15,train
DGS,BKM,0,0,0.2200488997555013,2,14,train
DGS,BKM,0,0,0.25214198286413714,2,13,train
DGS,BKM,0,0,0.35221674876847286,2,12,train
DGS,BKM,0,0,0.3906633906633906,2,11,train
DGS,BKM,0,1,0.12520276730077554,2,0,train
DGS,BKM,0,0,0.17980295566502463,2,10,train
DGS,BKM,0,0,0.30332922318125766,2,8,train
DGS,BKM,0,0,0.3123456790123457,2,7,train
DGS,BKM,0,0,0.21156211562115623,2,6,train
DGS,BKM,0,0,0.006165228113440224,2,5,train
DGS,BKM,0,0,0.008620689655172376,2,4,train
DGS,BKM,0,0,0.12871287128712874,2,3,train
DGS,BKM,0,0,0.27361963190184047,2,2,train
DGS,BKM,0,0,0.3037037037037037,2,9,train
DGS,BKM,0,1,0.3006134969325153,0,8,train
DGS,BKM,0,1,0.0012437810945273853,2,1,train
DGS,BKM,0,1,0.08834355828220863,2,3,train
DGS,BKM,0,2,0.08034610630407911,2,3,train
DGS,BKM,0,2,0.2638036809815951,2,2,train
DGS,BKM,0,2,0.002484472049689489,2,1,train
DGS,BKM,0,2,0.1252030322665738,2,0,train
DGS,BKM,0,1,0.19975186104218368,2,16,train
DGS,BKM,0,1,0.16377171215880892,2,15,train
DGS,BKM,0,1,0.196029776674938,2,14,train
DGS,BKM,0,1,0.2628992628992629,2,2,train
DGS,BKM,0,1,0.21331689272503085,2,13,train
DGS,BKM,0,1,0.30434782608695654,2,11,train
DGS,BKM,0,1,0.19259259259259245,2,10,train
DGS,BKM,0,1,0.18726591760299627,2,9,train
DGS,BKM,0,1,0.1311881188118812,2,7,train
DGS,BKM,0,1,0.36543209876543215,2,6,train
DGS,BKM,0,1,0.22903629536921158,2,5,train
DGS,BKM,0,1,0.02988792029887921,2,4,train
DGS,BKM,0,1,0.32843137254901966,2,12,train
DGS,BKM,0,1,0.3544776119402984,0,7,train
DGS,BKM,0,1,0.15117719950433706,0,6,train
DGS,BKM,0,1,0.001242236024844745,0,5,train
DGS,BKM,0,1,0.32294264339152123,3,14,train
DGS,BKM,0,1,0.3436341161928307,3,13,train
DGS,BKM,0,1,0.3783132530120482,3,12,train
DGS,BKM,0,1,0.4816176470588235,3,11,train
DGS,BKM,0,1,0.5645756457564576,3,10,train
DGS,BKM,0,1,0.3645320197044335,3,9,train
DGS,BKM,0,1,0.3621951219512195,3,8,train
DGS,BKM,0,1,0.249079754601227,3,15,train
DGS,BKM,0,1,0.3247232472324724,3,7,train
DGS,BKM,0,1,0.17509247842170161,3,5,train
DGS,BKM,0,1,0.35158150851581504,3,4,train
DGS,BKM,0,1,0.537059538274605,3,3,train
DGS,BKM,0,1,0.48367593712212825,3,2,train
DGS,BKM,0,1,0.29283110571081405,3,1,train
DGS,BKM,0,1,0.31798800752638784,3,0,train
DGS,BKM,0,0,0.2721674876847291,3,17,train
DGS,BKM,0,1,0.1070983810709838,3,6,train
DGS,BKM,0,0,0.24782067247820677,3,16,train
DGS,BKM,0,1,0.2426108374384236,3,16,train
DGS,BKM,0,2,0.27975460122699386,3,1,train
DGS,BKM,0,2,0.2256473489519113,3,17,train
DGS,BKM,0,2,0.23349633251833743,3,16,train
DGS,BKM,0,2,0.2364532019704433,3,15,train
DGS,BKM,0,2,0.3612823674475956,3,14,train
DGS,BKM,0,2,0.4583333333333334,3,13,train
DGS,BKM,0,2,0.5408415841584158,3,12,train
DGS,BKM,0,2,0.39634146341463405,3,11,train
DGS,BKM,0,2,0.31798701574675414,3,0,train
DGS,BKM,0,2,0.5510455104551046,3,10,train
DGS,BKM,0,2,0.3287841191066998,3,8,train
DGS,BKM,0,2,0.34026927784577715,3,7,train
DGS,BKM,0,2,0.11771995043370509,3,6,train
DGS,BKM,0,2,0.21894218942189425,3,5,train
DGS,BKM,0,2,0.3745364647713226,3,4,train
DGS,BKM,0,2,0.586848635235732,3,3,train
DGS,BKM,0,2,0.4853658536585365,3,2,train
DGS,BKM,0,2,0.3665436654366544,3,9,train
DGS,BKM,0,0,0.007481296758104716,2,1,train
DGS,BKM,0,0,0.25618811881188125,3,15,train
DGS,BKM,0,0,0.4582814445828145,3,13,train
DGS,BKM,0,0,0.007444168734491274,0,7,train
DGS,BKM,0,0,0.15782983970406905,0,8,train
DGS,BKM,0,0,0.24283935242839352,0,9,train
DGS,BKM,0,0,0.1913043478260869,0,10,train
DGS,BKM,0,0,0.392059553349876,0,11,train
DGS,BKM,0,0,0.2376237623762376,0,12,train
DGS,BKM,0,0,0.17348203221809164,0,13,train
DGS,BKM,0,0,0.4301470588235293,0,6,train
DGS,BKM,0,0,0.21033210332103322,0,14,train
DGS,BKM,0,0,0.18835192069392806,0,16,train
DGS,BKM,0,0,0.21454993834771888,0,17,train
DGS,BKM,0,1,0.11354868549905028,0,0,train
DGS,BKM,0,1,0.0,0,1,train
DGS,BKM,0,1,0.2509225092250923,0,2,train
DGS,BKM,0,1,0.06874999999999998,0,3,train
DGS,BKM,0,1,0.006195786864931829,0,4,train
DGS,BKM,0,0,0.16463414634146345,0,15,train
DGS,BKM,0,0,0.3563501849568434,3,14,train
DGS,BKM,0,0,0.22153465346534648,0,5,train
DGS,BKM,0,0,0.04601990049751247,0,3,train
DGS,BKM,0,0,0.38725490196078416,3,12,train
DGS,BKM,0,0,0.45992601726263854,3,11,train
DGS,BKM,0,0,0.492044063647491,3,10,train
DGS,BKM,0,0,0.35491905354919046,3,9,train
DGS,BKM,0,0,0.32762836185819066,3,8,train
DGS,BKM,0,0,0.33943833943833945,3,7,train
DGS,BKM,0,0,0.134734239802225,3,6,train
DGS,BKM,0,0,0.04708798017348204,0,4,train
DGS,BKM,0,0,0.16149068322981364,3,5,train
DGS,BKM,0,0,0.5688185140073081,3,3,train
DGS,BKM,0,0,0.5030599755201961,3,2,train
DGS,BKM,0,0,0.2827669902912621,3,1,train
DGS,BKM,0,0,0.3179889212510346,3,0,train
DGS,BKM,0,0,0.11354814079192335,0,0,train
DGS,BKM,0,0,0.008728179551122149,0,1,train
DGS,BKM,0,0,0.2799511002444987,0,2,train
DGS,BKM,0,0,0.3480934809348093,3,4,train
DGS,BKM,0,0,0.1252024375192734,2,0,train
DGS,BKM,0,2,0.3604938271604939,2,6,train
DGS,BKM,0,1,0.09192546583850936,1,3,train
DGS,BKM,0,0,0.3449131513647643,1,11,train
DGS,BKM,0,0,0.2193308550185874,1,10,train
DGS,BKM,0,0,0.35916359163591643,1,9,train
DGS,BKM,0,0,0.29280397022332505,1,8,train
DGS,BKM,0,0,0.40467404674046725,1,7,train
DGS,BKM,0,0,0.2088998763906057,1,6,train
DGS,BKM,0,0,0.001240694789081842,1,5,train
DGS,BKM,0,0,0.0024906600249066106,1,4,train
DGS,BKM,0,0,0.05086848635235731,1,3,train
DGS,BKM,0,0,0.2757352941176472,1,2,train
DGS,BKM,0,0,0.29926108374384236,1,12,train
DGS,BKM,0,0,0.008717310087173136,1,1,train
DGS,BKM,0,2,0.3354037267080745,1,7,train
DGS,BKM,0,2,0.32595325953259535,1,8,train
DGS,BKM,0,2,0.29679802955665024,1,9,train
DGS,BKM,0,2,0.16852540272614625,1,10,train
DGS,BKM,0,2,0.273972602739726,1,11,train
DGS,BKM,0,2,0.31288343558282217,1,12,train
DGS,BKM,0,2,0.1893564356435643,1,13,train
DGS,BKM,0,2,0.2549504950495049,1,14,train
DGS,BKM,0,2,0.1918819188191881,1,15,train
DGS,BKM,0,2,0.15241635687732347,1,16,train
DGS,BKM,0,0,0.11375031466209796,1,0,train
DGS,BKM,0,0,0.2169117647058824,1,13,train
DGS,BKM,0,0,0.168944099378882,1,14,train
DGS,BKM,0,0,0.1726263871763255,1,15,train
DGS,BKM,0,2,0.2518518518518519,1,2,train
DGS,BKM,0,2,0.0,1,1,train
DGS,BKM,0,2,0.11375124809383831,1,0,train
DGS,BKM,0,1,0.1469135802469136,1,16,train
DGS,BKM,0,1,0.16542288557213936,1,15,train
DGS,BKM,0,1,0.20297029702970287,1,14,train
DGS,BKM,0,1,0.17698019801980197,1,13,train
DGS,BKM,0,1,0.3911439114391144,1,12,train
DGS,BKM,0,1,0.31203931203931196,1,11,train
DGS,BKM,0,1,0.22166874221668745,1,10,train
DGS,BKM,0,1,0.281134401972873,1,9,train
DGS,BKM,0,1,0.294919454770756,1,8,train
DGS,BKM,0,1,0.35396039603960394,1,7,train
DGS,BKM,0,1,0.15279503105590064,1,6,train
DGS,BKM,0,1,0.002484472049689489,1,5,train
DGS,BKM,0,1,0.006195786864931829,1,4,train
DGS,BKM,0,2,0.002481389578163795,1,5,train
DGS,BKM,0,2,0.17079207920792086,1,6,train
DGS,BKM,0,1,0.24877450980392163,1,2,train
DGS,BKM,0,1,0.0,1,1,train
DGS,BKM,0,1,0.11375086959226337,1,0,train
DGS,BKM,0,0,0.2308641975308641,1,17,train
DGS,BKM,0,0,0.15403726708074536,1,16,train
DGS,BKM,0,2,0.207663782447466,1,17,train
DGS,BKM,0,2,0.08674101610904582,1,3,train
DGS,BKM,0,2,0.0012453300124533053,1,4,train
DGS,BKM,1,2,0.001242236024844745,0,18,train
DGS,BKM,1,1,0.001242236024844745,0,14,train
DGS,BKM,1,1,0.0,0,13,train
DGS,BKM,1,1,0.001242236024844745,0,12,train
DGS,BKM,1,1,0.001242236024844745,0,11,train
DGS,BKM,1,1,0.001242236024844745,0,10,train
DGS,BKM,1,1,0.001242236024844745,0,9,train
DGS,BKM,1,1,0.001242236024844745,0,8,train
DGS,BKM,1,1,0.003717472118959121,0,7,train
DGS,BKM,1,1,0.0,0,6,train
DGS,BKM,1,1,0.002481389578163795,0,5,train
DGS,BKM,1,0,0.06695048543372628,1,0,train
DGS,BKM,1,0,0.002481389578163795,1,1,train
DGS,BKM,1,0,0.001242236024844745,1,2,train
DGS,BKM,1,0,0.002481389578163795,1,3,train
DGS,BKM,1,0,0.0012453300124533053,1,4,train
DGS,BKM,1,0,0.001242236024844745,1,5,train
DGS,BKM,1,1,0.004956629491945529,0,4,train
DGS,BKM,1,0,0.0,1,6,train
DGS,BKM,1,0,0.003717472118959121,1,7,train
DGS,BKM,1,0,0.001242236024844745,1,8,train
DGS,BKM,1,0,0.002481389578163795,1,9,train
DGS,BKM,1,0,0.0,1,10,train
DGS,BKM,1,0,0.002481389578163795,1,11,train
DGS,BKM,1,0,0.001240694789081842,1,12,train
DGS,BKM,1,0,0.002481389578163795,1,13,train
DGS,BKM,1,1,0.001242236024844745,0,15,train
DGS,BKM,1,2,0.001242236024844745,0,17,train
DGS,BKM,1,1,0.001242236024844745,0,16,train
DGS,BKM,1,1,0.001242236024844745,0,18,train
DGS,BKM,1,2,0.0,0,16,train
DGS,BKM,1,2,0.001242236024844745,0,20,train
DGS,BKM,1,2,0.002481389578163795,0,21,train
DGS,BKM,1,2,0.0,0,22,train
DGS,BKM,1,2,0.001242236024844745,0,15,train
DGS,BKM,1,2,0.004950495049504955,0,14,train
DGS,BKM,1,2,0.001242236024844745,0,13,train
DGS,BKM,1,2,0.0,0,12,train
DGS,BKM,1,2,0.001242236024844745,0,11,train
DGS,BKM,1,2,0.001242236024844745,0,10,train
DGS,BKM,1,2,0.001242236024844745,0,9,train
DGS,BKM,1,2,0.001240694789081842,0,8,train
DGS,BKM,1,2,0.001242236024844745,0,7,train
DGS,BKM,1,2,0.001242236024844745,0,6,train
DGS,BKM,1,2,0.001242236024844745,0,5,train
DGS,BKM,1,2,0.004962779156327589,0,4,train
DGS,BKM,1,2,0.0,0,3,train
DGS,BKM,1,2,0.001242236024844745,0,2,train
DGS,BKM,1,2,0.0012453300124533053,0,1,train
DGS,BKM,1,2,0.06757394432994834,0,0,train
