dataset,algorithm,platformId,runId,Energy,phase
DGS,BKM,0,2,1407.5549999999998,train
DGS,BKM,0,1,1505.73,train
DGS,BKM,0,0,1514.565,train
DGS,BKM,0,0,20.128,test
DGS,BKM,0,1,27.035100000000003,test
DGS,BKM,0,2,25.29394,test
DGS,BKM,1,2,1808.4300000000003,train
DGS,BKM,1,1,20.243879999999997,test
DGS,BKM,1,2,21.29216,test
DGS,BKM,1,0,23.21625,test
DGS,BKM,1,1,1561.9550000000002,train
DGS,BKM,1,0,1846.71,train
DGS,BKM,2,2,21.36006,test
DGS,BKM,2,0,1293.4499999999998,train
DGS,BKM,2,1,27.34452,test
DGS,BKM,2,2,1334.7600000000002,train
DGS,BKM,2,1,1230.805,train
DGS,BKM,2,0,21.47184,test
DGS,BKM,3,0,25.22343,test
DGS,BKM,3,0,1154.3999999999999,train
DGS,BKM,3,1,23.634,test
DGS,BKM,3,2,1406.9500000000003,train
DGS,BKM,3,1,1041.9,train
DGS,BKM,3,2,32.3932,test
DGS,BKM,4,2,1399.565,train
DGS,BKM,4,0,25.8037,test
DGS,BKM,4,2,28.0775,test
DGS,BKM,4,1,21.842729999999996,test
DGS,BKM,4,0,1369.75,train
DGS,BKM,4,1,1462.8000000000002,train
DGS,BKM,5,2,1059.54,train
DGS,BKM,5,1,1703.88,train
DGS,BKM,5,0,1189.2000000000003,train
DGS,BKM,5,2,30.844800000000003,test
DGS,BKM,5,1,25.818699999999996,test
DGS,BKM,5,0,22.453400000000002,test
DGS,BKM,6,2,22.204000000000004,test
DGS,BKM,6,0,1751.255,train
DGS,BKM,6,2,1434.205,train
DGS,BKM,6,1,1332.335,train
DGS,BKM,6,1,31.2984,test
DGS,BKM,6,0,35.7889,test
DGS,BKM,7,2,1874.325,train
DGS,BKM,7,1,34.7215,test
DGS,BKM,7,1,1422.925,train
DGS,BKM,7,2,24.9165,test
DGS,BKM,7,0,31.616,test
DGS,BKM,7,0,1560.475,train
DGS,BKM,8,2,1775.135,train
DGS,BKM,8,1,1422.285,train
DGS,BKM,8,2,23.9636,test
DGS,BKM,8,1,23.68821,test
DGS,BKM,8,0,20.243579999999998,test
DGS,BKM,8,0,1900.8100000000002,train
DGS,BKM,9,1,16.28709,test
DGS,BKM,9,2,25.449600000000004,test
DGS,BKM,9,0,17.8684,test
DGS,BKM,9,0,1457.6,train
DGS,BKM,9,1,1473.5000000000002,train
DGS,BKM,9,2,1433.8999999999999,train
DGS,BKM,10,1,27.4386,test
DGS,BKM,10,2,1570.5,train
DGS,BKM,10,1,1468.0,train
DGS,BKM,10,2,32.913,test
DGS,BKM,10,0,1195.1299999999999,train
DGS,BKM,10,0,24.944290000000002,test
DGS,BKM,11,1,1324.05,train
DGS,BKM,11,2,1253.26,train
DGS,BKM,11,0,1265.35,train
DGS,BKM,11,1,34.496,test
DGS,BKM,11,2,33.833400000000005,test
DGS,BKM,11,0,21.4452,test
DGS,BKM,12,1,1418.6100000000001,train
DGS,BKM,12,0,1360.3500000000001,train
DGS,BKM,12,1,24.710399999999996,test
DGS,BKM,12,0,28.055,test
DGS,BKM,12,2,24.105600000000003,test
DGS,BKM,12,2,1275.485,train
DGS,BKM,13,0,29.6637,test
DGS,BKM,13,2,23.153,test
DGS,BKM,13,1,23.485899999999997,test
DGS,BKM,13,1,1422.675,train
DGS,BKM,13,2,1301.925,train
DGS,BKM,13,0,1440.95,train
DGS,BKM,14,0,20.2275,test
DGS,BKM,14,1,21.964799999999997,test
DGS,BKM,14,1,943.96,train
DGS,BKM,14,0,1424.4650000000001,train
DGS,BKM,14,2,15.368919999999997,test
DGS,BKM,14,2,1404.65,train
DGS,BKM,15,1,15.8814,test
DGS,BKM,15,2,1304.935,train
DGS,BKM,15,0,958.4099999999999,train
DGS,BKM,15,0,17.20565,test
DGS,BKM,15,2,20.502899999999997,test
DGS,BKM,15,1,1425.0499999999997,train
DGS,BKM,16,0,23.316,test
DGS,BKM,16,2,21.4272,test
DGS,BKM,16,2,1136.0649999999998,train
DGS,BKM,16,0,1300.685,train
DGS,BKM,16,1,1420.1550000000002,train
DGS,BKM,16,1,20.0934,test
DGS,BKM,17,1,1487.2499999999998,train
DGS,BKM,17,2,24.687600000000003,test
DGS,BKM,17,0,22.464,test
DGS,BKM,17,2,1622.33,train
DGS,BKM,17,0,1505.3649999999998,train
DGS,BKM,17,1,25.025,test
DGS,BKM,18,0,1456.35,train
DGS,BKM,18,1,1736.92,train
DGS,BKM,18,2,1388.6399999999999,train
DGS,BKM,18,2,22.596749999999997,test
DGS,BKM,18,1,26.90764,test
DGS,BKM,18,0,20.87168,test
DGS,BKM,19,0,1368.0049999999997,train
DGS,BKM,19,0,28.3866,test
DGS,BKM,19,2,1909.3100000000002,train
