dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,BKM,0,1,4582781,68342,2,8,train
DGS,BKM,0,2,15901381,141418,0,12,train
DGS,BKM,0,2,16520829,239035,0,13,train
DGS,BKM,0,2,20966484,246293,0,14,train
DGS,BKM,0,2,23247721,275815,0,15,train
DGS,BKM,0,2,19575239,183896,0,16,train
DGS,BKM,0,2,26838114,177577,0,17,train
DGS,BKM,0,2,26668419,176686,2,17,train
DGS,BKM,0,2,21671034,222886,2,16,train
DGS,BKM,0,2,18996953,237380,2,15,train
DGS,BKM,0,2,25788030,231824,2,14,train
DGS,BKM,0,2,22990676,222005,2,13,train
DGS,BKM,0,2,16901998,123903,2,12,train
DGS,BKM,0,2,14892453,114960,2,11,train
DGS,BKM,0,2,6338658,35600,2,10,train
DGS,BKM,0,2,1196921,43335,2,9,train
DGS,BKM,0,2,15271050,104632,0,11,train
DGS,BKM,0,2,9399410,57470,0,10,train
DGS,BKM,0,2,6044154,64864,0,9,train
DGS,BKM,0,2,10648626,41338,0,8,train
DGS,BKM,0,1,5498227,32175,0,9,train
DGS,BKM,0,1,5628088,33175,0,10,train
DGS,BKM,0,1,16448696,101647,0,11,train
DGS,BKM,0,1,18965944,272728,0,12,train
DGS,BKM,0,1,22297241,250593,0,13,train
DGS,BKM,0,1,22346299,252995,0,14,train
DGS,BKM,0,1,22574890,257612,0,15,train
DGS,BKM,0,2,5033228,49965,2,8,train
DGS,BKM,0,1,22421330,255005,0,16,train
DGS,BKM,0,2,95,289,0,1,train
DGS,BKM,0,2,5666,5087,0,2,train
DGS,BKM,0,2,2445,5428,0,3,train
DGS,BKM,0,2,95,289,0,4,train
DGS,BKM,0,2,189,795,0,5,train
DGS,BKM,0,2,16499405,123953,0,6,train
DGS,BKM,0,2,27631,3043,0,7,train
DGS,BKM,0,2,0,0,0,0,train
DGS,BKM,0,2,9697801,73525,2,7,train
DGS,BKM,0,2,13291998,98553,2,5,train
DGS,BKM,0,2,3219826,27392,2,4,train
DGS,BKM,0,0,25139018,296210,2,17,train
DGS,BKM,0,0,21940159,263760,2,16,train
DGS,BKM,0,0,21719754,177111,2,15,train
DGS,BKM,0,0,21791658,233143,2,14,train
DGS,BKM,0,0,16748132,192874,2,13,train
DGS,BKM,0,0,18722621,201476,2,12,train
DGS,BKM,0,0,17662700,148475,2,11,train
DGS,BKM,0,1,0,0,2,0,train
DGS,BKM,0,0,7310329,32001,2,10,train
